group,drug_name,ndcnum,generic_name
cephalosporins,cephalexin,00003074950,Cephalexin
cephalosporins,cephalexin,00003074951,Cephalexin
cephalosporins,cephalexin,00003074960,Cephalexin
cephalosporins,cephalexin,00003087450,Cephalexin
cephalosporins,cephalexin,00003087451,Cephalexin
cephalosporins,cephalexin,00003087460,Cephalexin
cephalosporins,cephalexin,00003220130,Cephalexin
cephalosporins,cephalexin,00003220140,Cephalexin
cephalosporins,cephalexin,00003220230,Cephalexin
cephalosporins,cephalexin,00003220240,Cephalexin
cephalosporins,cephalexin,00005322946,Cephalexin
cephalosporins,cephalexin,00005322960,Cephalexin
cephalosporins,cephalexin,00005323046,Cephalexin
cephalosporins,cephalexin,00005323060,Cephalexin
cephalosporins,cephalexin,00005333123,Cephalexin
cephalosporins,cephalexin,00005333223,Cephalexin
cephalosporins,cephalexin,00005341323,Cephalexin
cephalosporins,cephalexin,00005341423,Cephalexin
cephalosporins,cephalexin,00047054824,Cephalexin
cephalosporins,cephalexin,00047054924,Cephalexin
cephalosporins,cephalexin,00047093824,Cephalexin
cephalosporins,cephalexin,00047093830,Cephalexin
cephalosporins,cephalexin,00047093924,Cephalexin
cephalosporins,cephalexin,00047093930,Cephalexin
cephalosporins,cephalexin,00047237517,Cephalexin
cephalosporins,cephalexin,00047237520,Cephalexin
cephalosporins,cephalexin,00047237617,Cephalexin
cephalosporins,cephalexin,00047237620,Cephalexin
cephalosporins,cephalexin,00056019370,Cephalexin
cephalosporins,cephalexin,00056019385,Cephalexin
cephalosporins,cephalexin,00056019470,Cephalexin
cephalosporins,cephalexin,00056019485,Cephalexin
cephalosporins,cephalexin,00056020336,Cephalexin
cephalosporins,cephalexin,00056020339,Cephalexin
cephalosporins,cephalexin,00056020436,Cephalexin
cephalosporins,cephalexin,00056020439,Cephalexin
cephalosporins,cephalexin,00087737562,Cephalexin
cephalosporins,cephalexin,00087737662,Cephalexin
cephalosporins,cephalexin,00093053873,Cephalexin
cephalosporins,cephalexin,00093053874,Cephalexin
cephalosporins,cephalexin,00093054073,Cephalexin
cephalosporins,cephalexin,00093054074,Cephalexin
cephalosporins,cephalexin,00093054101,Cephalexin
cephalosporins,cephalexin,00093054105,Cephalexin
cephalosporins,cephalexin,00093054301,Cephalexin
cephalosporins,cephalexin,00093054305,Cephalexin
cephalosporins,cephalexin,00093223801,Cephalexin
cephalosporins,cephalexin,00093224001,Cephalexin
cephalosporins,cephalexin,00093314501,Cephalexin
cephalosporins,cephalexin,00093314505,Cephalexin
cephalosporins,cephalexin,00093314701,Cephalexin
cephalosporins,cephalexin,00093314705,Cephalexin
cephalosporins,cephalexin,00093417573,Cephalexin
cephalosporins,cephalexin,00093417574,Cephalexin
cephalosporins,cephalexin,00093417773,Cephalexin
cephalosporins,cephalexin,00093417774,Cephalexin
cephalosporins,cephalexin,00102367501,Cephalexin
cephalosporins,cephalexin,00102368001,Cephalexin
cephalosporins,cephalexin,00102369010,Cephalexin
cephalosporins,cephalexin,00102369020,Cephalexin
cephalosporins,cephalexin,00102369520,Cephalexin
cephalosporins,cephalexin,00102370010,Cephalexin
cephalosporins,cephalexin,00102370020,Cephalexin
cephalosporins,cephalexin,00102370520,Cephalexin
cephalosporins,cephalexin,00143989701,Cephalexin
cephalosporins,cephalexin,00143989705,Cephalexin
cephalosporins,cephalexin,00143989801,Cephalexin
cephalosporins,cephalexin,00143989805,Cephalexin
cephalosporins,cephalexin,00157077101,Cephalexin
cephalosporins,cephalexin,00157077201,Cephalexin
cephalosporins,cephalexin,00172407310,Cephalexin
cephalosporins,cephalexin,00172407343,Cephalexin
cephalosporins,cephalexin,00172407360,Cephalexin
cephalosporins,cephalexin,00172407370,Cephalexin
cephalosporins,cephalexin,00172407410,Cephalexin
cephalosporins,cephalexin,00172407443,Cephalexin
cephalosporins,cephalexin,00172407460,Cephalexin
cephalosporins,cephalexin,00172407470,Cephalexin
cephalosporins,cephalexin,00182127801,Cephalexin
cephalosporins,cephalexin,00182127805,Cephalexin
cephalosporins,cephalexin,00182127889,Cephalexin
cephalosporins,cephalexin,00182127901,Cephalexin
cephalosporins,cephalexin,00182127905,Cephalexin
cephalosporins,cephalexin,00182127989,Cephalexin
cephalosporins,cephalexin,00182188601,Cephalexin
cephalosporins,cephalexin,00182188701,Cephalexin
cephalosporins,cephalexin,00182702070,Cephalexin
cephalosporins,cephalexin,00182702073,Cephalexin
cephalosporins,cephalexin,00182702170,Cephalexin
cephalosporins,cephalexin,00182702173,Cephalexin
cephalosporins,cephalexin,00185097001,Cephalexin
cephalosporins,cephalexin,00185097005,Cephalexin
cephalosporins,cephalexin,00185097101,Cephalexin
cephalosporins,cephalexin,00185097105,Cephalexin
cephalosporins,cephalexin,00185097411,Cephalexin
cephalosporins,cephalexin,00185097522,Cephalexin
cephalosporins,cephalexin,00185097611,Cephalexin
cephalosporins,cephalexin,00185097722,Cephalexin
cephalosporins,cephalexin,00223058101,Cephalexin
cephalosporins,cephalexin,00223058105,Cephalexin
cephalosporins,cephalexin,00223058201,Cephalexin
cephalosporins,cephalexin,00223058205,Cephalexin
cephalosporins,cephalexin,00223058301,Cephalexin
cephalosporins,cephalexin,00223058305,Cephalexin
cephalosporins,cephalexin,00223058401,Cephalexin
cephalosporins,cephalexin,00223058405,Cephalexin
cephalosporins,cephalexin,00228240910,Cephalexin
cephalosporins,cephalexin,00228240950,Cephalexin
cephalosporins,cephalexin,00228241810,Cephalexin
cephalosporins,cephalexin,00228241850,Cephalexin
cephalosporins,cephalexin,00302054001,Cephalexin
cephalosporins,cephalexin,00302054005,Cephalexin
cephalosporins,cephalexin,00302054101,Cephalexin
cephalosporins,cephalexin,00302054105,Cephalexin
cephalosporins,cephalexin,00302054233,Cephalexin
cephalosporins,cephalexin,00302054239,Cephalexin
cephalosporins,cephalexin,00302054333,Cephalexin
cephalosporins,cephalexin,00304175501,Cephalexin
cephalosporins,cephalexin,00304175505,Cephalexin
cephalosporins,cephalexin,00304175601,Cephalexin
cephalosporins,cephalexin,00304175605,Cephalexin
cephalosporins,cephalexin,00304177963,Cephalexin
cephalosporins,cephalexin,00304177965,Cephalexin
cephalosporins,cephalexin,00304178063,Cephalexin
cephalosporins,cephalexin,00304178065,Cephalexin
cephalosporins,cephalexin,00304192201,Cephalexin
cephalosporins,cephalexin,00304192301,Cephalexin
