group,drug_name,ndcnum,generic_name
clindamycin,clindamycin,00003294210,Clindamycin Hydrochloride
clindamycin,clindamycin,00003294211,Clindamycin Hydrochloride
clindamycin,clindamycin,00003294220,Clindamycin Hydrochloride
clindamycin,clindamycin,00003294221,Clindamycin Hydrochloride
clindamycin,clindamycin,00003294222,Clindamycin Hydrochloride
clindamycin,clindamycin,00009022501,Clindamycin Hydrochloride
clindamycin,clindamycin,00009022502,Clindamycin Hydrochloride
clindamycin,clindamycin,00009022503,Clindamycin Hydrochloride
clindamycin,clindamycin,00009030202,Clindamycin Phosphate
clindamycin,clindamycin,00009030225,Clindamycin Phosphate
clindamycin,clindamycin,00009033102,Clindamycin Hydrochloride
clindamycin,clindamycin,00009039502,Clindamycin Hydrochloride
clindamycin,clindamycin,00009039513,Clindamycin Hydrochloride
clindamycin,clindamycin,00009039514,Clindamycin Hydrochloride
clindamycin,clindamycin,00009060204,Clindamycin Phosphate
clindamycin,clindamycin,00009060225,Clindamycin Phosphate
clindamycin,clindamycin,00009072805,Clindamycin Phosphate
clindamycin,clindamycin,00009072809,Clindamycin Phosphate
clindamycin,clindamycin,00009076004,Clindamycin Palmitate Hydrochloride
clindamycin,clindamycin,00009077520,Clindamycin Phosphate
clindamycin,clindamycin,00009077521,Clindamycin Hydrochloride
clindamycin,clindamycin,00009077526,Clindamycin Phosphate
clindamycin,clindamycin,00009087021,Clindamycin Phosphate
clindamycin,clindamycin,00009087022,Clindamycin Hydrochloride
clindamycin,clindamycin,00009087026,Clindamycin Phosphate
clindamycin,clindamycin,00009090106,Clindamycin Phosphate
clindamycin,clindamycin,00009090125,Clindamycin Phosphate
clindamycin,clindamycin,00009090211,Clindamycin Phosphate
clindamycin,clindamycin,00009090212,Clindamycin Hydrochloride
clindamycin,clindamycin,00009090218,Clindamycin Phosphate
clindamycin,clindamycin,00009311601,Clindamycin Phosphate
clindamycin,clindamycin,00009311602,Clindamycin Phosphate
clindamycin,clindamycin,00009311604,Clindamycin Hydrochloride
clindamycin,clindamycin,00009311614,Clindamycin Phosphate
clindamycin,clindamycin,00009312401,Clindamycin Phosphate
clindamycin,clindamycin,00009312403,Clindamycin Phosphate
clindamycin,clindamycin,00009332901,Clindamycin Phosphate
clindamycin,clindamycin,00009333101,Clindamycin Phosphate
clindamycin,clindamycin,00009333102,Clindamycin Phosphate
clindamycin,clindamycin,00009333103,Clindamycin Hydrochloride
clindamycin,clindamycin,00009337501,Clindamycin Phosphate
clindamycin,clindamycin,00009337502,Clindamycin Phosphate
clindamycin,clindamycin,00009338101,Clindamycin Phosphate
clindamycin,clindamycin,00009338102,Clindamycin Phosphate
clindamycin,clindamycin,00009338201,Clindamycin Phosphate
clindamycin,clindamycin,00009338202,Clindamycin Phosphate
clindamycin,clindamycin,00009344701,Clindamycin Phosphate
clindamycin,clindamycin,00009344703,Clindamycin Phosphate
clindamycin,clindamycin,00009344801,Clindamycin Phosphate
clindamycin,clindamycin,00009344804,Clindamycin Phosphate
clindamycin,clindamycin,00009347001,Clindamycin Phosphate/Dextrose
clindamycin,clindamycin,00009347002,Clindamycin Phosphate/Dextrose
clindamycin,clindamycin,00009658201,Clindamycin Phosphate
clindamycin,clindamycin,00009658202,Clindamycin Phosphate
clindamycin,clindamycin,00009678001,Clindamycin Phosphate/Dextrose
clindamycin,clindamycin,00009678002,Clindamycin Phosphate/Dextrose
clindamycin,clindamycin,00009766701,Clindamycin Phosphate
clindamycin,clindamycin,00009989001,Clindamycin Phosphate/Dextrose
clindamycin,clindamycin,00009989002,Clindamycin Phosphate/Dextrose
clindamycin,clindamycin,00039011530,Clindamycin Phosphate
clindamycin,clindamycin,00039011560,Clindamycin Phosphate
clindamycin,clindamycin,00066049425,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,00066049435,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,00066049450,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,00066049455,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,00066049555,Benzoyl Peroxide/Clindamycin Phosphate
clindamycin,clindamycin,00074041907,Clindamycin Phosphate
clindamycin,clindamycin,00074405001,Clindamycin Phosphate
clindamycin,clindamycin,00074405101,Clindamycin Phosphate
clindamycin,clindamycin,00074405201,Clindamycin Phosphate
clindamycin,clindamycin,00074405303,Clindamycin Phosphate
clindamycin,clindamycin,00074405403,Clindamycin Phosphate
clindamycin,clindamycin,00074405503,Clindamycin Phosphate
clindamycin,clindamycin,00074419701,Clindamycin Phosphate
clindamycin,clindamycin,00093041122,Clindamycin Hydrochloride
clindamycin,clindamycin,00093041142,Clindamycin Hydrochloride
clindamycin,clindamycin,00093041158,Clindamycin Hydrochloride
clindamycin,clindamycin,00093041339,Clindamycin Phosphate
clindamycin,clindamycin,00093317101,Clindamycin Hydrochloride
