ICD10 plots,from ICD9,dx,n,desc
,,I10,963926,I10 - Essential (primary) hypertension
,,E119,485847,E119 - Type 2 diabetes mellitus without complic
,,N186,465134,N186 - End stage renal disease
,,Z7689,364280,Z7689 - Persons encountering health services in 
Y,Y,J449,330567,"J449 - Chronic obstructive pulmonary disease, u"
,,R6889,248199,R6889 - Other general symptoms and signs
,,D631,234745,D631 - Anemia in chronic kidney disease
,,I2510,229937,I2510 - Atherosclerotic heart disease of native 
,,E785,221859,"E785 - Hyperlipidemia, unspecified"
,,Z992,209736,Z992 - Dependence on renal dialysis
,,D509,176949,"D509 - Iron deficiency anemia, unspecified"
,,I509,169427,"I509 - Heart failure, unspecified"
,,N2581,158325,N2581 - Secondary hyperparathyroidism of renal o
,,M6281,124722,M6281 - Muscle weakness (generalized)
,,M545,121607,M545 - Low back pain
,,E1165,121475,E1165 - Type 2 diabetes mellitus with hyperglyce
,,R69,115413,"R69 - Illness, unspecified"
,,G4733,113567,G4733 - Obstructive sleep apnea (adult) (pediatr
Y,Y,R0602,103190,R0602 - Shortness of breath
,Y,E039,100454,"E039 - Hypothyroidism, unspecified"
,,D649,100269,"D649 - Anemia, unspecified"
Y,Y,K219,97787,K219 - Gastro-esophageal reflux disease without
Y,Y,I4891,93844,I4891 - Unspecified atrial fibrillation
Y,Y,R079,93842,"R079 - Chest pain, unspecified"
,,F329,91814,"F329 - Major depressive disorder, single episod"
Y,Y,F419,82003,"F419 - Anxiety disorder, unspecified"
,,E782,81633,E782 - Mixed hyperlipidemia
,,Z79899,81291,Z79899 - Other long term (current) drug therapy
,,Z23,76592,Z23 - Encounter for immunization
,,E1122,71607,E1122 - Type 2 diabetes mellitus with diabetic c
,Y,I739,70473,"I739 - Peripheral vascular disease, unspecified"
,,F0390,69697,F0390 - Unspecified dementia without behavioral 
,,N183,61194,"N183 - Chronic kidney disease, stage 3 (moderat"
,,G8929,61004,G8929 - Other chronic pain
Y,Y,J441,60903,J441 - Chronic obstructive pulmonary disease wi
,,F79,60558,F79 - Unspecified intellectual disabilities
,,N390,59836,"N390 - Urinary tract infection, site not specif"
,,Z7901,57285,Z7901 - Long term (current) use of anticoagulant
Y,Y,R05,56193,R05 - Cough
,,I129,56133,I129 - Hypertensive chronic kidney disease with
