From plots,From ICD9,dx,n,desc
,,I10,2831815,I10 - Essential (primary) hypertension
,,E119,1336356,E119 - Type 2 diabetes mellitus without complic
,,Z7689,1105773,Z7689 - Persons encountering health services in
,Y,J449,847191,"J449 - Chronic obstructive pulmonary disease, u"
,,R6889,689450,R6889 - Other general symptoms and signs
,,N186,633538,N186 - End stage renal disease
,,E785,539558,"E785 - Hyperlipidemia, unspecified"
,Y,I2510,464823,I2510 - Atherosclerotic heart disease of native
,,F79,371293,F79 - Unspecified intellectual disabilities
,,D631,323137,D631 - Anemia in chronic kidney disease
,,M545,319460,M545 - Low back pain
,,G4733,318986,G4733 - Obstructive sleep apnea (adult) (pediatr
,Y,M6281,310798,M6281 - Muscle weakness (generalized)
,,E1165,299350,E1165 - Type 2 diabetes mellitus with hyperglyce
,,R69,274638,"R69 - Illness, unspecified"
,,E039,267327,"E039 - Hypothyroidism, unspecified"
,,D509,259902,"D509 - Iron deficiency anemia, unspecified"
,,F329,258988,"F329 - Major depressive disorder, single episod"
Y,,K219,254395,K219 - Gastro-esophageal reflux disease without
,,Z992,250047,Z992 - Dependence on renal dialysis
Y,Y,R0602,242660,R0602 - Shortness of breath
,,I4891,241574,I4891 - Unspecified atrial fibrillation
,,Z724,228649,Z724 - Inappropriate diet and eating habits
Y,,D649,225825,"D649 - Anemia, unspecified"
,,E782,214287,E782 - Mixed hyperlipidemia
,,F419,209035,"F419 - Anxiety disorder, unspecified"
,,F0390,208180,F0390 - Unspecified dementia without behavioral
,,Z79899,202479,Z79899 - Other long term (current) drug therapy
,,N2581,192455,N2581 - Secondary hyperparathyroidism of renal o
Y,Y,R079,184274,"R079 - Chest pain, unspecified"
,,E6601,175495,E6601 - Morbid (severe) obesity due to excess ca
,,M1990,174538,"M1990 - Unspecified osteoarthritis, unspecified"
,,G8929,154513,G8929 - Other chronic pain
,,Z7901,150125,Z7901 - Long term (current) use of anticoagulant
,,Z23,147999,Z23 - Encounter for immunization
,,N390,147231,"N390 - Urinary tract infection, site not specif"
y,Y,R05,147000,R05 - Cough
,,B351,146931,B351 - Tinea unguium
,,E669,143775,"E669 - Obesity, unspecified"
,,N183,143105,"N183 - Chronic kidney disease, stage 3 (moderat"
,,I739,140228,"I739 - Peripheral vascular disease, unspecified"
,,M150,137544,M150 - Primary generalized (osteo)arthritis
,,R262,136737,"R262 - Difficulty in walking, not elsewhere cla"
,,F1120,132901,"F1120 - Opioid dependence, uncomplicated"
Y,Y,J441,132094,J441 - Chronic obstructive pulmonary disease wi
,,I129,131158,I129 - Hypertensive chronic kidney disease with
,,E1140,130768,E1140 - Type 2 diabetes mellitus with diabetic n
Y,Y,J45909,127309,"J45909 - Unspecified asthma, uncomplicated"
,,M542,125540,M542 - Cervicalgia
,,M129,125353,"M129 - Arthropathy, unspecified"
,,F411,121512,F411 - Generalized anxiety disorder
,,I480,121061,I480 - Paroxysmal atrial fibrillation
,,E559,119179,"E559 - Vitamin D deficiency, unspecified"
,,G309,117907,"G309 - Alzheimer's disease, unspecified"
Y,Y,R531,113661,R531 - Weakness
,,F17210,107481,"F17210 - Nicotine dependence, cigarettes, uncompl"
Y,Y,J189,107058,"J189 - Pneumonia, unspecified organism"
,,F70,106595,F70 - Mild intellectual disabilities
,,E1142,103777,E1142 - Type 2 diabetes mellitus with diabetic p
,,F331,102769,"F331 - Major depressive disorder, recurrent, mo"
,,Z0000,102162,Z0000 - Encounter for general adult medical exam
,,N179,100885,"N179 - Acute kidney failure, unspecified"
,,E118,100071,E118 - Type 2 diabetes mellitus with unspecifie
,,G894,97959,G894 - Chronic pain syndrome
