FROM ICD 9,From ICD10,dx,n,desc
,,I10,304399,I10 - Essential (primary) hypertension
Y,,J449,202423,"J449 - Chronic obstructive pulmonary disease, u"
,,E119,121038,E119 - Type 2 diabetes mellitus without complic
,,Z7689,118728,Z7689 - Persons encountering health services in 
Y,Y,R918,75474,R918 - Other nonspecific abnormal finding of lu
,,E785,69678,"E785 - Hyperlipidemia, unspecified"
,,R6889,65457,R6889 - Other general symptoms and signs
Y,,I2510,56055,I2510 - Atherosclerotic heart disease of native 
Y,Y,R911,53967,R911 - Solitary pulmonary nodule
,,M545,47771,M545 - Low back pain
Y,Y,R0602,37890,R0602 - Shortness of breath
,,N186,34980,N186 - End stage renal disease
Y,,K219,34263,K219 - Gastro-esophageal reflux disease without
,,G4733,34018,G4733 - Obstructive sleep apnea (adult) (pediatr
Y,,I509,32869,"I509 - Heart failure, unspecified"
Y,Y,R05,32546,R05 - Cough
,,Z724,31451,Z724 - Inappropriate diet and eating habits
,,Z79899,31345,Z79899 - Other long term (current) drug therapy
,,F17210,30731,"F17210 - Nicotine dependence, cigarettes, uncompl"
Y,Y,J441,30621,J441 - Chronic obstructive pulmonary disease wi
,,E039,29587,"E039 - Hypothyroidism, unspecified"
Y,,M6281,29520,M6281 - Muscle weakness (generalized)
,,Z5111,27956,Z5111 - Encounter for antineoplastic chemotherap
Y,,F419,27042,"F419 - Anxiety disorder, unspecified"
,Y,D649,25709,"D649 - Anemia, unspecified"
,,F329,24858,"F329 - Major depressive disorder, single episod"
,,E782,24470,E782 - Mixed hyperlipidemia
,,E1165,24302,E1165 - Type 2 diabetes mellitus with hyperglyce
Y,Y,J189,24069,"J189 - Pneumonia, unspecified organism"
Y,Y,R079,23366,"R079 - Chest pain, unspecified"
Y,Y,M542,22468,M542 - Cervicalgia
,,F17200,22396,"F17200 - Nicotine dependence, unspecified, uncomp"
,Y,I4891,22134,I4891 - Unspecified atrial fibrillation
,,R69,21987,"R69 - Illness, unspecified"
,,D509,21813,"D509 - Iron deficiency anemia, unspecified"
,,Z23,21484,Z23 - Encounter for immunization
,,I739,20654,"I739 - Peripheral vascular disease, unspecified"
Y,,G8929,20448,G8929 - Other chronic pain
,Y,J439,20311,"J439 - Emphysema, unspecified"
,,Z87891,20100,Z87891 - Personal history of nicotine dependence
,Y,C7951,19382,C7951 - Secondary malignant neoplasm of bone
,,Z0000,19231,Z0000 - Encounter for general adult medical exam
,,M1990,19045,"M1990 - Unspecified osteoarthritis, unspecified "
,,D631,18581,D631 - Anemia in chronic kidney disease
,,F1120,17283,"F1120 - Opioid dependence, uncomplicated"
,,F411,17239,F411 - Generalized anxiety disorder
,,Z510,16930,Z510 - Encounter for antineoplastic radiation t
Y,Y,J90,16337,"J90 - Pleural effusion, not elsewhere classifi"
,,C61,15863,C61 - Malignant neoplasm of prostate
,,F79,15855,F79 - Unspecified intellectual disabilities
,,C50919,15362,C50919 - Malignant neoplasm of unspecified site o
Y,,M5136,15330,"M5136 - Other intervertebral disc degeneration, "
,,Z7901,15260,Z7901 - Long term (current) use of anticoagulant
,,E559,14962,"E559 - Vitamin D deficiency, unspecified"
,,F209,14874,"F209 - Schizophrenia, unspecified"
,,N390,14458,"N390 - Urinary tract infection, site not specif"
,,C20,14338,C20 - Malignant neoplasm of rectum
,,M150,14308,M150 - Primary generalized (osteo)arthritis
,,B351,14285,B351 - Tinea unguium
Y,Y,R109,13947,R109 - Unspecified abdominal pain
Y,Y,J45909,13912,"J45909 - Unspecified asthma, uncomplicated"
,,M129,13136,"M129 - Arthropathy, unspecified"
Y,Y,R0902,13012,R0902 - Hypoxemia
,,C787,12937,C787 - Secondary malignant neoplasm of liver an
,,M5416,12898,"M5416 - Radiculopathy, lumbar region"
,,Z01818,12862,Z01818 - Encounter for other preprocedural examin
Y,Y,R0600,12856,"R0600 - Dyspnea, unspecified"
Y,Y,R0789,12539,R0789 - Other chest pain
Y,Y,J984,12320,J984 - Other disorders of lung
,,E780,12261,E780 - Pure hypercholesterolemia
,,N183,12256,"N183 - Chronic kidney disease, stage 3 (moderat"
,,R262,12242,"R262 - Difficulty in walking, not elsewhere cla"
,,F0390,11985,F0390 - Unspecified dementia without behavioral 
,,Z992,11877,Z992 - Dependence on renal dialysis
,,C7800,11856,C7800 - Secondary malignant neoplasm of unspecif
Y,Y,M25511,11820,M25511 - Pain in right shoulder
Y,Y,R590,11790,R590 - Localized enlarged lymph nodes
,,G894,11662,G894 - Chronic pain syndrome
,,M9903,11558,M9903 - Segmental and somatic dysfunction of lum
,,C189,11509,"C189 - Malignant neoplasm of colon, unspecified"
,,Z720,11489,Z720 - Tobacco use
Y,Y,R531,11371,R531 - Weakness
