code,type
205,icd9
2050,icd9
20500,icd9
20501,icd9
20502,icd9
2051,icd9
20510,icd9
20511,icd9
20512,icd9
2052,icd9
20520,icd9
20521,icd9
20522,icd9
2053,icd9
20530,icd9
20531,icd9
20532,icd9
2058,icd9
20580,icd9
20581,icd9
20582,icd9
2059,icd9
20590,icd9
20591,icd9
20592,icd9
C92,icd10
C920,icd10
C9200,icd10
C9201,icd10
C9202,icd10
C921,icd10
C9210,icd10
C9211,icd10
C9212,icd10
C922,icd10
C9220,icd10
C9221,icd10
C9222,icd10
C923,icd10
C9230,icd10
C9231,icd10
C9232,icd10
C924,icd10
C9240,icd10
C9241,icd10
C9242,icd10
C925,icd10
C9250,icd10
C9251,icd10
C9252,icd10
C926,icd10
C9260,icd10
C9261,icd10
C9262,icd10
C929,icd10
C9290,icd10
C9291,icd10
C9292,icd10
C92A,icd10
C92A0,icd10
C92A1,icd10
C92A2,icd10
C92Z,icd10
C92Z0,icd10
C92Z1,icd10
C92Z2,icd10
c92,icd10
