code,type
410,icd9
4100,icd9
41000,icd9
41001,icd9
41002,icd9
4101,icd9
41010,icd9
41011,icd9
41012,icd9
4102,icd9
41020,icd9
41021,icd9
41022,icd9
4103,icd9
41030,icd9
41031,icd9
41032,icd9
4104,icd9
41040,icd9
41041,icd9
41042,icd9
4105,icd9
41050,icd9
41051,icd9
41052,icd9
4106,icd9
41060,icd9
41061,icd9
41062,icd9
4107,icd9
41070,icd9
41071,icd9
41072,icd9
4108,icd9
41080,icd9
41081,icd9
41082,icd9
4109,icd9
41090,icd9
41091,icd9
41092,icd9
I21,icd10
I210,icd10
I2101,icd10
I2102,icd10
I2109,icd10
I211,icd10
I2111,icd10
I2119,icd10
I212,icd10
I2121,icd10
I2129,icd10
I213,icd10
I214,icd10
I219,icd10
I21A,icd10
I21A1,icd10
I21A9,icd10
I22,icd10
I220,icd10
I221,icd10
I222,icd10
I228,icd10
I229,icd10
