code,type
1740,icd9
1741,icd9
1742,icd9
1743,icd9
1744,icd9
1745,icd9
1746,icd9
1748,icd9
1749,icd9
1750,icd9
1759,icd9
2330,icd9
V103,icd9
C50011,icd10
C50012,icd10
C50019,icd10
C50021,icd10
C50022,icd10
C50029,icd10
C50111,icd10
C50112,icd10
C50119,icd10
C50121,icd10
C50122,icd10
C50129,icd10
C50211,icd10
C50212,icd10
C50219,icd10
C50221,icd10
C50222,icd10
C50229,icd10
C50311,icd10
C50312,icd10
C50319,icd10
C50321,icd10
C50322,icd10
C50329,icd10
C50411,icd10
C50412,icd10
C50419,icd10
C50421,icd10
C50422,icd10
C50429,icd10
C50511,icd10
C50512,icd10
C50519,icd10
C50521,icd10
C50522,icd10
C50529,icd10
C50611,icd10
C50612,icd10
C50619,icd10
C50621,icd10
C50622,icd10
C50629,icd10
C50811,icd10
C50812,icd10
C50819,icd10
C50821,icd10
C50822,icd10
C50829,icd10
C50911,icd10
C50912,icd10
C50919,icd10
C50921,icd10
C50922,icd10
C50929,icd10
D0500,icd10
D0501,icd10
D0502,icd10
D0510,icd10
D0511,icd10
D0512,icd10
D0580,icd10
D0581,icd10
D0582,icd10
D0590,icd10
D0591,icd10
D0592,icd10
Z853,icd10
Z86000,icd10
