code,type
681,icd9
6810,icd9
68100,icd9
68101,icd9
68102,icd9
6811,icd9
68110,icd9
68111,icd9
6819,icd9
682,icd9
6820,icd9
6821,icd9
6822,icd9
6823,icd9
6824,icd9
6825,icd9
6826,icd9
6827,icd9
6828,icd9
6829,icd9
L03,icd10
L030,icd10
L0301,icd10
L03011,icd10
L03012,icd10
L03019,icd10
L0302,icd10
L03021,icd10
L03022,icd10
L03029,icd10
L0303,icd10
L03031,icd10
L03032,icd10
L03039,icd10
L0304,icd10
L03041,icd10
L03042,icd10
L03049,icd10
L031,icd10
L0311,icd10
L03111,icd10
L03112,icd10
L03113,icd10
L03114,icd10
L03115,icd10
L03116,icd10
L03119,icd10
L0312,icd10
L03121,icd10
L03122,icd10
L03123,icd10
L03124,icd10
L03125,icd10
L03126,icd10
L03129,icd10
L032,icd10
L0321,icd10
L03211,icd10
L03212,icd10
L03213,icd10
L0322,icd10
L03221,icd10
L03222,icd10
L033,icd10
L0331,icd10
L03311,icd10
L03312,icd10
L03313,icd10
L03314,icd10
L03315,icd10
L03316,icd10
L03317,icd10
L03319,icd10
L0332,icd10
L03321,icd10
L03322,icd10
L03323,icd10
L03324,icd10
L03325,icd10
L03326,icd10
L03327,icd10
L03329,icd10
L038,icd10
L0381,icd10
L03811,icd10
L03818,icd10
L0389,icd10
L03891,icd10
L03898,icd10
L039,icd10
L0390,icd10
L0391,icd10
