code,type
40201,icd9
40211,icd9
40291,icd9
40401,icd9
40403,icd9
40411,icd9
40413,icd9
40491,icd9
40493,icd9
428,icd9
4280,icd9
4281,icd9
4282,icd9
42820,icd9
42821,icd9
42822,icd9
42823,icd9
4283,icd9
42830,icd9
42831,icd9
42832,icd9
42833,icd9
4284,icd9
42840,icd9
42841,icd9
42842,icd9
42843,icd9
4289,icd9
I0981,icd10
I110,icd10
I130,icd10
I132,icd10
I50,icd10
I501,icd10
I502,icd10
I5020,icd10
I5021,icd10
I5022,icd10
I5023,icd10
I503,icd10
I5030,icd10
I5031,icd10
I5032,icd10
I5033,icd10
I504,icd10
I5040,icd10
I5041,icd10
I5042,icd10
I5043,icd10
I508,icd10
I5081,icd10
I50810,icd10
I50811,icd10
I50812,icd10
I50813,icd10
I50814,icd10
I5082,icd10
I5083,icd10
I5084,icd10
I5089,icd10
I509,icd10
