code,type
574,icd9
5740,icd9
57400,icd9
57401,icd9
5741,icd9
57410,icd9
57411,icd9
5742,icd9
57420,icd9
57421,icd9
5743,icd9
57430,icd9
57431,icd9
5744,icd9
57440,icd9
57441,icd9
5745,icd9
57450,icd9
57451,icd9
5746,icd9
57460,icd9
57461,icd9
5747,icd9
57470,icd9
57471,icd9
5748,icd9
57480,icd9
57481,icd9
5749,icd9
57490,icd9
57491,icd9
K80,icd10
K800,icd10
K8000,icd10
K8001,icd10
K801,icd10
K8010,icd10
K8011,icd10
K8012,icd10
K8013,icd10
K8018,icd10
K8019,icd10
K802,icd10
K8020,icd10
K8021,icd10
K803,icd10
K8030,icd10
K8031,icd10
K8032,icd10
K8033,icd10
K8034,icd10
K8035,icd10
K8036,icd10
K8037,icd10
K804,icd10
K8040,icd10
K8041,icd10
K8042,icd10
K8043,icd10
K8044,icd10
K8045,icd10
K8046,icd10
K8047,icd10
K805,icd10
K8050,icd10
K8051,icd10
K806,icd10
K8060,icd10
K8061,icd10
K8062,icd10
K8063,icd10
K8064,icd10
K8065,icd10
K8066,icd10
K8067,icd10
K807,icd10
K8070,icd10
K8071,icd10
K808,icd10
K8080,icd10
K8081,icd10
