code,type
4260,icd9
42610,icd9
42611,icd9
42612,icd9
42613,icd9
4262,icd9
4263,icd9
4264,icd9
42650,icd9
42651,icd9
42652,icd9
42653,icd9
42654,icd9
4266,icd9
4267,icd9
42681,icd9
42682,icd9
42689,icd9
4269,icd9
V450,icd9
V4500,icd9
V4501,icd9
V4502,icd9
V4509,icd9
V533,icd9
V5331,icd9
V5332,icd9
V5339,icd9
I440,icd10
I441,icd10
I442,icd10
I4430,icd10
I4439,icd10
I444,icd10
I445,icd10
I4460,icd10
I4469,icd10
I447,icd10
I450,icd10
I4510,icd10
I4519,icd10
I452,icd10
I453,icd10
I454,icd10
I455,icd10
I456,icd10
I4581,icd10
I4589,icd10
I459,icd10
Z45010,icd10
Z45018,icd10
Z4502,icd10
Z4509,icd10
Z950,icd10
Z95810,icd10
