code,type
555,icd9
5550,icd9
5551,icd9
5552,icd9
5559,icd9
K50,icd10
K500,icd10
K5000,icd10
K5001,icd10
K50011,icd10
K50012,icd10
K50013,icd10
K50014,icd10
K50018,icd10
K50019,icd10
K501,icd10
K5010,icd10
K5011,icd10
K50111,icd10
K50112,icd10
K50113,icd10
K50114,icd10
K50118,icd10
K50119,icd10
K508,icd10
K5080,icd10
K5081,icd10
K50811,icd10
K50812,icd10
K50813,icd10
K50814,icd10
K50818,icd10
K50819,icd10
K509,icd10
K5090,icd10
K5091,icd10
K50911,icd10
K50912,icd10
K50913,icd10
K50914,icd10
K50918,icd10
K50919,icd10
