code,type
712,icd9
7121,icd9
71210,icd9
71211,icd9
71212,icd9
71213,icd9
71214,icd9
71215,icd9
71216,icd9
71217,icd9
71218,icd9
71219,icd9
7122,icd9
71220,icd9
71221,icd9
71222,icd9
71223,icd9
71224,icd9
71225,icd9
71226,icd9
71227,icd9
71228,icd9
71229,icd9
7123,icd9
71230,icd9
71231,icd9
71232,icd9
71233,icd9
71234,icd9
71235,icd9
71236,icd9
71237,icd9
71238,icd9
71239,icd9
7128,icd9
71280,icd9
71281,icd9
71282,icd9
71283,icd9
71284,icd9
71285,icd9
71286,icd9
71287,icd9
71288,icd9
71289,icd9
7129,icd9
71290,icd9
71291,icd9
71292,icd9
71293,icd9
71294,icd9
71295,icd9
71296,icd9
71297,icd9
71298,icd9
71299,icd9
M11,icd10
M110,icd10
M1100,icd10
M1101,icd10
M11011,icd10
M11012,icd10
M11019,icd10
M1102,icd10
M11021,icd10
M11022,icd10
M11029,icd10
M1103,icd10
M11031,icd10
M11032,icd10
M11039,icd10
M1104,icd10
M11041,icd10
M11042,icd10
M11049,icd10
M1105,icd10
M11051,icd10
M11052,icd10
M11059,icd10
M1106,icd10
M11061,icd10
M11062,icd10
M11069,icd10
M1107,icd10
M11071,icd10
M11072,icd10
M11079,icd10
M1108,icd10
M1109,icd10
M111,icd10
M1110,icd10
M1111,icd10
M11111,icd10
M11112,icd10
M11119,icd10
M1112,icd10
M11121,icd10
M11122,icd10
M11129,icd10
M1113,icd10
M11131,icd10
M11132,icd10
M11139,icd10
M1114,icd10
M11141,icd10
M11142,icd10
M11149,icd10
M1115,icd10
M11151,icd10
M11152,icd10
M11159,icd10
M1116,icd10
M11161,icd10
M11162,icd10
M11169,icd10
M1117,icd10
M11171,icd10
M11172,icd10
M11179,icd10
M1118,icd10
M1119,icd10
M112,icd10
M1120,icd10
M1121,icd10
M11211,icd10
M11212,icd10
M11219,icd10
M1122,icd10
M11221,icd10
M11222,icd10
M11229,icd10
M1123,icd10
M11231,icd10
M11232,icd10
M11239,icd10
M1124,icd10
M11241,icd10
M11242,icd10
M11249,icd10
M1125,icd10
M11251,icd10
M11252,icd10
M11259,icd10
M1126,icd10
M11261,icd10
M11262,icd10
M11269,icd10
M1127,icd10
M11271,icd10
M11272,icd10
M11279,icd10
M1128,icd10
M1129,icd10
M118,icd10
M1180,icd10
M1181,icd10
M11811,icd10
M11812,icd10
M11819,icd10
M1182,icd10
M11821,icd10
M11822,icd10
M11829,icd10
M1183,icd10
M11831,icd10
M11832,icd10
M11839,icd10
M1184,icd10
M11841,icd10
M11842,icd10
M11849,icd10
M1185,icd10
M11851,icd10
M11852,icd10
M11859,icd10
M1186,icd10
M11861,icd10
M11862,icd10
M11869,icd10
M1187,icd10
M11871,icd10
M11872,icd10
M11879,icd10
M1188,icd10
M1189,icd10
M119,icd10
