code,type
249,icd9
2490,icd9
24900,icd9
24901,icd9
2491,icd9
24910,icd9
24911,icd9
2492,icd9
24920,icd9
24921,icd9
2493,icd9
24930,icd9
24931,icd9
2494,icd9
24940,icd9
24941,icd9
2495,icd9
24950,icd9
24951,icd9
2496,icd9
24960,icd9
24961,icd9
2497,icd9
24970,icd9
24971,icd9
2498,icd9
24980,icd9
24981,icd9
2499,icd9
24990,icd9
24991,icd9
E089,icd10
E099,icd10
E139,icd10
E0865,icd10
E0965,icd10
E0810,icd10
E0910,icd10
E1310,icd10
E0801,icd10
E0901,icd10
E1300,icd10
E0811,icd10
E08641,icd10
E0911,icd10
E09641,icd10
E1311,icd10
E13641,icd10
E0821,icd10
E0921,icd10
E08311,icd10
E08319,icd10
E0836,icd10
E0839,icd10
E09311,icd10
E09319,icd10
E0936,icd10
E0939,icd10
E1339,icd10
E0840,icd10
E0841,icd10
E0842,icd10
E0843,icd10
E0844,icd10
E0849,icd10
E08610,icd10
E0940,icd10
E0941,icd10
E0942,icd10
E0943,icd10
E0944,icd10
E0949,icd10
E09610,icd10
E1340,icd10
E1341,icd10
E1342,icd10
E1343,icd10
E1344,icd10
E1349,icd10
E0851,icd10
E0951,icd10
E1359,icd10
E08618,icd10
E08620,icd10
E08621,icd10
E08622,icd10
E08628,icd10
E08630,icd10
E08638,icd10
E0869,icd10
E09618,icd10
E09620,icd10
E09621,icd10
E09622,icd10
E09628,icd10
E09630,icd10
E09638,icd10
E09649,icd10
E0969,icd10
E13620,icd10
E13621,icd10
E13622,icd10
E13628,icd10
E13638,icd10
E13649,icd10
E1365,icd10
E1369,icd10
E088,icd10
E098,icd10
E138,icd10
