code,type
25001,icd9
25003,icd9
25011,icd9
25013,icd9
25021,icd9
25023,icd9
25031,icd9
25033,icd9
25041,icd9
25043,icd9
25051,icd9
25053,icd9
25061,icd9
25063,icd9
25071,icd9
25073,icd9
25081,icd9
25083,icd9
25091,icd9
25093,icd9
V5867,icd9
E10,icd10
E101,icd10
E1010,icd10
E1011,icd10
E102,icd10
E1021,icd10
E1022,icd10
E1029,icd10
E103,icd10
E1031,icd10
E10311,icd10
E10319,icd10
E1032,icd10
E10321,icd10
E103211,icd10
E103212,icd10
E103213,icd10
E103219,icd10
E10329,icd10
E103291,icd10
E103292,icd10
E103293,icd10
E103299,icd10
E1033,icd10
E10331,icd10
E103311,icd10
E103312,icd10
E103313,icd10
E103319,icd10
E10339,icd10
E103391,icd10
E103392,icd10
E103393,icd10
E103399,icd10
E1034,icd10
E10341,icd10
E103411,icd10
E103412,icd10
E103413,icd10
E103419,icd10
E10349,icd10
E103491,icd10
E103492,icd10
E103493,icd10
E103499,icd10
E1035,icd10
E10351,icd10
E103511,icd10
E103512,icd10
E103513,icd10
E103519,icd10
E10352,icd10
E103521,icd10
E103522,icd10
E103523,icd10
E103529,icd10
E10353,icd10
E103531,icd10
E103532,icd10
E103533,icd10
E103539,icd10
E10354,icd10
E103541,icd10
E103542,icd10
E103543,icd10
E103549,icd10
E10355,icd10
E103551,icd10
E103552,icd10
E103553,icd10
E103559,icd10
E10359,icd10
E103591,icd10
E103592,icd10
E103593,icd10
E103599,icd10
E1036,icd10
E1037,icd10
E1037X1,icd10
E1037X2,icd10
E1037X3,icd10
E1037X9,icd10
E1039,icd10
E104,icd10
E1040,icd10
E1041,icd10
E1042,icd10
E1043,icd10
E1044,icd10
E1049,icd10
E105,icd10
E1051,icd10
E1052,icd10
E1059,icd10
E106,icd10
E1061,icd10
E10610,icd10
E10618,icd10
E1062,icd10
E10620,icd10
E10621,icd10
E10622,icd10
E10628,icd10
E1063,icd10
E10630,icd10
E10638,icd10
E1064,icd10
E10641,icd10
E10649,icd10
E1065,icd10
E1069,icd10
E108,icd10
E109,icd10
