code,type
453,icd9
4530,icd9
4531,icd9
4532,icd9
4533,icd9
4534,icd9
45340,icd9
45341,icd9
45342,icd9
4535,icd9
45350,icd9
45351,icd9
45352,icd9
4536,icd9
4537,icd9
45371,icd9
45372,icd9
45373,icd9
45374,icd9
45375,icd9
45376,icd9
45377,icd9
45379,icd9
4538,icd9
45381,icd9
45382,icd9
45383,icd9
45384,icd9
45385,icd9
45386,icd9
45387,icd9
45389,icd9
4539,icd9
I82,icd10
I820,icd10
I821,icd10
I822,icd10
I8221,icd10
I82210,icd10
I82211,icd10
I8222,icd10
I82220,icd10
I82221,icd10
I8229,icd10
I82290,icd10
I82291,icd10
I823,icd10
I824,icd10
I8240,icd10
I82401,icd10
I82402,icd10
I82403,icd10
I82409,icd10
I8241,icd10
I82411,icd10
I82412,icd10
I82413,icd10
I82419,icd10
I8242,icd10
I82421,icd10
I82422,icd10
I82423,icd10
I82429,icd10
I8243,icd10
I82431,icd10
I82432,icd10
I82433,icd10
I82439,icd10
I8244,icd10
I82441,icd10
I82442,icd10
I82443,icd10
I82449,icd10
I8249,icd10
I82491,icd10
I82492,icd10
I82493,icd10
I82499,icd10
I824Y,icd10
I824Y1,icd10
I824Y2,icd10
I824Y3,icd10
I824Y9,icd10
I824Z,icd10
I824Z1,icd10
I824Z2,icd10
I824Z3,icd10
I824Z9,icd10
I825,icd10
I8250,icd10
I82501,icd10
I82502,icd10
I82503,icd10
I82509,icd10
I8251,icd10
I82511,icd10
I82512,icd10
I82513,icd10
I82519,icd10
I8252,icd10
I82521,icd10
I82522,icd10
I82523,icd10
I82529,icd10
I8253,icd10
I82531,icd10
I82532,icd10
I82533,icd10
I82539,icd10
I8254,icd10
I82541,icd10
I82542,icd10
I82543,icd10
I82549,icd10
I8259,icd10
I82591,icd10
I82592,icd10
I82593,icd10
I82599,icd10
I825Y,icd10
I825Y1,icd10
I825Y2,icd10
I825Y3,icd10
I825Y9,icd10
I825Z,icd10
I825Z1,icd10
I825Z2,icd10
I825Z3,icd10
I825Z9,icd10
I826,icd10
I8260,icd10
I82601,icd10
I82602,icd10
I82603,icd10
I82609,icd10
I8261,icd10
I82611,icd10
I82612,icd10
I82613,icd10
I82619,icd10
I8262,icd10
I82621,icd10
I82622,icd10
I82623,icd10
I82629,icd10
I827,icd10
I8270,icd10
I82701,icd10
I82702,icd10
I82703,icd10
I82709,icd10
I8271,icd10
I82711,icd10
I82712,icd10
I82713,icd10
I82719,icd10
I8272,icd10
I82721,icd10
I82722,icd10
I82723,icd10
I82729,icd10
I828,icd10
I8281,icd10
I82811,icd10
I82812,icd10
I82813,icd10
I82819,icd10
I8289,icd10
I82890,icd10
I82891,icd10
I829,icd10
I8290,icd10
I8291,icd10
I82A,icd10
I82A1,icd10
I82A11,icd10
I82A12,icd10
I82A13,icd10
I82A19,icd10
I82A2,icd10
I82A21,icd10
I82A22,icd10
I82A23,icd10
I82A29,icd10
I82B,icd10
I82B1,icd10
I82B11,icd10
I82B12,icd10
I82B13,icd10
I82B19,icd10
I82B2,icd10
I82B21,icd10
I82B22,icd10
I82B23,icd10
I82B29,icd10
I82C,icd10
I82C1,icd10
I82C11,icd10
I82C12,icd10
I82C13,icd10
I82C19,icd10
I82C2,icd10
I82C21,icd10
I82C22,icd10
I82C23,icd10
I82C29,icd10
