code,type
1520,icd9
1521,icd9
1522,icd9
1523,icd9
1528,icd9
1529,icd9
1560,icd9
1561,icd9
1562,icd9
1568,icd9
1569,icd9
1580,icd9
1588,icd9
1589,icd9
1591,icd9
1598,icd9
1599,icd9
20900,icd9
20901,icd9
20902,icd9
20903,icd9
2307,icd9
2309,icd9
V1000,icd9
V1009,icd9
C170,icd10
C171,icd10
C172,icd10
C173,icd10
C178,icd10
C179,icd10
C23,icd10
C240,icd10
C241,icd10
C248,icd10
C249,icd10
C261,icd10
C269,icd10
C451,icd10
C480,icd10
C481,icd10
C482,icd10
C488,icd10
C49A0,icd10
C49A9,icd10
C7A010,icd10
C7A011,icd10
C7A012,icd10
C7A019,icd10
D0140,icd10
D0149,icd10
D017,icd10
D019,icd10
Z8500,icd10
Z85068,icd10
Z8507,icd10
Z8509,icd10
