code,type
098,icd9
0980,icd9
0981,icd9
09810,icd9
09811,icd9
09812,icd9
09813,icd9
09814,icd9
09815,icd9
09816,icd9
09817,icd9
09819,icd9
0982,icd9
0983,icd9
09830,icd9
09831,icd9
09832,icd9
09833,icd9
09834,icd9
09835,icd9
09836,icd9
09837,icd9
09839,icd9
0984,icd9
09840,icd9
09841,icd9
09842,icd9
09843,icd9
09849,icd9
0985,icd9
09850,icd9
09851,icd9
09852,icd9
09853,icd9
09859,icd9
0986,icd9
0987,icd9
0988,icd9
09881,icd9
09882,icd9
09883,icd9
09884,icd9
09885,icd9
09886,icd9
09889,icd9
A54,icd10
A540,icd10
A5400,icd10
A5401,icd10
A5402,icd10
A5403,icd10
A5409,icd10
A541,icd10
A542,icd10
A5421,icd10
A5422,icd10
A5423,icd10
A5424,icd10
A5429,icd10
A543,icd10
A5430,icd10
A5431,icd10
A5432,icd10
A5433,icd10
A5439,icd10
A544,icd10
A5440,icd10
A5441,icd10
A5442,icd10
A5443,icd10
A5449,icd10
A545,icd10
A546,icd10
A548,icd10
A5481,icd10
A5482,icd10
A5483,icd10
A5484,icd10
A5485,icd10
A5486,icd10
A5489,icd10
A549,icd10
