code,type
274,icd9
2740,icd9
27400,icd9
27401,icd9
27402,icd9
27403,icd9
2741,icd9
27410,icd9
27411,icd9
27419,icd9
2748,icd9
27481,icd9
27482,icd9
27489,icd9
2749,icd9
M10,icd10
M100,icd10
M1000,icd10
M1001,icd10
M10011,icd10
M10012,icd10
M10019,icd10
M1002,icd10
M10021,icd10
M10022,icd10
M10029,icd10
M1003,icd10
M10031,icd10
M10032,icd10
M10039,icd10
M1004,icd10
M10041,icd10
M10042,icd10
M10049,icd10
M1005,icd10
M10051,icd10
M10052,icd10
M10059,icd10
M1006,icd10
M10061,icd10
M10062,icd10
M10069,icd10
M1007,icd10
M10071,icd10
M10072,icd10
M10079,icd10
M1008,icd10
M1009,icd10
M101,icd10
M1010,icd10
M1011,icd10
M10111,icd10
M10112,icd10
M10119,icd10
M1012,icd10
M10121,icd10
M10122,icd10
M10129,icd10
M1013,icd10
M10131,icd10
M10132,icd10
M10139,icd10
M1014,icd10
M10141,icd10
M10142,icd10
M10149,icd10
M1015,icd10
M10151,icd10
M10152,icd10
M10159,icd10
M1016,icd10
M10161,icd10
M10162,icd10
M10169,icd10
M1017,icd10
M10171,icd10
M10172,icd10
M10179,icd10
M1018,icd10
M1019,icd10
M102,icd10
M1020,icd10
M1021,icd10
M10211,icd10
M10212,icd10
M10219,icd10
M1022,icd10
M10221,icd10
M10222,icd10
M10229,icd10
M1023,icd10
M10231,icd10
M10232,icd10
M10239,icd10
M1024,icd10
M10241,icd10
M10242,icd10
M10249,icd10
M1025,icd10
M10251,icd10
M10252,icd10
M10259,icd10
M1026,icd10
M10261,icd10
M10262,icd10
M10269,icd10
M1027,icd10
M10271,icd10
M10272,icd10
M10279,icd10
M1028,icd10
M1029,icd10
M103,icd10
M1030,icd10
M1031,icd10
M10311,icd10
M10312,icd10
M10319,icd10
M1032,icd10
M10321,icd10
M10322,icd10
M10329,icd10
M1033,icd10
M10331,icd10
M10332,icd10
M10339,icd10
M1034,icd10
M10341,icd10
M10342,icd10
M10349,icd10
M1035,icd10
M10351,icd10
M10352,icd10
M10359,icd10
M1036,icd10
M10361,icd10
M10362,icd10
M10369,icd10
M1037,icd10
M10371,icd10
M10372,icd10
M10379,icd10
M1038,icd10
M1039,icd10
M104,icd10
M1040,icd10
M1041,icd10
M10411,icd10
M10412,icd10
M10419,icd10
M1042,icd10
M10421,icd10
M10422,icd10
M10429,icd10
M1043,icd10
M10431,icd10
M10432,icd10
M10439,icd10
M1044,icd10
M10441,icd10
M10442,icd10
M10449,icd10
M1045,icd10
M10451,icd10
M10452,icd10
M10459,icd10
M1046,icd10
M10461,icd10
M10462,icd10
M10469,icd10
M1047,icd10
M10471,icd10
M10472,icd10
M10479,icd10
M1048,icd10
M1049,icd10
M109,icd10
M1A,icd10
M1A0,icd10
M1A00,icd10
M1A00X0,icd10
M1A00X1,icd10
M1A01,icd10
M1A011,icd10
M1A0110,icd10
M1A0111,icd10
M1A012,icd10
M1A0120,icd10
M1A0121,icd10
M1A019,icd10
M1A0190,icd10
M1A0191,icd10
M1A02,icd10
M1A021,icd10
M1A0210,icd10
M1A0211,icd10
M1A022,icd10
M1A0220,icd10
M1A0221,icd10
M1A029,icd10
M1A0290,icd10
M1A0291,icd10
M1A03,icd10
M1A031,icd10
M1A0310,icd10
M1A0311,icd10
M1A032,icd10
M1A0320,icd10
M1A0321,icd10
M1A039,icd10
M1A0390,icd10
M1A0391,icd10
M1A04,icd10
M1A041,icd10
M1A0410,icd10
M1A0411,icd10
M1A042,icd10
M1A0420,icd10
M1A0421,icd10
M1A049,icd10
M1A0490,icd10
M1A0491,icd10
M1A05,icd10
M1A051,icd10
M1A0510,icd10
M1A0511,icd10
M1A052,icd10
M1A0520,icd10
M1A0521,icd10
M1A059,icd10
M1A0590,icd10
M1A0591,icd10
M1A06,icd10
M1A061,icd10
M1A0610,icd10
M1A0611,icd10
M1A062,icd10
M1A0620,icd10
M1A0621,icd10
M1A069,icd10
M1A0690,icd10
M1A0691,icd10
M1A07,icd10
M1A071,icd10
M1A0710,icd10
M1A0711,icd10
M1A072,icd10
M1A0720,icd10
M1A0721,icd10
M1A079,icd10
M1A0790,icd10
M1A0791,icd10
M1A08,icd10
M1A08X0,icd10
M1A08X1,icd10
M1A09,icd10
M1A09X0,icd10
M1A09X1,icd10
M1A1,icd10
M1A10,icd10
M1A10X0,icd10
M1A10X1,icd10
M1A11,icd10
M1A111,icd10
M1A1110,icd10
M1A1111,icd10
M1A112,icd10
M1A1120,icd10
M1A1121,icd10
M1A119,icd10
M1A1190,icd10
M1A1191,icd10
M1A12,icd10
M1A121,icd10
M1A1210,icd10
M1A1211,icd10
M1A122,icd10
M1A1220,icd10
M1A1221,icd10
M1A129,icd10
M1A1290,icd10
M1A1291,icd10
M1A13,icd10
M1A131,icd10
M1A1310,icd10
M1A1311,icd10
M1A132,icd10
M1A1320,icd10
M1A1321,icd10
M1A139,icd10
M1A1390,icd10
M1A1391,icd10
M1A14,icd10
M1A141,icd10
M1A1410,icd10
M1A1411,icd10
M1A142,icd10
M1A1420,icd10
M1A1421,icd10
M1A149,icd10
M1A1490,icd10
M1A1491,icd10
M1A15,icd10
M1A151,icd10
M1A1510,icd10
M1A1511,icd10
M1A152,icd10
M1A1520,icd10
M1A1521,icd10
M1A159,icd10
M1A1590,icd10
M1A1591,icd10
M1A16,icd10
M1A161,icd10
M1A1610,icd10
M1A1611,icd10
M1A162,icd10
M1A1620,icd10
M1A1621,icd10
M1A169,icd10
M1A1690,icd10
M1A1691,icd10
M1A17,icd10
M1A171,icd10
M1A1710,icd10
M1A1711,icd10
M1A172,icd10
M1A1720,icd10
M1A1721,icd10
M1A179,icd10
M1A1790,icd10
M1A1791,icd10
M1A18,icd10
M1A18X0,icd10
M1A18X1,icd10
M1A19,icd10
M1A19X0,icd10
M1A19X1,icd10
M1A2,icd10
M1A20,icd10
M1A20X0,icd10
M1A20X1,icd10
M1A21,icd10
M1A211,icd10
M1A2110,icd10
M1A2111,icd10
M1A212,icd10
M1A2120,icd10
M1A2121,icd10
M1A219,icd10
M1A2190,icd10
M1A2191,icd10
M1A22,icd10
M1A221,icd10
M1A2210,icd10
M1A2211,icd10
M1A222,icd10
M1A2220,icd10
M1A2221,icd10
M1A229,icd10
M1A2290,icd10
M1A2291,icd10
M1A23,icd10
M1A231,icd10
M1A2310,icd10
M1A2311,icd10
M1A232,icd10
M1A2320,icd10
M1A2321,icd10
M1A239,icd10
M1A2390,icd10
M1A2391,icd10
