code,type
1400,icd9
1401,icd9
1403,icd9
1404,icd9
1405,icd9
1406,icd9
1408,icd9
1409,icd9
1410,icd9
1411,icd9
1412,icd9
1413,icd9
1414,icd9
1415,icd9
1416,icd9
1418,icd9
1419,icd9
1420,icd9
1421,icd9
1422,icd9
1428,icd9
1429,icd9
1430,icd9
1431,icd9
1438,icd9
1439,icd9
1440,icd9
1441,icd9
1448,icd9
1449,icd9
1450,icd9
1451,icd9
1452,icd9
1453,icd9
1454,icd9
1455,icd9
1456,icd9
1458,icd9
1459,icd9
1460,icd9
1461,icd9
1462,icd9
1463,icd9
1464,icd9
1465,icd9
1466,icd9
1467,icd9
1468,icd9
1469,icd9
1470,icd9
1471,icd9
1472,icd9
1473,icd9
1478,icd9
1479,icd9
1480,icd9
1481,icd9
1482,icd9
1483,icd9
1488,icd9
1489,icd9
1490,icd9
1491,icd9
1498,icd9
1499,icd9
1600,icd9
1601,icd9
1602,icd9
1603,icd9
1604,icd9
1605,icd9
1608,icd9
1609,icd9
1610,icd9
1611,icd9
1612,icd9
1613,icd9
1618,icd9
1619,icd9
1950,icd9
2300,icd9
2310,icd9
V1001,icd9
V1002,icd9
V1021,icd9
C000,icd10
C001,icd10
C002,icd10
C003,icd10
C004,icd10
C005,icd10
C006,icd10
C008,icd10
C009,icd10
C01,icd10
C020,icd10
C021,icd10
C022,icd10
C023,icd10
C024,icd10
C028,icd10
C029,icd10
C030,icd10
C031,icd10
C039,icd10
C040,icd10
C041,icd10
C048,icd10
C049,icd10
C050,icd10
C051,icd10
C052,icd10
C058,icd10
C059,icd10
C060,icd10
C061,icd10
C062,icd10
C0680,icd10
C0689,icd10
C069,icd10
C07,icd10
C080,icd10
C081,icd10
C089,icd10
C090,icd10
C091,icd10
C098,icd10
C099,icd10
C100,icd10
C101,icd10
C102,icd10
C103,icd10
C104,icd10
C108,icd10
C109,icd10
C110,icd10
C111,icd10
C112,icd10
C113,icd10
C118,icd10
C119,icd10
C12,icd10
C130,icd10
C131,icd10
C132,icd10
C138,icd10
C139,icd10
C140,icd10
C142,icd10
C148,icd10
C300,icd10
C301,icd10
C310,icd10
C311,icd10
C312,icd10
C313,icd10
C318,icd10
C319,icd10
C320,icd10
C321,icd10
C322,icd10
C323,icd10
C328,icd10
C329,icd10
C760,icd10
D0000,icd10
D0001,icd10
D0002,icd10
D0003,icd10
D0004,icd10
D0005,icd10
D0006,icd10
D0007,icd10
D0008,icd10
D020,icd10
Z8521,icd10
Z85810,icd10
Z85818,icd10
Z85819,icd10
