code,type
201,icd9
2010,icd9
20100,icd9
20101,icd9
20102,icd9
20103,icd9
20104,icd9
20105,icd9
20106,icd9
20107,icd9
20108,icd9
2011,icd9
20110,icd9
20111,icd9
20112,icd9
20113,icd9
20114,icd9
20115,icd9
20116,icd9
20117,icd9
20118,icd9
2012,icd9
20120,icd9
20121,icd9
20122,icd9
20123,icd9
20124,icd9
20125,icd9
20126,icd9
20127,icd9
20128,icd9
2014,icd9
20140,icd9
20141,icd9
20142,icd9
20143,icd9
20144,icd9
20145,icd9
20146,icd9
20147,icd9
20148,icd9
2015,icd9
20150,icd9
20151,icd9
20152,icd9
20153,icd9
20154,icd9
20155,icd9
20156,icd9
20157,icd9
20158,icd9
2016,icd9
20160,icd9
20161,icd9
20162,icd9
20163,icd9
20164,icd9
20165,icd9
20166,icd9
20167,icd9
20168,icd9
2017,icd9
20170,icd9
20171,icd9
20172,icd9
20173,icd9
20174,icd9
20175,icd9
20176,icd9
20177,icd9
20178,icd9
2019,icd9
20190,icd9
20191,icd9
20192,icd9
20193,icd9
20194,icd9
20195,icd9
20196,icd9
20197,icd9
20198,icd9
C81,icd10
C810,icd10
C8100,icd10
C8101,icd10
C8102,icd10
C8103,icd10
C8104,icd10
C8105,icd10
C8106,icd10
C8107,icd10
C8108,icd10
C8109,icd10
C811,icd10
C8110,icd10
C8111,icd10
C8112,icd10
C8113,icd10
C8114,icd10
C8115,icd10
C8116,icd10
C8117,icd10
C8118,icd10
C8119,icd10
C812,icd10
C8120,icd10
C8121,icd10
C8122,icd10
C8123,icd10
C8124,icd10
C8125,icd10
C8126,icd10
C8127,icd10
C8128,icd10
C8129,icd10
C813,icd10
C8130,icd10
C8131,icd10
C8132,icd10
C8133,icd10
C8134,icd10
C8135,icd10
C8136,icd10
C8137,icd10
C8138,icd10
C8139,icd10
C814,icd10
C8140,icd10
C8141,icd10
C8142,icd10
C8143,icd10
C8144,icd10
C8145,icd10
C8146,icd10
C8147,icd10
C8148,icd10
C8149,icd10
C817,icd10
C8170,icd10
C8171,icd10
C8172,icd10
C8173,icd10
C8174,icd10
C8175,icd10
C8176,icd10
C8177,icd10
C8178,icd10
C8179,icd10
C819,icd10
C8190,icd10
C8191,icd10
C8192,icd10
C8193,icd10
C8194,icd10
C8195,icd10
C8196,icd10
C8197,icd10
C8198,icd10
C8199,icd10
c81,icd10
