code,type
07999,icd9
3829,icd9
460,icd9
4619,icd9
4658,icd9
4659,icd9
4660,icd9
486,icd9
487,icd9
4870,icd9
4871,icd9
4878,icd9
488,icd9
4880,icd9
48801,icd9
48802,icd9
48809,icd9
4881,icd9
48811,icd9
48812,icd9
48819,icd9
4888,icd9
48881,icd9
48882,icd9
48889,icd9
490,icd9
7806,icd9
78060,icd9
78061,icd9
78062,icd9
78063,icd9
78064,icd9
78065,icd9
78066,icd9
7862,icd9
B9789,icd10
H669,icd10
H6690,icd10
H6691,icd10
H6692,icd10
H6693,icd10
J00,icd10
J019,icd10
J0190,icd10
J0191,icd10
J069,icd10
J09,icd10
J09X,icd10
J09X1,icd10
J09X2,icd10
J09X3,icd10
J09X9,icd10
J10,icd10
J100,icd10
J1000,icd10
J1001,icd10
J1008,icd10
J101,icd10
J102,icd10
J108,icd10
J1081,icd10
J1082,icd10
J1083,icd10
J1089,icd10
J11,icd10
J110,icd10
J1100,icd10
J1108,icd10
J111,icd10
J112,icd10
J118,icd10
J1181,icd10
J1182,icd10
J1183,icd10
J1189,icd10
J1289,icd10
J129,icd10
J18,icd10
J180,icd10
J181,icd10
J182,icd10
J188,icd10
J189,icd10
J209,icd10
J40,icd10
R05,icd10
R051,icd10
R052,icd10
R053,icd10
R054,icd10
R058,icd10
R059,icd10
R509,icd10
