code,type
487,icd9
4870,icd9
4871,icd9
4878,icd9
488,icd9
4880,icd9
48801,icd9
48802,icd9
48809,icd9
4881,icd9
48811,icd9
48812,icd9
48819,icd9
4888,icd9
48881,icd9
48882,icd9
48889,icd9
J09,icd10
J09X,icd10
J09X1,icd10
J09X2,icd10
J09X3,icd10
J09X9,icd10
J10,icd10
J100,icd10
J1000,icd10
J1001,icd10
J1008,icd10
J101,icd10
J102,icd10
J108,icd10
J1081,icd10
J1082,icd10
J1083,icd10
J1089,icd10
J11,icd10
J110,icd10
J1100,icd10
J1108,icd10
J111,icd10
J112,icd10
J118,icd10
J1181,icd10
J1182,icd10
J1183,icd10
J1189,icd10
