code,type
7100,icd9
7101,icd9
7102,icd9
7103,icd9
7104,icd9
7108,icd9
7109,icd9
M300,icd10
M301,icd10
M302,icd10
M303,icd10
M308,icd10
M311,icd10
M312,icd10
M3130,icd10
M3131,icd10
M314,icd10
M315,icd10
M316,icd10
M317,icd10
M318,icd10
M319,icd10
M320,icd10
M3210,icd10
M3211,icd10
M3212,icd10
M3213,icd10
M3214,icd10
M3215,icd10
M3219,icd10
M328,icd10
M329,icd10
M3300,icd10
M3301,icd10
M3302,icd10
M3303,icd10
M3309,icd10
M3310,icd10
M3311,icd10
M3312,icd10
M3313,icd10
M3319,icd10
M3320,icd10
M3321,icd10
M3322,icd10
M3329,icd10
M3390,icd10
M3391,icd10
M3392,icd10
M3393,icd10
M3399,icd10
M340,icd10
M341,icd10
M342,icd10
M3481,icd10
M3482,icd10
M3483,icd10
M3489,icd10
M349,icd10
M3500,icd10
M3501,icd10
M3502,icd10
M3503,icd10
M3504,icd10
M3509,icd10
M351,icd10
M355,icd10
M359,icd10
M360,icd10
M368,icd10
