code,type
00321,icd9
0270,icd9
0360,icd9
0361,icd9
320,icd9
3200,icd9
3201,icd9
3202,icd9
3203,icd9
3207,icd9
3208,icd9
32081,icd9
32082,icd9
32089,icd9
3209,icd9
0130,icd9
01300,icd9
01301,icd9
01302,icd9
01303,icd9
01304,icd9
01305,icd9
01306,icd9
0478,icd9
0479,icd9
0490,icd9
0530,icd9
05472,icd9
0721,icd9
09042,icd9
09181,icd9
0942,icd9
09882,icd9
10081,icd9
11283,icd9
1142,icd9
11501,icd9
11511,icd9
11591,icd9
3210,icd9
3220,icd9
3221,icd9
3222,icd9
G00,icd10
G000,icd10
G001,icd10
G002,icd10
G003,icd10
G008,icd10
G009,icd10
G03,icd10
G030,icd10
G031,icd10
G032,icd10
G038,icd10
G039,icd10
A87,icd10
A870,icd10
A871,icd10
A872,icd10
A878,icd10
A879,icd10
A0101,icd10
A0221,icd10
A170,icd10
A203,icd10
A2781,icd10
A321,icd10
A3211,icd10
A390,icd10
A4281,icd10
A5041,icd10
A5141,icd10
A5213,icd10
A5481,icd10
B003,icd10
B010,icd10
B021,icd10
B051,icd10
B0602,icd10
B261,icd10
B2702,icd10
B2712,icd10
B2782,icd10
B2792,icd10
B375,icd10
B384,icd10
D8681,icd10
