code,type
20000,icd9
20001,icd9
20002,icd9
20003,icd9
20004,icd9
20005,icd9
20006,icd9
20007,icd9
20008,icd9
20010,icd9
20011,icd9
20012,icd9
20013,icd9
20014,icd9
20015,icd9
20016,icd9
20017,icd9
20018,icd9
20020,icd9
20021,icd9
20022,icd9
20023,icd9
20024,icd9
20025,icd9
20026,icd9
20027,icd9
20028,icd9
20030,icd9
20031,icd9
20032,icd9
20033,icd9
20034,icd9
20035,icd9
20036,icd9
20037,icd9
20038,icd9
20040,icd9
20041,icd9
20042,icd9
20043,icd9
20044,icd9
20045,icd9
20046,icd9
20047,icd9
20048,icd9
20050,icd9
20051,icd9
20052,icd9
20053,icd9
20054,icd9
20055,icd9
20056,icd9
20057,icd9
20058,icd9
20060,icd9
20061,icd9
20062,icd9
20063,icd9
20064,icd9
20065,icd9
20066,icd9
20067,icd9
20068,icd9
20070,icd9
20071,icd9
20072,icd9
20073,icd9
20074,icd9
20075,icd9
20076,icd9
20077,icd9
20078,icd9
20080,icd9
20081,icd9
20082,icd9
20083,icd9
20084,icd9
20085,icd9
20086,icd9
20087,icd9
20088,icd9
20200,icd9
20201,icd9
20202,icd9
20203,icd9
20204,icd9
20205,icd9
20206,icd9
20207,icd9
20208,icd9
20210,icd9
20211,icd9
20212,icd9
20213,icd9
20214,icd9
20215,icd9
20216,icd9
20217,icd9
20218,icd9
20220,icd9
20221,icd9
20222,icd9
20223,icd9
20224,icd9
20225,icd9
20226,icd9
20227,icd9
20228,icd9
20270,icd9
20271,icd9
20272,icd9
20273,icd9
20274,icd9
20275,icd9
20276,icd9
20277,icd9
20278,icd9
20280,icd9
20281,icd9
20282,icd9
20283,icd9
20284,icd9
20285,icd9
20286,icd9
20287,icd9
20288,icd9
20290,icd9
20291,icd9
20292,icd9
20293,icd9
20294,icd9
20295,icd9
20296,icd9
20297,icd9
20298,icd9
V1071,icd9
V1079,icd9
C8200,icd10
C8201,icd10
C8202,icd10
C8203,icd10
C8204,icd10
C8205,icd10
C8206,icd10
C8207,icd10
C8208,icd10
C8209,icd10
C8210,icd10
C8211,icd10
C8212,icd10
C8213,icd10
C8214,icd10
C8215,icd10
C8216,icd10
C8217,icd10
C8218,icd10
C8219,icd10
C8220,icd10
C8221,icd10
C8222,icd10
C8223,icd10
C8224,icd10
C8225,icd10
C8226,icd10
C8227,icd10
C8228,icd10
C8229,icd10
C8230,icd10
C8231,icd10
C8232,icd10
C8233,icd10
C8234,icd10
C8235,icd10
C8236,icd10
C8237,icd10
C8238,icd10
C8239,icd10
C8240,icd10
C8241,icd10
C8242,icd10
C8243,icd10
C8244,icd10
C8245,icd10
C8246,icd10
C8247,icd10
C8248,icd10
C8249,icd10
C8250,icd10
C8251,icd10
C8252,icd10
C8253,icd10
C8254,icd10
C8255,icd10
C8256,icd10
C8257,icd10
C8258,icd10
C8259,icd10
C8260,icd10
C8261,icd10
C8262,icd10
C8263,icd10
C8264,icd10
C8265,icd10
C8266,icd10
C8267,icd10
C8268,icd10
C8269,icd10
C8280,icd10
C8281,icd10
C8282,icd10
C8283,icd10
C8284,icd10
C8285,icd10
C8286,icd10
C8287,icd10
C8288,icd10
C8289,icd10
C8290,icd10
C8291,icd10
C8292,icd10
C8293,icd10
C8294,icd10
C8295,icd10
C8296,icd10
C8297,icd10
C8298,icd10
C8299,icd10
C8300,icd10
C8301,icd10
C8302,icd10
C8303,icd10
C8304,icd10
C8305,icd10
C8306,icd10
C8307,icd10
C8308,icd10
C8309,icd10
C8310,icd10
C8311,icd10
C8312,icd10
C8313,icd10
C8314,icd10
C8315,icd10
C8316,icd10
C8317,icd10
C8318,icd10
C8319,icd10
C8330,icd10
C8331,icd10
C8332,icd10
C8333,icd10
C8334,icd10
C8335,icd10
C8336,icd10
C8337,icd10
C8338,icd10
C8339,icd10
C8350,icd10
C8351,icd10
C8352,icd10
C8353,icd10
C8354,icd10
C8355,icd10
C8356,icd10
C8357,icd10
C8358,icd10
C8359,icd10
C8370,icd10
C8371,icd10
C8372,icd10
C8373,icd10
C8374,icd10
C8375,icd10
C8376,icd10
C8377,icd10
