code,type
9650,icd9
96500,icd9
96501,icd9
96502,icd9
96509,icd9
E8500,icd9
E8501,icd9
E8502,icd9
T400,icd10
T400X,icd10
T400X1,icd10
T400X1A,icd10
T400X1D,icd10
T400X1S,icd10
T400X2,icd10
T400X2A,icd10
T400X2D,icd10
T400X2S,icd10
T400X3,icd10
T400X3A,icd10
T400X3D,icd10
T400X3S,icd10
T400X4,icd10
T400X4A,icd10
T400X4D,icd10
T400X4S,icd10
T400X5,icd10
T400X5A,icd10
T400X5D,icd10
T400X5S,icd10
T400X6,icd10
T400X6A,icd10
T400X6D,icd10
T400X6S,icd10
T401,icd10
T401X,icd10
T401X1,icd10
T401X1A,icd10
T401X1D,icd10
T401X1S,icd10
T401X2,icd10
T401X2A,icd10
T401X2D,icd10
T401X2S,icd10
T401X3,icd10
T401X3A,icd10
T401X3D,icd10
T401X3S,icd10
T401X4,icd10
T401X4A,icd10
T401X4D,icd10
T401X4S,icd10
T402,icd10
T402X,icd10
T402X1,icd10
T402X1A,icd10
T402X1D,icd10
T402X1S,icd10
T402X2,icd10
T402X2A,icd10
T402X2D,icd10
T402X2S,icd10
T402X3,icd10
T402X3A,icd10
T402X3D,icd10
T402X3S,icd10
T402X4,icd10
T402X4A,icd10
T402X4D,icd10
T402X4S,icd10
T402X5,icd10
T402X5A,icd10
T402X5D,icd10
T402X5S,icd10
T402X6,icd10
T402X6A,icd10
T402X6D,icd10
T402X6S,icd10
T403,icd10
T403X,icd10
T403X1,icd10
T403X1A,icd10
T403X1D,icd10
T403X1S,icd10
T403X2,icd10
T403X2A,icd10
T403X2D,icd10
T403X2S,icd10
T403X3,icd10
T403X3A,icd10
T403X3D,icd10
T403X3S,icd10
T403X4,icd10
T403X4A,icd10
T403X4D,icd10
T403X4S,icd10
T403X5,icd10
T403X5A,icd10
T403X5D,icd10
T403X5S,icd10
T403X6,icd10
T403X6A,icd10
T403X6D,icd10
T403X6S,icd10
T404,icd10
T404X,icd10
T404X1,icd10
T404X1A,icd10
T404X1D,icd10
T404X1S,icd10
T404X2,icd10
T404X2A,icd10
T404X2D,icd10
T404X2S,icd10
T404X3,icd10
T404X3A,icd10
T404X3D,icd10
T404X3S,icd10
T404X4,icd10
T404X4A,icd10
T404X4D,icd10
T404X4S,icd10
T404X5,icd10
T404X5A,icd10
T404X5D,icd10
T404X5S,icd10
T404X6,icd10
T404X6A,icd10
T404X6D,icd10
T404X6S,icd10
