code,type
5770,icd9
5771,icd9
5772,icd9
5778,icd9
5779,icd9
K85,icd10
K850,icd10
K8500,icd10
K8501,icd10
K8502,icd10
K851,icd10
K8510,icd10
K8511,icd10
K8512,icd10
K852,icd10
K8520,icd10
K8521,icd10
K8522,icd10
K853,icd10
K8530,icd10
K8531,icd10
K8532,icd10
K858,icd10
K8580,icd10
K8581,icd10
K8582,icd10
K859,icd10
K8590,icd10
K8591,icd10
K8592,icd10
K860,icd10
K861,icd10
K862,icd10
K863,icd10
K868,icd10
K8681,icd10
K8689,icd10
K869,icd10
5201,icd9pcs
5209,icd9pcs
5211,icd9pcs
5212,icd9pcs
5491,icd9pcs
0F9G00Z,icd10pcs
0F9G0ZX,icd10pcs
0F9G0ZZ,icd10pcs
0F9G30Z,icd10pcs
0F9G3ZX,icd10pcs
0F9G3ZZ,icd10pcs
0F9G40Z,icd10pcs
0F9G4ZX,icd10pcs
0F9G4ZZ,icd10pcs
0F9G80Z,icd10pcs
0F9G8ZX,icd10pcs
0F9G8ZZ,icd10pcs
