code,type
3320,icd9
G20,icd10
00004005401,ndc
00004005414,ndc
00004005501,ndc
00004005514,ndc
00004005601,ndc
00004005614,ndc
00004005701,ndc
00004005714,ndc
00004007201,ndc
00004010301,ndc
00006391568,ndc
00006391668,ndc
00006391768,ndc
00006391868,ndc
00006391968,ndc
00006672268,ndc
00006672468,ndc
00056025168,ndc
00056027168,ndc
00056027268,ndc
00056052128,ndc
00056052168,ndc
00056052185,ndc
00056060128,ndc
00056060168,ndc
00056064728,ndc
00056064768,ndc
00056065028,ndc
00056065068,ndc
00056065428,ndc
00056065468,ndc
00074301207,ndc
00078040705,ndc
00078040805,ndc
00078040905,ndc
00078052705,ndc
00078054405,ndc
00078054505,ndc
00091334101,ndc
00091334201,ndc
00091334301,ndc
00093029201,ndc
00093029205,ndc
00093029301,ndc
00093029305,ndc
00093029310,ndc
00093029401,ndc
00093029405,ndc
00093029410,ndc
00093970101,ndc
00093970105,ndc
00093970201,ndc
00093970205,ndc
00093970210,ndc
00115391101,ndc
00115391102,ndc
00115392201,ndc
00115392202,ndc
00182194801,ndc
00182194805,ndc
00182194889,ndc
00182194901,ndc
00182194905,ndc
00182194910,ndc
00182194989,ndc
00182195001,ndc
00182195005,ndc
00182195010,ndc
00182195089,ndc
00228253810,ndc
00228253850,ndc
00228253910,ndc
00228253950,ndc
00228253996,ndc
00228254010,ndc
00228254050,ndc
00228254096,ndc
00364253801,ndc
00364253901,ndc
00364254001,ndc
00378007801,ndc
00378008501,ndc
00378008801,ndc
00378009401,ndc
00378113301,ndc
00378505101,ndc
00378505201,ndc
00378505301,ndc
00378830001,ndc
00378830101,ndc
00378830201,ndc
00378830301,ndc
00378830401,ndc
00378830501,ndc
00403419101,ndc
00405413201,ndc
00405413301,ndc
00405413401,ndc
00536555501,ndc
00536555601,ndc
00536555701,ndc
00580020101,ndc
00603256821,ndc
00603256921,ndc
00603257021,ndc
00615353713,ndc
00615353729,ndc
00615353743,ndc
00615353753,ndc
00615353763,ndc
00615353765,ndc
00615356113,ndc
00615356129,ndc
00615356143,ndc
00615356153,ndc
00615356163,ndc
00615356165,ndc
00615450429,ndc
00615450443,ndc
00615450453,ndc
00615450463,ndc
00615450465,ndc
00615456853,ndc
00615456863,ndc
00677149301,ndc
00677149401,ndc
00677149501,ndc
00781162601,ndc
00781162613,ndc
00781162701,ndc
00781162713,ndc
00781162801,ndc
00781162813,ndc
00781561301,ndc
00781562501,ndc
00781563701,ndc
00781564101,ndc
00781565401,ndc
00781566901,ndc
00839776506,ndc
00839776606,ndc
00839776706,ndc
00904574961,ndc
00904575061,ndc
00904623761,ndc
00904623861,ndc
00904725761,ndc
00904771860,ndc
00904771861,ndc
00904771960,ndc
00904771961,ndc
00904772060,ndc
00904772061,ndc
10144034260,ndc
12280011700,ndc
16571068901,ndc
16571069001,ndc
16571069101,ndc
16571069201,ndc
16571069301,ndc
16571069401,ndc
16729007801,ndc
16729007817,ndc
16729007901,ndc
16729007917,ndc
18860034101,ndc
18860034201,ndc
18860034301,ndc
21695050530,ndc
21695050560,ndc
21695061130,ndc
33261071930,ndc
33261071990,ndc
33261072030,ndc
33261072090,ndc
35356035530,ndc
35356035560,ndc
35356035590,ndc
35356062860,ndc
35356062960,ndc
38779023503,ndc
38779023504,ndc
38779023505,ndc
38779023508,ndc
38779023510,ndc
38779023515,ndc
38779023525,ndc
38779023550,ndc
42291046501,ndc
42291046550,ndc
42291046601,ndc
42291046610,ndc
42291046701,ndc
42291046710,ndc
42291047101,ndc
42291047150,ndc
42291047201,ndc
42291047210,ndc
47335000188,ndc
47335000288,ndc
47335000388,ndc
47335000488,ndc
47335000588,ndc
47335000688,ndc
47335018688,ndc
47335018788,ndc
47335018888,ndc
49452268001,ndc
49452268002,ndc
49452268003,ndc
49452268004,ndc
49452268005,ndc
49999099860,ndc
49999099960,ndc
50090341901,ndc
50090385701,ndc
50228045701,ndc
50228045705,ndc
50228045801,ndc
50228045805,ndc
50228045810,ndc
50228045901,ndc
50228045905,ndc
50228046001,ndc
50228046010,ndc
50228046101,ndc
50228046110,ndc
50436675302,ndc
50962070057,ndc
51079075501,ndc
51079075520,ndc
51079075601,ndc
51079075617,ndc
51079075619,ndc
51079075620,ndc
51079075624,ndc
51079075657,ndc
51079078301,ndc
51079078320,ndc
51079086101,ndc
51079086120,ndc
51079088401,ndc
51079088417,ndc
51079088419,ndc
51079088420,ndc
51079088501,ndc
51079088520,ndc
51079092301,ndc
51079092317,ndc
51079092319,ndc
51079092320,ndc
51079092357,ndc
51079097801,ndc
51079097820,ndc
51079097857,ndc
51407016601,ndc
51407016605,ndc
51407016701,ndc
51407016705,ndc
51407016801,ndc
51407016805,ndc
51552134803,ndc
51552134804,ndc
51862007701,ndc
51862007705,ndc
51862007801,ndc
51862007805,ndc
51862007901,ndc
51862007905,ndc
51862007910,ndc
51862008001,ndc
51862008005,ndc
51862008010,ndc
51862085501,ndc
51862085505,ndc
51862085601,ndc
51862085605,ndc
51862085610,ndc
51862085801,ndc
51862085805,ndc
51862085810,ndc
51927213900,ndc
52427080501,ndc
52427080901,ndc
52427081601,ndc
52427082701,ndc
52427083401,ndc
52427084201,ndc
54092006001,ndc
54092006101,ndc
54092006201,ndc
54569040500,ndc
54569282200,ndc
54569498800,ndc
54569498801,ndc
54569649100,ndc
54868127001,ndc
54868133400,ndc
54868133401,ndc
54868133402,ndc
54868133404,ndc
54868133405,ndc
54868133406,ndc
54868133407,ndc
54868154401,ndc
54868188200,ndc
54868188201,ndc
54868188202,ndc
54868283400,ndc
54868283401,ndc
54868283402,ndc
54868286600,ndc
54868286601,ndc
54868286602,ndc
54868565900,ndc
54868565901,ndc
54868577602,ndc
55048005230,ndc
55048005330,ndc
55048005430,ndc
55154788600,ndc
55700064230,ndc
57480047601,ndc
57480047606,ndc
57480080701,ndc
57480080706,ndc
57480080801,ndc
57480080806,ndc
57866673501,ndc
57866673601,ndc
57866673701,ndc
57866673801,ndc
57866673901,ndc
58016095800,ndc
58016095820,ndc
58016095830,ndc
58016095840,ndc
58016095856,ndc
58016095890,ndc
58177038304,ndc
59075058510,ndc
59075058710,ndc
59591024668,ndc
59591024768,ndc
59591025068,ndc
60429015201,ndc
60429015301,ndc
60429015310,ndc
60429015401,ndc
60429015405,ndc
60429065001,ndc
60429065005,ndc
60429065101,ndc
60429065105,ndc
60429065201,ndc
60429065205,ndc
60505012801,ndc
60505012802,ndc
60505012901,ndc
60505012902,ndc
60505013001,ndc
60505013002,ndc
60505013100,ndc
60505013101,ndc
60505013200,ndc
60505013201,ndc
60687066101,ndc
60687066111,ndc
60809011355,ndc
60809011372,ndc
60809012555,ndc
60809012572,ndc
60951060368,ndc
60951060568,ndc
60951060585,ndc
60951060768,ndc
60951060785,ndc
61392017730,ndc
61392017731,ndc
61392017732,ndc
61392017739,ndc
61392017745,ndc
61392017751,ndc
61392017754,ndc
61392017756,ndc
61392017760,ndc
61392017790,ndc
61392017791,ndc
61392018030,ndc
61392018031,ndc
61392018032,ndc
61392018039,ndc
61392018045,ndc
61392018051,ndc
61392018054,ndc
61392018056,ndc
61392018060,ndc
61392018090,ndc
61392018091,ndc
61392018330,ndc
61392018331,ndc
61392018332,ndc
61392018339,ndc
61392018345,ndc
61392018351,ndc
61392018354,ndc
61392018356,ndc
61392018360,ndc
61392018390,ndc
61392018391,ndc
62584064101,ndc
62584064201,ndc
62584064233,ndc
62584064301,ndc
62756018688,ndc
62756018788,ndc
62756018888,ndc
62756045788,ndc
62756046188,ndc
62756051713,ndc
62756051788,ndc
62756051813,ndc
62756051818,ndc
62756051888,ndc
62756051913,ndc
62756051988,ndc
62756098501,ndc
62756098502,ndc
62991203901,ndc
62991203902,ndc
62991203903,ndc
62991203904,ndc
62991285601,ndc
62991285602,ndc
62991285603,ndc
62991285604,ndc
63629163801,ndc
63629235501,ndc
63629235601,ndc
63629235701,ndc
63629235801,ndc
63629915401,ndc
63739001310,ndc
63739001710,ndc
63739004601,ndc
63739004602,ndc
63739004603,ndc
63739004610,ndc
63739004615,ndc
63739004701,ndc
63739004702,ndc
63739004703,ndc
63739004704,ndc
63739004710,ndc
63739004715,ndc
63739004801,ndc
63739004803,ndc
63739004810,ndc
63739004815,ndc
63739010710,ndc
63739010810,ndc
64679078202,ndc
64679078204,ndc
64679078302,ndc
64679078304,ndc
64679078402,ndc
64679078404,ndc
64679078502,ndc
64679078504,ndc
64679078602,ndc
64679078604,ndc
64679078702,ndc
64679078704,ndc
64896066101,ndc
64896066143,ndc
64896066201,ndc
64896066243,ndc
64896066301,ndc
64896066343,ndc
64896066401,ndc
64896066443,ndc
68001017100,ndc
68001017200,ndc
68084009201,ndc
68084009301,ndc
68084009311,ndc
68084009401,ndc
68084009411,ndc
68084028101,ndc
68084028111,ndc
68084028201,ndc
68084028211,ndc
68115045460,ndc
68258714003,ndc
68258714109,ndc
69367033801,ndc
69367033805,ndc
69367033901,ndc
69367033905,ndc
69367033910,ndc
69367034001,ndc
69367034005,ndc
71205087700,ndc
71205087711,ndc
71205087730,ndc
71205087755,ndc
71205087760,ndc
71205087764,ndc
71205087772,ndc
71205087778,ndc
71205087790,ndc
71205087800,ndc
71205087811,ndc
71205087830,ndc
71205087855,ndc
71205087860,ndc
71205087864,ndc
71205087872,ndc
71205087878,ndc
71205087890,ndc
71205087900,ndc
71205087911,ndc
71205087930,ndc
71205087955,ndc
71205087960,ndc
71205087964,ndc
71205087972,ndc
71205087978,ndc
71205087990,ndc
75854070101,ndc
78206016601,ndc
78206016801,ndc
00537626401,ndc
