code,type
1410,icd9
1416,icd9
1418,icd9
1453,icd9
1454,icd9
1456,icd9
1460,icd9
1461,icd9
1462,icd9
1463,icd9
1464,icd9
1466,icd9
1467,icd9
1468,icd9
1469,icd9
1480,icd9
1481,icd9
1482,icd9
1483,icd9
1488,icd9
1489,icd9
1490,icd9
1610,icd9
1611,icd9
1612,icd9
1618,icd9
1619,icd9
C140,icd10
C109,icd10
C329,icd10
C028,icd10
C024,icd10
C051,icd10
C052,icd10
C062,icd10
C090,icd10
C091,icd10
C098,icd10
C099,icd10
C100,icd10
C101,icd10
C102,icd10
C103,icd10
C108,icd10
C130,icd10
C131,icd10
C132,icd10
C138,icd10
C139,icd10
C320,icd10
C321,icd10
C322,icd10
C328,icd10
C019,icd10
C129,icd10
