code,type
00322,icd9
0203,icd9
0204,icd9
0205,icd9
0212,icd9
0221,icd9
0310,icd9
0391,icd9
0521,icd9
0551,icd9
0730,icd9
0830,icd9
1124,icd9
1140,icd9
1144,icd9
1145,icd9
11505,icd9
11515,icd9
11595,icd9
1304,icd9
1363,icd9
4800,icd9
4801,icd9
4802,icd9
4803,icd9
4808,icd9
4809,icd9
481,icd9
4820,icd9
4821,icd9
4822,icd9
4823,icd9
48230,icd9
48231,icd9
48232,icd9
48239,icd9
4824,icd9
48240,icd9
48241,icd9
48242,icd9
48249,icd9
4828,icd9
48281,icd9
48282,icd9
48283,icd9
48284,icd9
48289,icd9
4829,icd9
483,icd9
4830,icd9
4831,icd9
4838,icd9
4841,icd9
4843,icd9
4845,icd9
4846,icd9
4847,icd9
4848,icd9
485,icd9
486,icd9
5130,icd9
5171,icd9
A0103,icd10
A0222,icd10
A202,icd10
A212,icd10
A221,icd10
A310,icd10
A3701,icd10
A3711,icd10
A430,icd10
A481,icd10
B012,icd10
B052,icd10
B0681,icd10
B250,icd10
B371,icd10
B380,icd10
B381,icd10
B382,icd10
B390,icd10
B391,icd10
B392,icd10
B583,icd10
B59,icd10
B7781,icd10
J120,icd10
J121,icd10
J122,icd10
J123,icd10
J1281,icd10
J1289,icd10
J129,icd10
J13,icd10
J14,icd10
J150,icd10
J151,icd10
J1520,icd10
J15211,icd10
J15212,icd10
J1529,icd10
J153,icd10
J154,icd10
J155,icd10
J156,icd10
J157,icd10
J158,icd10
J159,icd10
J160,icd10
J168,icd10
J17,icd10
J180,icd10
J181,icd10
J188,icd10
J189,icd10
J851,icd10
