code,type
711,icd9
7110,icd9
71100,icd9
71101,icd9
71102,icd9
71103,icd9
71104,icd9
71105,icd9
71106,icd9
71107,icd9
71108,icd9
71109,icd9
7111,icd9
71110,icd9
71111,icd9
71112,icd9
71113,icd9
71114,icd9
71115,icd9
71116,icd9
71117,icd9
71118,icd9
71119,icd9
7112,icd9
71120,icd9
71121,icd9
71122,icd9
71123,icd9
71124,icd9
71125,icd9
71126,icd9
71127,icd9
71128,icd9
71129,icd9
7113,icd9
71130,icd9
71131,icd9
71132,icd9
71133,icd9
71134,icd9
71135,icd9
71136,icd9
71137,icd9
71138,icd9
71139,icd9
7114,icd9
71140,icd9
71141,icd9
71142,icd9
71143,icd9
71144,icd9
71145,icd9
71146,icd9
71147,icd9
71148,icd9
71149,icd9
7115,icd9
71150,icd9
71151,icd9
71152,icd9
71153,icd9
71154,icd9
71155,icd9
71156,icd9
71157,icd9
71158,icd9
71159,icd9
7116,icd9
71160,icd9
71161,icd9
71162,icd9
71163,icd9
71164,icd9
71165,icd9
71166,icd9
71167,icd9
71168,icd9
71169,icd9
7117,icd9
71170,icd9
71171,icd9
71172,icd9
71173,icd9
71174,icd9
71175,icd9
71176,icd9
71177,icd9
71178,icd9
71179,icd9
7118,icd9
71180,icd9
71181,icd9
71182,icd9
71183,icd9
71184,icd9
71185,icd9
71186,icd9
71187,icd9
71188,icd9
71189,icd9
7119,icd9
71190,icd9
71191,icd9
71192,icd9
71193,icd9
71194,icd9
71195,icd9
71196,icd9
71197,icd9
71198,icd9
71199,icd9
713,icd9
7130,icd9
7131,icd9
7132,icd9
7133,icd9
7134,icd9
7135,icd9
7136,icd9
7137,icd9
7138,icd9
M02,icd10
M020,icd10
M0200,icd10
M0201,icd10
M02011,icd10
M02012,icd10
M02019,icd10
M0202,icd10
M02021,icd10
M02022,icd10
M02029,icd10
M0203,icd10
M02031,icd10
M02032,icd10
M02039,icd10
M0204,icd10
M02041,icd10
M02042,icd10
M02049,icd10
M0205,icd10
M02051,icd10
M02052,icd10
M02059,icd10
M0206,icd10
M02061,icd10
M02062,icd10
M02069,icd10
M0207,icd10
M02071,icd10
M02072,icd10
M02079,icd10
M0208,icd10
M0209,icd10
M021,icd10
M0210,icd10
M0211,icd10
M02111,icd10
M02112,icd10
M02119,icd10
M0212,icd10
M02121,icd10
M02122,icd10
M02129,icd10
M0213,icd10
M02131,icd10
M02132,icd10
M02139,icd10
M0214,icd10
M02141,icd10
M02142,icd10
M02149,icd10
M0215,icd10
M02151,icd10
M02152,icd10
M02159,icd10
M0216,icd10
M02161,icd10
M02162,icd10
M02169,icd10
M0217,icd10
M02171,icd10
M02172,icd10
M02179,icd10
M0218,icd10
M0219,icd10
M022,icd10
M0220,icd10
M0221,icd10
M02211,icd10
M02212,icd10
M02219,icd10
M0222,icd10
M02221,icd10
M02222,icd10
M02229,icd10
M0223,icd10
M02231,icd10
M02232,icd10
M02239,icd10
M0224,icd10
M02241,icd10
M02242,icd10
M02249,icd10
M0225,icd10
M02251,icd10
M02252,icd10
M02259,icd10
M0226,icd10
M02261,icd10
M02262,icd10
M02269,icd10
M0227,icd10
M02271,icd10
M02272,icd10
M02279,icd10
M0228,icd10
M0229,icd10
M023,icd10
M0230,icd10
M0231,icd10
M02311,icd10
M02312,icd10
M02319,icd10
M0232,icd10
M02321,icd10
M02322,icd10
M02329,icd10
M0233,icd10
M02331,icd10
M02332,icd10
M02339,icd10
M0234,icd10
M02341,icd10
M02342,icd10
M02349,icd10
M0235,icd10
M02351,icd10
M02352,icd10
M02359,icd10
M0236,icd10
M02361,icd10
M02362,icd10
M02369,icd10
M0237,icd10
M02371,icd10
M02372,icd10
M02379,icd10
M0238,icd10
M0239,icd10
M028,icd10
M0280,icd10
M0281,icd10
M02811,icd10
M02812,icd10
M02819,icd10
M0282,icd10
M02821,icd10
M02822,icd10
M02829,icd10
M0283,icd10
M02831,icd10
M02832,icd10
M02839,icd10
M0284,icd10
M02841,icd10
M02842,icd10
M02849,icd10
M0285,icd10
M02851,icd10
M02852,icd10
M02859,icd10
M0286,icd10
M02861,icd10
M02862,icd10
M02869,icd10
M0287,icd10
M02871,icd10
M02872,icd10
M02879,icd10
M0288,icd10
M0289,icd10
M029,icd10
