code,type
630,icd9
631,icd9
6310,icd9
6318,icd9
632,icd9
633,icd9
6330,icd9
63300,icd9
63301,icd9
6331,icd9
63310,icd9
63311,icd9
6332,icd9
63320,icd9
63321,icd9
6338,icd9
63380,icd9
63381,icd9
6339,icd9
63390,icd9
63391,icd9
634,icd9
6340,icd9
63400,icd9
63401,icd9
63402,icd9
6341,icd9
63410,icd9
63411,icd9
63412,icd9
6342,icd9
63420,icd9
63421,icd9
63422,icd9
6343,icd9
63430,icd9
63431,icd9
63432,icd9
6344,icd9
63440,icd9
63441,icd9
63442,icd9
6345,icd9
63450,icd9
63451,icd9
63452,icd9
6346,icd9
63460,icd9
63461,icd9
63462,icd9
6347,icd9
63470,icd9
63471,icd9
63472,icd9
6348,icd9
63480,icd9
63481,icd9
63482,icd9
6349,icd9
63490,icd9
63491,icd9
63492,icd9
635,icd9
6350,icd9
63500,icd9
63501,icd9
63502,icd9
6351,icd9
63510,icd9
63511,icd9
63512,icd9
6352,icd9
63520,icd9
63521,icd9
63522,icd9
6353,icd9
63530,icd9
63531,icd9
63532,icd9
6354,icd9
63540,icd9
63541,icd9
63542,icd9
6355,icd9
63550,icd9
63551,icd9
63552,icd9
6356,icd9
63560,icd9
63561,icd9
63562,icd9
6357,icd9
63570,icd9
63571,icd9
63572,icd9
6358,icd9
63580,icd9
63581,icd9
63582,icd9
6359,icd9
63590,icd9
63591,icd9
63592,icd9
636,icd9
6360,icd9
63600,icd9
63601,icd9
63602,icd9
6361,icd9
63610,icd9
63611,icd9
63612,icd9
6362,icd9
63620,icd9
63621,icd9
63622,icd9
6363,icd9
63630,icd9
63631,icd9
63632,icd9
6364,icd9
63640,icd9
63641,icd9
63642,icd9
6365,icd9
63650,icd9
63651,icd9
63652,icd9
6366,icd9
63660,icd9
63661,icd9
63662,icd9
6367,icd9
63670,icd9
63671,icd9
63672,icd9
6368,icd9
63680,icd9
63681,icd9
63682,icd9
6369,icd9
63690,icd9
63691,icd9
63692,icd9
637,icd9
6370,icd9
63700,icd9
63701,icd9
63702,icd9
6371,icd9
63710,icd9
63711,icd9
63712,icd9
6372,icd9
63720,icd9
63721,icd9
63722,icd9
6373,icd9
63730,icd9
63731,icd9
63732,icd9
6374,icd9
63740,icd9
63741,icd9
63742,icd9
6375,icd9
63750,icd9
63751,icd9
63752,icd9
6376,icd9
63760,icd9
63761,icd9
63762,icd9
6377,icd9
63770,icd9
63771,icd9
63772,icd9
6378,icd9
63780,icd9
63781,icd9
63782,icd9
6379,icd9
63790,icd9
63791,icd9
63792,icd9
638,icd9
6380,icd9
6381,icd9
6382,icd9
6383,icd9
6384,icd9
6385,icd9
6386,icd9
6387,icd9
6388,icd9
6389,icd9
639,icd9
6390,icd9
6391,icd9
6392,icd9
6393,icd9
6394,icd9
6395,icd9
6396,icd9
6398,icd9
6399,icd9
640,icd9
6400,icd9
64000,icd9
64001,icd9
64003,icd9
6408,icd9
64080,icd9
64081,icd9
64083,icd9
6409,icd9
64090,icd9
64091,icd9
64093,icd9
641,icd9
6410,icd9
64100,icd9
64101,icd9
64103,icd9
6411,icd9
64110,icd9
64111,icd9
64113,icd9
6412,icd9
64120,icd9
64121,icd9
64123,icd9
6413,icd9
64130,icd9
64131,icd9
64133,icd9
6418,icd9
64180,icd9
64181,icd9
64183,icd9
6419,icd9
64190,icd9
64191,icd9
64193,icd9
642,icd9
6420,icd9
64200,icd9
64201,icd9
64202,icd9
64203,icd9
64204,icd9
6421,icd9
64210,icd9
64211,icd9
64212,icd9
64213,icd9
64214,icd9
6422,icd9
64220,icd9
64221,icd9
64222,icd9
64223,icd9
64224,icd9
6423,icd9
64230,icd9
64231,icd9
64232,icd9
64233,icd9
64234,icd9
6424,icd9
64240,icd9
64241,icd9
64242,icd9
64243,icd9
64244,icd9
6425,icd9
64250,icd9
64251,icd9
64252,icd9
64253,icd9
64254,icd9
6426,icd9
64260,icd9
64261,icd9
64262,icd9
64263,icd9
64264,icd9
6427,icd9
64270,icd9
64271,icd9
64272,icd9
64273,icd9
64274,icd9
6429,icd9
64290,icd9
64291,icd9
64292,icd9
64293,icd9
64294,icd9
643,icd9
6430,icd9
64300,icd9
64301,icd9
64303,icd9
6431,icd9
64310,icd9
64311,icd9
64313,icd9
6432,icd9
64320,icd9
64321,icd9
64323,icd9
6438,icd9
64380,icd9
64381,icd9
64383,icd9
6439,icd9
64390,icd9
64391,icd9
64393,icd9
644,icd9
6440,icd9
64400,icd9
64403,icd9
6441,icd9
64410,icd9
64413,icd9
6442,icd9
64420,icd9
64421,icd9
645,icd9
6451,icd9
64510,icd9
64511,icd9
64513,icd9
6452,icd9
64520,icd9
64521,icd9
64523,icd9
646,icd9
6460,icd9
64600,icd9
64601,icd9
64603,icd9
6461,icd9
64610,icd9
64611,icd9
64612,icd9
64613,icd9
64614,icd9
6462,icd9
64620,icd9
64621,icd9
64622,icd9
64623,icd9
64624,icd9
6463,icd9
64630,icd9
64631,icd9
64633,icd9
6464,icd9
64640,icd9
64641,icd9
64642,icd9
64643,icd9
64644,icd9
6465,icd9
64650,icd9
64651,icd9
64652,icd9
64653,icd9
64654,icd9
6466,icd9
64660,icd9
64661,icd9
64662,icd9
64663,icd9
64664,icd9
6467,icd9
64670,icd9
64671,icd9
64673,icd9
6468,icd9
64680,icd9
64681,icd9
64682,icd9
64683,icd9
64684,icd9
6469,icd9
64690,icd9
64691,icd9
64693,icd9
647,icd9
6470,icd9
64700,icd9
64701,icd9
64702,icd9
64703,icd9
64704,icd9
6471,icd9
64710,icd9
64711,icd9
64712,icd9
64713,icd9
64714,icd9
6472,icd9
64720,icd9
64721,icd9
64722,icd9
64723,icd9
64724,icd9
6473,icd9
64730,icd9
64731,icd9
64732,icd9
64733,icd9
64734,icd9
6474,icd9
64740,icd9
64741,icd9
64742,icd9
64743,icd9
64744,icd9
6475,icd9
64750,icd9
64751,icd9
64752,icd9
64753,icd9
64754,icd9
6476,icd9
64760,icd9
64761,icd9
64762,icd9
64763,icd9
64764,icd9
6478,icd9
64780,icd9
64781,icd9
64782,icd9
64783,icd9
64784,icd9
6479,icd9
64790,icd9
64791,icd9
64792,icd9
64793,icd9
64794,icd9
648,icd9
6480,icd9
64800,icd9
64801,icd9
64802,icd9
64803,icd9
64804,icd9
6481,icd9
64810,icd9
64811,icd9
64812,icd9
64813,icd9
64814,icd9
6482,icd9
64820,icd9
64821,icd9
64822,icd9
64823,icd9
64824,icd9
6483,icd9
64830,icd9
64831,icd9
64832,icd9
64833,icd9
64834,icd9
6484,icd9
64840,icd9
64841,icd9
64842,icd9
64843,icd9
64844,icd9
6485,icd9
64850,icd9
64851,icd9
64852,icd9
64853,icd9
64854,icd9
6486,icd9
64860,icd9
64861,icd9
64862,icd9
64863,icd9
64864,icd9
6487,icd9
64870,icd9
64871,icd9
64872,icd9
64873,icd9
64874,icd9
6488,icd9
64880,icd9
64881,icd9
64882,icd9
64883,icd9
64884,icd9
6489,icd9
64890,icd9
64891,icd9
64892,icd9
64893,icd9
64894,icd9
650,icd9
651,icd9
6510,icd9
65100,icd9
65101,icd9
65103,icd9
6511,icd9
65110,icd9
65111,icd9
65113,icd9
6512,icd9
65120,icd9
65121,icd9
65123,icd9
6513,icd9
65130,icd9
65131,icd9
65133,icd9
6514,icd9
65140,icd9
65141,icd9
65143,icd9
6515,icd9
65150,icd9
65151,icd9
65153,icd9
6516,icd9
65160,icd9
65161,icd9
65163,icd9
6517,icd9
65170,icd9
65171,icd9
65173,icd9
6518,icd9
65180,icd9
65181,icd9
65183,icd9
6519,icd9
65190,icd9
65191,icd9
65193,icd9
652,icd9
6520,icd9
65200,icd9
65201,icd9
65203,icd9
6521,icd9
65210,icd9
65211,icd9
65213,icd9
6522,icd9
65220,icd9
65221,icd9
65223,icd9
6523,icd9
65230,icd9
65231,icd9
65233,icd9
6524,icd9
65240,icd9
65241,icd9
65243,icd9
6525,icd9
65250,icd9
65251,icd9
65253,icd9
6526,icd9
65260,icd9
65261,icd9
65263,icd9
6527,icd9
65270,icd9
65271,icd9
65273,icd9
6528,icd9
65280,icd9
65281,icd9
65283,icd9
6529,icd9
65290,icd9
65291,icd9
65293,icd9
653,icd9
6530,icd9
65300,icd9
65301,icd9
65303,icd9
6531,icd9
65310,icd9
65311,icd9
65313,icd9
6532,icd9
65320,icd9
65321,icd9
65323,icd9
6533,icd9
65330,icd9
65331,icd9
65333,icd9
6534,icd9
65340,icd9
65341,icd9
65343,icd9
6535,icd9
65350,icd9
65351,icd9
65353,icd9
6536,icd9
65360,icd9
65361,icd9
65363,icd9
6537,icd9
65370,icd9
65371,icd9
65373,icd9
6538,icd9
65380,icd9
65381,icd9
65383,icd9
6539,icd9
65390,icd9
65391,icd9
65393,icd9
654,icd9
6540,icd9
65400,icd9
65401,icd9
65402,icd9
65403,icd9
65404,icd9
6541,icd9
65410,icd9
65411,icd9
65412,icd9
65413,icd9
65414,icd9
6542,icd9
65420,icd9
65421,icd9
65423,icd9
6543,icd9
65430,icd9
65431,icd9
65432,icd9
65433,icd9
65434,icd9
6544,icd9
65440,icd9
65441,icd9
65442,icd9
65443,icd9
65444,icd9
6545,icd9
65450,icd9
65451,icd9
65452,icd9
65453,icd9
65454,icd9
6546,icd9
65460,icd9
65461,icd9
65462,icd9
65463,icd9
65464,icd9
6547,icd9
65470,icd9
65471,icd9
65472,icd9
65473,icd9
65474,icd9
6548,icd9
65480,icd9
65481,icd9
65482,icd9
65483,icd9
65484,icd9
6549,icd9
65490,icd9
65491,icd9
65492,icd9
65493,icd9
65494,icd9
655,icd9
6550,icd9
65500,icd9
65501,icd9
65503,icd9
6551,icd9
65510,icd9
65511,icd9
65513,icd9
6552,icd9
65520,icd9
65521,icd9
65523,icd9
6553,icd9
65530,icd9
65531,icd9
65533,icd9
6554,icd9
65540,icd9
65541,icd9
65543,icd9
6555,icd9
65550,icd9
65551,icd9
65553,icd9
6556,icd9
65560,icd9
65561,icd9
65563,icd9
6557,icd9
65570,icd9
65571,icd9
65573,icd9
6558,icd9
65580,icd9
65581,icd9
65583,icd9
6559,icd9
65590,icd9
65591,icd9
65593,icd9
656,icd9
6560,icd9
65600,icd9
65601,icd9
65603,icd9
6561,icd9
65610,icd9
65611,icd9
65613,icd9
6562,icd9
65620,icd9
65621,icd9
65623,icd9
6563,icd9
65630,icd9
65631,icd9
65633,icd9
6564,icd9
65640,icd9
65641,icd9
65643,icd9
6565,icd9
65650,icd9
65651,icd9
65653,icd9
6566,icd9
65660,icd9
65661,icd9
65663,icd9
6567,icd9
65670,icd9
65671,icd9
65673,icd9
6568,icd9
65680,icd9
65681,icd9
65683,icd9
6569,icd9
65690,icd9
65691,icd9
65693,icd9
657,icd9
6570,icd9
65700,icd9
65701,icd9
65703,icd9
658,icd9
6580,icd9
65800,icd9
65801,icd9
65803,icd9
6581,icd9
65810,icd9
65811,icd9
65813,icd9
6582,icd9
65820,icd9
65821,icd9
65823,icd9
6583,icd9
65830,icd9
65831,icd9
65833,icd9
6584,icd9
65840,icd9
65841,icd9
65843,icd9
6588,icd9
65880,icd9
65881,icd9
65883,icd9
6589,icd9
65890,icd9
65891,icd9
65893,icd9
659,icd9
6590,icd9
65900,icd9
65901,icd9
65903,icd9
6591,icd9
65910,icd9
65911,icd9
65913,icd9
6592,icd9
65920,icd9
65921,icd9
65923,icd9
6593,icd9
65930,icd9
65931,icd9
65933,icd9
6594,icd9
65940,icd9
65941,icd9
65943,icd9
6595,icd9
65950,icd9
