code,type
714,icd9
7140,icd9
7141,icd9
7142,icd9
7143,icd9
71430,icd9
71431,icd9
71432,icd9
71433,icd9
7144,icd9
7148,icd9
71481,icd9
71489,icd9
7149,icd9
M05,icd10
M050,icd10
M0500,icd10
M0501,icd10
M05011,icd10
M05012,icd10
M05019,icd10
M0502,icd10
M05021,icd10
M05022,icd10
M05029,icd10
M0503,icd10
M05031,icd10
M05032,icd10
M05039,icd10
M0504,icd10
M05041,icd10
M05042,icd10
M05049,icd10
M0505,icd10
M05051,icd10
M05052,icd10
M05059,icd10
M0506,icd10
M05061,icd10
M05062,icd10
M05069,icd10
M0507,icd10
M05071,icd10
M05072,icd10
M05079,icd10
M0509,icd10
M051,icd10
M0510,icd10
M0511,icd10
M05111,icd10
M05112,icd10
M05119,icd10
M0512,icd10
M05121,icd10
M05122,icd10
M05129,icd10
M0513,icd10
M05131,icd10
M05132,icd10
M05139,icd10
M0514,icd10
M05141,icd10
M05142,icd10
M05149,icd10
M0515,icd10
M05151,icd10
M05152,icd10
M05159,icd10
M0516,icd10
M05161,icd10
M05162,icd10
M05169,icd10
M0517,icd10
M05171,icd10
M05172,icd10
M05179,icd10
M0519,icd10
M052,icd10
M0520,icd10
M0521,icd10
M05211,icd10
M05212,icd10
M05219,icd10
M0522,icd10
M05221,icd10
M05222,icd10
M05229,icd10
M0523,icd10
M05231,icd10
M05232,icd10
M05239,icd10
M0524,icd10
M05241,icd10
M05242,icd10
M05249,icd10
M0525,icd10
M05251,icd10
M05252,icd10
M05259,icd10
M0526,icd10
M05261,icd10
M05262,icd10
M05269,icd10
M0527,icd10
M05271,icd10
M05272,icd10
M05279,icd10
M0529,icd10
M053,icd10
M0530,icd10
M0531,icd10
M05311,icd10
M05312,icd10
M05319,icd10
M0532,icd10
M05321,icd10
M05322,icd10
M05329,icd10
M0533,icd10
M05331,icd10
M05332,icd10
M05339,icd10
M0534,icd10
M05341,icd10
M05342,icd10
M05349,icd10
M0535,icd10
M05351,icd10
M05352,icd10
M05359,icd10
M0536,icd10
M05361,icd10
M05362,icd10
M05369,icd10
M0537,icd10
M05371,icd10
M05372,icd10
M05379,icd10
M0539,icd10
M054,icd10
M0540,icd10
M0541,icd10
M05411,icd10
M05412,icd10
M05419,icd10
M0542,icd10
M05421,icd10
M05422,icd10
M05429,icd10
M0543,icd10
M05431,icd10
M05432,icd10
M05439,icd10
M0544,icd10
M05441,icd10
M05442,icd10
M05449,icd10
M0545,icd10
M05451,icd10
M05452,icd10
M05459,icd10
M0546,icd10
M05461,icd10
M05462,icd10
M05469,icd10
M0547,icd10
M05471,icd10
M05472,icd10
M05479,icd10
M0549,icd10
M055,icd10
M0550,icd10
M0551,icd10
M05511,icd10
M05512,icd10
M05519,icd10
M0552,icd10
M05521,icd10
M05522,icd10
M05529,icd10
M0553,icd10
M05531,icd10
M05532,icd10
M05539,icd10
M0554,icd10
M05541,icd10
M05542,icd10
M05549,icd10
M0555,icd10
M05551,icd10
M05552,icd10
M05559,icd10
M0556,icd10
M05561,icd10
M05562,icd10
M05569,icd10
M0557,icd10
M05571,icd10
M05572,icd10
M05579,icd10
M0559,icd10
M056,icd10
M0560,icd10
M0561,icd10
M05611,icd10
M05612,icd10
M05619,icd10
M0562,icd10
M05621,icd10
M05622,icd10
M05629,icd10
M0563,icd10
M05631,icd10
M05632,icd10
M05639,icd10
M0564,icd10
M05641,icd10
M05642,icd10
M05649,icd10
M0565,icd10
M05651,icd10
M05652,icd10
M05659,icd10
M0566,icd10
M05661,icd10
M05662,icd10
M05669,icd10
M0567,icd10
M05671,icd10
M05672,icd10
M05679,icd10
M0569,icd10
M057,icd10
M0570,icd10
M0571,icd10
M05711,icd10
M05712,icd10
M05719,icd10
M0572,icd10
M05721,icd10
M05722,icd10
M05729,icd10
M0573,icd10
M05731,icd10
M05732,icd10
M05739,icd10
M0574,icd10
M05741,icd10
M05742,icd10
M05749,icd10
M0575,icd10
M05751,icd10
M05752,icd10
M05759,icd10
M0576,icd10
M05761,icd10
M05762,icd10
M05769,icd10
M0577,icd10
M05771,icd10
M05772,icd10
M05779,icd10
M0579,icd10
M058,icd10
M0580,icd10
M0581,icd10
M05811,icd10
M05812,icd10
M05819,icd10
M0582,icd10
M05821,icd10
M05822,icd10
M05829,icd10
M0583,icd10
M05831,icd10
M05832,icd10
M05839,icd10
M0584,icd10
M05841,icd10
M05842,icd10
M05849,icd10
M0585,icd10
M05851,icd10
M05852,icd10
M05859,icd10
M0586,icd10
M05861,icd10
M05862,icd10
M05869,icd10
M0587,icd10
M05871,icd10
M05872,icd10
M05879,icd10
M0589,icd10
M059,icd10
M06,icd10
M060,icd10
M0600,icd10
M0601,icd10
M06011,icd10
M06012,icd10
M06019,icd10
M0602,icd10
M06021,icd10
M06022,icd10
M06029,icd10
M0603,icd10
M06031,icd10
M06032,icd10
M06039,icd10
M0604,icd10
M06041,icd10
M06042,icd10
M06049,icd10
M0605,icd10
M06051,icd10
M06052,icd10
M06059,icd10
M0606,icd10
M06061,icd10
M06062,icd10
M06069,icd10
M0607,icd10
M06071,icd10
M06072,icd10
M06079,icd10
M0608,icd10
M0609,icd10
M061,icd10
M062,icd10
M0620,icd10
M0621,icd10
M06211,icd10
M06212,icd10
M06219,icd10
M0622,icd10
M06221,icd10
M06222,icd10
M06229,icd10
M0623,icd10
M06231,icd10
M06232,icd10
M06239,icd10
M0624,icd10
M06241,icd10
M06242,icd10
M06249,icd10
M0625,icd10
M06251,icd10
M06252,icd10
M06259,icd10
M0626,icd10
M06261,icd10
M06262,icd10
M06269,icd10
M0627,icd10
M06271,icd10
M06272,icd10
M06279,icd10
M0628,icd10
M0629,icd10
M063,icd10
M0630,icd10
M0631,icd10
M06311,icd10
M06312,icd10
M06319,icd10
M0632,icd10
M06321,icd10
M06322,icd10
M06329,icd10
M0633,icd10
M06331,icd10
M06332,icd10
M06339,icd10
M0634,icd10
M06341,icd10
M06342,icd10
M06349,icd10
M0635,icd10
M06351,icd10
M06352,icd10
M06359,icd10
M0636,icd10
M06361,icd10
M06362,icd10
M06369,icd10
M0637,icd10
M06371,icd10
M06372,icd10
M06379,icd10
M0638,icd10
M0639,icd10
M064,icd10
M068,icd10
M0680,icd10
M0681,icd10
M06811,icd10
M06812,icd10
M06819,icd10
M0682,icd10
M06821,icd10
M06822,icd10
M06829,icd10
M0683,icd10
M06831,icd10
M06832,icd10
M06839,icd10
M0684,icd10
M06841,icd10
M06842,icd10
M06849,icd10
M0685,icd10
M06851,icd10
M06852,icd10
M06859,icd10
M0686,icd10
M06861,icd10
M06862,icd10
M06869,icd10
M0687,icd10
M06871,icd10
M06872,icd10
M06879,icd10
M0688,icd10
M0689,icd10
M069,icd10
M08,icd10
M080,icd10
M0800,icd10
M0801,icd10
M08011,icd10
M08012,icd10
M08019,icd10
M0802,icd10
M08021,icd10
M08022,icd10
M08029,icd10
M0803,icd10
M08031,icd10
M08032,icd10
M08039,icd10
M0804,icd10
M08041,icd10
M08042,icd10
M08049,icd10
M0805,icd10
M08051,icd10
M08052,icd10
M08059,icd10
M0806,icd10
M08061,icd10
M08062,icd10
M08069,icd10
M0807,icd10
M08071,icd10
M08072,icd10
M08079,icd10
M0808,icd10
M0809,icd10
M081,icd10
M082,icd10
M0820,icd10
M0821,icd10
M08211,icd10
M08212,icd10
M08219,icd10
M0822,icd10
M08221,icd10
M08222,icd10
M08229,icd10
M0823,icd10
M08231,icd10
M08232,icd10
M08239,icd10
M0824,icd10
M08241,icd10
M08242,icd10
M08249,icd10
M0825,icd10
M08251,icd10
M08252,icd10
M08259,icd10
M0826,icd10
M08261,icd10
M08262,icd10
M08269,icd10
M0827,icd10
M08271,icd10
M08272,icd10
M08279,icd10
M0828,icd10
M0829,icd10
M083,icd10
M084,icd10
M0840,icd10
M0841,icd10
M08411,icd10
M08412,icd10
M08419,icd10
M0842,icd10
M08421,icd10
M08422,icd10
M08429,icd10
M0843,icd10
M08431,icd10
M08432,icd10
M08439,icd10
M0844,icd10
M08441,icd10
M08442,icd10
M08449,icd10
M0845,icd10
M08451,icd10
M08452,icd10
M08459,icd10
M0846,icd10
M08461,icd10
M08462,icd10
M08469,icd10
M0847,icd10
M08471,icd10
M08472,icd10
M08479,icd10
M0848,icd10
M088,icd10
M0880,icd10
M0881,icd10
M08811,icd10
M08812,icd10
M08819,icd10
M0882,icd10
M08821,icd10
M08822,icd10
M08829,icd10
M0883,icd10
M08831,icd10
M08832,icd10
M08839,icd10
M0884,icd10
M08841,icd10
M08842,icd10
M08849,icd10
M0885,icd10
M08851,icd10
M08852,icd10
M08859,icd10
M0886,icd10
M08861,icd10
M08862,icd10
M08869,icd10
M0887,icd10
M08871,icd10
M08872,icd10
M08879,icd10
M0888,icd10
M0889,icd10
M089,icd10
M0890,icd10
M0891,icd10
M08911,icd10
M08912,icd10
M08919,icd10
M0892,icd10
M08921,icd10
M08922,icd10
M08929,icd10
M0893,icd10
M08931,icd10
M08932,icd10
M08939,icd10
M0894,icd10
M08941,icd10
M08942,icd10
M08949,icd10
M0895,icd10
M08951,icd10
M08952,icd10
M08959,icd10
M0896,icd10
M08961,icd10
M08962,icd10
M08969,icd10
M0897,icd10
M08971,icd10
M08972,icd10
M08979,icd10
M0898,icd10
M0899,icd10
