code,type
0223,icd9
0362,icd9
038,icd9
0380,icd9
0381,icd9
03810,icd9
03811,icd9
03812,icd9
03819,icd9
0382,icd9
0383,icd9
0384,icd9
03840,icd9
03841,icd9
03842,icd9
03843,icd9
03844,icd9
03849,icd9
0388,icd9
0389,icd9
0545,icd9
449,icd9
6700,icd9
67000,icd9
67002,icd9
67004,icd9
78552,icd9
7907,icd9
99591,icd9
99592,icd9
A40,icd10
A400,icd10
A401,icd10
A403,icd10
A408,icd10
A409,icd10
A41,icd10
A410,icd10
A4101,icd10
A4102,icd10
A411,icd10
A412,icd10
A413,icd10
A414,icd10
A415,icd10
A4150,icd10
A4151,icd10
A4152,icd10
A4153,icd10
A4159,icd10
A418,icd10
A4181,icd10
A4189,icd10
A419,icd10
