code,type
NA,icd9
A039,icd10
A021,icd10
A207,icd10
A217,icd10
A227,icd10
A239,icd10
A241,icd10
A267,icd10
A280,icd10
A282,icd10
A327,icd10
A392,icd10
A393,icd10
A394,icd10
A40,icd10
A400,icd10
A401,icd10
A403,icd10
A408,icd10
A409,icd10
A41,icd10
A410,icd10
A4101,icd10
A4102,icd10
A411,icd10
A412,icd10
A413,icd10
A414,icd10
A415,icd10
A4150,icd10
A4151,icd10
A4152,icd10
A4153,icd10
A4159,icd10
A418,icd10
A4181,icd10
A4189,icd10
A419,icd10
A427,icd10
B007,icd10
B377,icd10
P360,icd10
P361,icd10
P3610,icd10
P3619,icd10
P362,icd10
P363,icd10
P3630,icd10
P3639,icd10
P364,icd10
P365,icd10
P368,icd10
P369,icd10
P352,icd10
P372,icd10
P375,icd10
A047,icd10
A0471,icd10
A0472,icd10
B956,icd10
B9561,icd10
B9562,icd10
B962,icd10
B9620,icd10
B9621,icd10
B9622,icd10
B9623,icd10
B9629,icd10
J189,icd10
J440,icd10
N390,icd10
A402,icd10
A4158,icd10
A4180,icd10
A4188,icd10
B9548,icd10
