code,type
707,icd9
7070,icd9
70700,icd9
70701,icd9
70702,icd9
70703,icd9
70704,icd9
70705,icd9
70706,icd9
70707,icd9
70709,icd9
7071,icd9
70710,icd9
70711,icd9
70712,icd9
70713,icd9
70714,icd9
70715,icd9
70719,icd9
7072,icd9
70720,icd9
70721,icd9
70722,icd9
70723,icd9
70724,icd9
70725,icd9
7078,icd9
7079,icd9
L97,icd10
L971,icd10
L9710,icd10
L97101,icd10
L97102,icd10
L97103,icd10
L97104,icd10
L97105,icd10
L97106,icd10
L97108,icd10
L97109,icd10
L9711,icd10
L97111,icd10
L97112,icd10
L97113,icd10
L97114,icd10
L97115,icd10
L97116,icd10
L97118,icd10
L97119,icd10
L9712,icd10
L97121,icd10
L97122,icd10
L97123,icd10
L97124,icd10
L97125,icd10
L97126,icd10
L97128,icd10
L97129,icd10
L972,icd10
L9720,icd10
L97201,icd10
L97202,icd10
L97203,icd10
L97204,icd10
L97205,icd10
L97206,icd10
L97208,icd10
L97209,icd10
L9721,icd10
L97211,icd10
L97212,icd10
L97213,icd10
L97214,icd10
L97215,icd10
L97216,icd10
L97218,icd10
L97219,icd10
L9722,icd10
L97221,icd10
L97222,icd10
L97223,icd10
L97224,icd10
L97225,icd10
L97226,icd10
L97228,icd10
L97229,icd10
L973,icd10
L9730,icd10
L97301,icd10
L97302,icd10
L97303,icd10
L97304,icd10
L97305,icd10
L97306,icd10
L97308,icd10
L97309,icd10
L9731,icd10
L97311,icd10
L97312,icd10
L97313,icd10
L97314,icd10
L97315,icd10
L97316,icd10
L97318,icd10
L97319,icd10
L9732,icd10
L97321,icd10
L97322,icd10
L97323,icd10
L97324,icd10
L97325,icd10
L97326,icd10
L97328,icd10
L97329,icd10
L974,icd10
L9740,icd10
L97401,icd10
L97402,icd10
L97403,icd10
L97404,icd10
L97405,icd10
L97406,icd10
L97408,icd10
L97409,icd10
L9741,icd10
L97411,icd10
L97412,icd10
L97413,icd10
L97414,icd10
L97415,icd10
L97416,icd10
L97418,icd10
L97419,icd10
L9742,icd10
L97421,icd10
L97422,icd10
L97423,icd10
L97424,icd10
L97425,icd10
L97426,icd10
L97428,icd10
L97429,icd10
L975,icd10
L9750,icd10
L97501,icd10
L97502,icd10
L97503,icd10
L97504,icd10
L97505,icd10
L97506,icd10
L97508,icd10
L97509,icd10
L9751,icd10
L97511,icd10
L97512,icd10
L97513,icd10
L97514,icd10
L97515,icd10
L97516,icd10
L97518,icd10
L97519,icd10
L9752,icd10
L97521,icd10
L97522,icd10
L97523,icd10
L97524,icd10
L97525,icd10
L97526,icd10
L97528,icd10
L97529,icd10
L978,icd10
L9780,icd10
L97801,icd10
L97802,icd10
L97803,icd10
L97804,icd10
L97805,icd10
L97806,icd10
L97808,icd10
L97809,icd10
L9781,icd10
L97811,icd10
L97812,icd10
L97813,icd10
L97814,icd10
L97815,icd10
L97816,icd10
L97818,icd10
L97819,icd10
L9782,icd10
L97821,icd10
L97822,icd10
L97823,icd10
L97824,icd10
L97825,icd10
L97826,icd10
L97828,icd10
L97829,icd10
L979,icd10
L9790,icd10
L97901,icd10
L97902,icd10
L97903,icd10
L97904,icd10
L97905,icd10
L97906,icd10
L97908,icd10
L97909,icd10
L9791,icd10
L97911,icd10
L97912,icd10
L97913,icd10
L97914,icd10
L97915,icd10
L97916,icd10
L97918,icd10
L97919,icd10
L9792,icd10
L97921,icd10
L97922,icd10
L97923,icd10
L97924,icd10
L97925,icd10
L97926,icd10
L97928,icd10
L97929,icd10
L984,icd10
L9841,icd10
L98411,icd10
L98412,icd10
L98413,icd10
L98414,icd10
L98415,icd10
L98416,icd10
L98418,icd10
L98419,icd10
L9842,icd10
L98421,icd10
L98422,icd10
L98423,icd10
L98424,icd10
L98425,icd10
L98426,icd10
L98428,icd10
L98429,icd10
L9849,icd10
L98491,icd10
L98492,icd10
L98493,icd10
L98494,icd10
L98495,icd10
L98496,icd10
L98498,icd10
L98499,icd10
