code,type
3623,icd9
36230,icd9
36231,icd9
36232,icd9
36233,icd9
36234,icd9
36235,icd9
36236,icd9
36237,icd9
43301,icd9
43311,icd9
43321,icd9
43331,icd9
43381,icd9
43391,icd9
43401,icd9
43411,icd9
43491,icd9
436,icd9
I63,icd10
I630,icd10
I6300,icd10
I6301,icd10
I63011,icd10
I63012,icd10
I63013,icd10
I63019,icd10
I6302,icd10
I6303,icd10
I63031,icd10
I63032,icd10
I63033,icd10
I63039,icd10
I6309,icd10
I631,icd10
I6310,icd10
I6311,icd10
I63111,icd10
I63112,icd10
I63113,icd10
I63119,icd10
I6312,icd10
I6313,icd10
I63131,icd10
I63132,icd10
I63133,icd10
I63139,icd10
I6319,icd10
I632,icd10
I6320,icd10
I6321,icd10
I63211,icd10
I63212,icd10
I63213,icd10
I63219,icd10
I6322,icd10
I6323,icd10
I63231,icd10
I63232,icd10
I63233,icd10
I63239,icd10
I6329,icd10
I633,icd10
I6330,icd10
I6331,icd10
I63311,icd10
I63312,icd10
I63313,icd10
I63319,icd10
I6332,icd10
I63321,icd10
I63322,icd10
I63323,icd10
I63329,icd10
I6333,icd10
I63331,icd10
I63332,icd10
I63333,icd10
I63339,icd10
I6334,icd10
I63341,icd10
I63342,icd10
I63343,icd10
I63349,icd10
I6339,icd10
I634,icd10
I6340,icd10
I6341,icd10
I63411,icd10
I63412,icd10
I63413,icd10
I63419,icd10
I6342,icd10
I63421,icd10
I63422,icd10
I63423,icd10
I63429,icd10
I6343,icd10
I63431,icd10
I63432,icd10
I63433,icd10
I63439,icd10
I6344,icd10
I63441,icd10
I63442,icd10
I63443,icd10
I63449,icd10
I6349,icd10
I635,icd10
I6350,icd10
I6351,icd10
I63511,icd10
I63512,icd10
I63513,icd10
I63519,icd10
I6352,icd10
I63521,icd10
I63522,icd10
I63523,icd10
I63529,icd10
I6353,icd10
I63531,icd10
I63532,icd10
I63533,icd10
I63539,icd10
I6354,icd10
I63541,icd10
I63542,icd10
I63543,icd10
I63549,icd10
I6359,icd10
I636,icd10
I638,icd10
I6381,icd10
I6389,icd10
I639,icd10
H341,icd10
H3410,icd10
H3411,icd10
H3412,icd10
H3413,icd10
I64,icd10
