code,type
090,icd9
0900,icd9
0901,icd9
0902,icd9
0903,icd9
0904,icd9
09040,icd9
09041,icd9
09042,icd9
09049,icd9
0905,icd9
0906,icd9
0907,icd9
0909,icd9
091,icd9
0910,icd9
0911,icd9
0912,icd9
0913,icd9
0914,icd9
0915,icd9
09150,icd9
09151,icd9
09152,icd9
0916,icd9
09161,icd9
09162,icd9
09169,icd9
0917,icd9
0918,icd9
09181,icd9
09182,icd9
09189,icd9
0919,icd9
092,icd9
0920,icd9
0929,icd9
093,icd9
0930,icd9
0931,icd9
0932,icd9
09320,icd9
09321,icd9
09322,icd9
09323,icd9
09324,icd9
0938,icd9
09381,icd9
09382,icd9
09389,icd9
0939,icd9
094,icd9
0940,icd9
0941,icd9
0942,icd9
0943,icd9
0948,icd9
09481,icd9
09482,icd9
09483,icd9
09484,icd9
09485,icd9
09486,icd9
09487,icd9
09489,icd9
0949,icd9
095,icd9
0950,icd9
0951,icd9
0952,icd9
0953,icd9
0954,icd9
0955,icd9
0956,icd9
0957,icd9
0958,icd9
0959,icd9
096,icd9
097,icd9
0970,icd9
0971,icd9
0979,icd9
A51,icd10
A510,icd10
A511,icd10
A512,icd10
A513,icd10
A5131,icd10
A5132,icd10
A5139,icd10
A514,icd10
A5141,icd10
A5142,icd10
A5143,icd10
A5144,icd10
A5145,icd10
A5146,icd10
A5149,icd10
A515,icd10
A519,icd10
A50,icd10
A500,icd10
A5001,icd10
A5002,icd10
A5003,icd10
A5004,icd10
A5005,icd10
A5006,icd10
A5007,icd10
A5008,icd10
A5009,icd10
A501,icd10
A502,icd10
A503,icd10
A5030,icd10
A5031,icd10
A5032,icd10
A5039,icd10
A504,icd10
A5040,icd10
A5041,icd10
A5042,icd10
A5043,icd10
A5044,icd10
A5045,icd10
A5049,icd10
A505,icd10
A5051,icd10
A5052,icd10
A5053,icd10
A5054,icd10
A5055,icd10
A5056,icd10
A5057,icd10
A5059,icd10
A506,icd10
A507,icd10
A509,icd10
A53,icd10
A530,icd10
A539,icd10
A52,icd10
A520,icd10
A5200,icd10
A5201,icd10
A5202,icd10
A5203,icd10
A5204,icd10
A5205,icd10
A5206,icd10
A5209,icd10
A521,icd10
A5210,icd10
A5211,icd10
A5212,icd10
A5213,icd10
A5214,icd10
A5215,icd10
A5216,icd10
A5217,icd10
A5219,icd10
A522,icd10
A523,icd10
A527,icd10
A5271,icd10
A5272,icd10
A5273,icd10
A5274,icd10
A5275,icd10
A5276,icd10
A5277,icd10
A5278,icd10
A5279,icd10
A528,icd10
A529,icd10
