code,type
011,icd9
0110,icd9
01100,icd9
01101,icd9
01102,icd9
01103,icd9
01104,icd9
01105,icd9
01106,icd9
0111,icd9
01110,icd9
01111,icd9
01112,icd9
01113,icd9
01114,icd9
01115,icd9
01116,icd9
0112,icd9
01120,icd9
01121,icd9
01122,icd9
01123,icd9
01124,icd9
01125,icd9
01126,icd9
0113,icd9
01130,icd9
01131,icd9
01132,icd9
01133,icd9
01134,icd9
01135,icd9
01136,icd9
0114,icd9
01140,icd9
01141,icd9
01142,icd9
01143,icd9
01144,icd9
01145,icd9
01146,icd9
0115,icd9
01150,icd9
01151,icd9
01152,icd9
01153,icd9
01154,icd9
01155,icd9
01156,icd9
0116,icd9
01160,icd9
01161,icd9
01162,icd9
01163,icd9
01164,icd9
01165,icd9
01166,icd9
0117,icd9
01170,icd9
01171,icd9
01172,icd9
01173,icd9
01174,icd9
01175,icd9
01176,icd9
0118,icd9
01180,icd9
01181,icd9
01182,icd9
01183,icd9
01184,icd9
01185,icd9
01186,icd9
0119,icd9
01190,icd9
01191,icd9
01192,icd9
01193,icd9
01194,icd9
01195,icd9
01196,icd9
012,icd9
0120,icd9
01200,icd9
01201,icd9
01202,icd9
01203,icd9
01204,icd9
01205,icd9
01206,icd9
0121,icd9
01210,icd9
01211,icd9
01212,icd9
01213,icd9
01214,icd9
01215,icd9
01216,icd9
0122,icd9
01220,icd9
01221,icd9
01222,icd9
01223,icd9
01224,icd9
01225,icd9
01226,icd9
0123,icd9
01230,icd9
01231,icd9
01232,icd9
01233,icd9
01234,icd9
01235,icd9
01236,icd9
0128,icd9
01280,icd9
01281,icd9
01282,icd9
01283,icd9
01284,icd9
01285,icd9
01286,icd9
013,icd9
0130,icd9
01300,icd9
01301,icd9
01302,icd9
01303,icd9
01304,icd9
01305,icd9
01306,icd9
0131,icd9
01310,icd9
01311,icd9
01312,icd9
01313,icd9
01314,icd9
01315,icd9
01316,icd9
0132,icd9
01320,icd9
01321,icd9
01322,icd9
01323,icd9
01324,icd9
01325,icd9
01326,icd9
0133,icd9
01330,icd9
01331,icd9
01332,icd9
01333,icd9
01334,icd9
01335,icd9
01336,icd9
0134,icd9
01340,icd9
01341,icd9
01342,icd9
01343,icd9
01344,icd9
01345,icd9
01346,icd9
0135,icd9
01350,icd9
01351,icd9
01352,icd9
01353,icd9
01354,icd9
01355,icd9
01356,icd9
0136,icd9
01360,icd9
