code,type
556,icd9
5560,icd9
5561,icd9
5562,icd9
5563,icd9
5564,icd9
5565,icd9
5566,icd9
5568,icd9
5569,icd9
K51,icd10
K510,icd10
K5100,icd10
K5101,icd10
K51011,icd10
K51012,icd10
K51013,icd10
K51014,icd10
K51018,icd10
K51019,icd10
K512,icd10
K5120,icd10
K5121,icd10
K51211,icd10
K51212,icd10
K51213,icd10
K51214,icd10
K51218,icd10
K51219,icd10
K513,icd10
K5130,icd10
K5131,icd10
K51311,icd10
K51312,icd10
K51313,icd10
K51314,icd10
K51318,icd10
K51319,icd10
K514,icd10
K5140,icd10
K5141,icd10
K51411,icd10
K51412,icd10
K51413,icd10
K51414,icd10
K51418,icd10
K51419,icd10
K515,icd10
K5150,icd10
K5151,icd10
K51511,icd10
K51512,icd10
K51513,icd10
K51514,icd10
K51518,icd10
K51519,icd10
K518,icd10
K5180,icd10
K5181,icd10
K51811,icd10
K51812,icd10
K51813,icd10
K51814,icd10
K51818,icd10
K51819,icd10
K519,icd10
K5190,icd10
K5191,icd10
K51911,icd10
K51912,icd10
K51913,icd10
K51914,icd10
K51918,icd10
K51919,icd10
