code,type
451,icd9
4510,icd9
4511,icd9
45111,icd9
45119,icd9
4512,icd9
4518,icd9
45181,icd9
45182,icd9
45183,icd9
45184,icd9
45189,icd9
4519,icd9
453,icd9
4530,icd9
4531,icd9
4532,icd9
4533,icd9
4534,icd9
45340,icd9
45341,icd9
45342,icd9
4535,icd9
45350,icd9
45351,icd9
45352,icd9
4536,icd9
4537,icd9
45371,icd9
45372,icd9
45373,icd9
45374,icd9
45375,icd9
45376,icd9
45377,icd9
45379,icd9
4538,icd9
45381,icd9
45382,icd9
45383,icd9
45384,icd9
45385,icd9
45386,icd9
45387,icd9
45389,icd9
4539,icd9
I8000,icd10
I8010,icd10
I80209,icd10
I803,icd10
I80219,icd10
I808,icd10
I808,icd10
I808,icd10
I808,icd10
I809,icd10
I820,icd10
I821,icd10
I82220,icd10
I82221,icd10
I823,icd10
I82409,icd10
I82419,icd10
I82429,icd10
I82439,icd10
I824Y9,icd10
I82449,icd10
I82499,icd10
I824Z9,icd10
I82509,icd10
I82599,icd10
I82519,icd10
I82529,icd10
I82539,icd10
I825Y9,icd10
I82549,icd10
I825Z9,icd10
I82819,icd10
I82719,icd10
I82729,icd10
I82709,icd10
I82A29,icd10
I82B29,icd10
I82C29,icd10
I82291,icd10
I82891,icd10
I82619,icd10
I82629,icd10
I82609,icd10
I82A19,icd10
I82B19,icd10
I82C19,icd10
I82290,icd10
I82890,icd10
I8291,icd10
