code,type
,icd9
,icd10
2201,icd9pcs
2211,icd9pcs
2212,icd9pcs
2239,icd9pcs
2201,icd9pcs
2211,icd9pcs
2212,icd9pcs
2241,icd9pcs
2201,icd9pcs
2211,icd9pcs
2212,icd9pcs
2251,icd9pcs
2201,icd9pcs
2211,icd9pcs
2212,icd9pcs
2252,icd9pcs
099Q00Z,icd10pcs
099Q0ZX,icd10pcs
099Q0ZZ,icd10pcs
099Q30Z,icd10pcs
099Q3ZX,icd10pcs
099Q3ZZ,icd10pcs
099Q40Z,icd10pcs
099Q4ZX,icd10pcs
099Q4ZZ,icd10pcs
099Q70Z,icd10pcs
099Q7ZX,icd10pcs
099Q7ZZ,icd10pcs
099Q80Z,icd10pcs
099Q8ZX,icd10pcs
099Q8ZZ,icd10pcs
099R00Z,icd10pcs
099R0ZX,icd10pcs
099R0ZZ,icd10pcs
099R30Z,icd10pcs
099R3ZX,icd10pcs
099R3ZZ,icd10pcs
099R40Z,icd10pcs
099R4ZX,icd10pcs
099R4ZZ,icd10pcs
099R70Z,icd10pcs
099R7ZX,icd10pcs
099R7ZZ,icd10pcs
099R80Z,icd10pcs
099R8ZX,icd10pcs
099R8ZZ,icd10pcs
099S00Z,icd10pcs
099S0ZX,icd10pcs
099S0ZZ,icd10pcs
099S30Z,icd10pcs
099S3ZX,icd10pcs
099S3ZZ,icd10pcs
099S40Z,icd10pcs
099S4ZX,icd10pcs
099S4ZZ,icd10pcs
099S70Z,icd10pcs
099S7ZX,icd10pcs
099S7ZZ,icd10pcs
099S80Z,icd10pcs
099S8ZX,icd10pcs
099S8ZZ,icd10pcs
099T00Z,icd10pcs
099T0ZX,icd10pcs
099T0ZZ,icd10pcs
099T30Z,icd10pcs
099T3ZX,icd10pcs
099T3ZZ,icd10pcs
099T40Z,icd10pcs
099T4ZX,icd10pcs
099T4ZZ,icd10pcs
099T70Z,icd10pcs
099T7ZX,icd10pcs
099T7ZZ,icd10pcs
099T80Z,icd10pcs
099T8ZX,icd10pcs
099T8ZZ,icd10pcs
099U00Z,icd10pcs
099U0ZX,icd10pcs
099U0ZZ,icd10pcs
099U30Z,icd10pcs
099U3ZX,icd10pcs
099U3ZZ,icd10pcs
099U40Z,icd10pcs
099U4ZX,icd10pcs
099U4ZZ,icd10pcs
099U70Z,icd10pcs
099U7ZX,icd10pcs
099U7ZZ,icd10pcs
099U80Z,icd10pcs
099U8ZX,icd10pcs
099U8ZZ,icd10pcs
099V00Z,icd10pcs
099V0ZX,icd10pcs
099V0ZZ,icd10pcs
099V30Z,icd10pcs
099V3ZX,icd10pcs
099V3ZZ,icd10pcs
099V40Z,icd10pcs
099V4ZX,icd10pcs
099V4ZZ,icd10pcs
099V70Z,icd10pcs
099V7ZX,icd10pcs
099V7ZZ,icd10pcs
099V80Z,icd10pcs
099V8ZX,icd10pcs
099V8ZZ,icd10pcs
099W00Z,icd10pcs
099W0ZX,icd10pcs
099W0ZZ,icd10pcs
099W30Z,icd10pcs
099W3ZX,icd10pcs
099W3ZZ,icd10pcs
099W40Z,icd10pcs
099W4ZX,icd10pcs
099W4ZZ,icd10pcs
099W70Z,icd10pcs
099W7ZX,icd10pcs
099W7ZZ,icd10pcs
099W80Z,icd10pcs
099W8ZX,icd10pcs
099W8ZZ,icd10pcs
099X00Z,icd10pcs
099X0ZX,icd10pcs
099X0ZZ,icd10pcs
099X30Z,icd10pcs
099X3ZX,icd10pcs
099X3ZZ,icd10pcs
099X40Z,icd10pcs
099X4ZX,icd10pcs
099X4ZZ,icd10pcs
099X70Z,icd10pcs
099X7ZX,icd10pcs
099X7ZZ,icd10pcs
099X80Z,icd10pcs
099X8ZX,icd10pcs
099X8ZZ,icd10pcs
70486,cpt
70487,cpt
70488,cpt
31295,cpt
31296,cpt
31297,cpt
31298,cpt
31231,cpt
31233,cpt
21235,cpt
31237,cpt
31253,cpt
31254,cpt
31255,cpt
31256,cpt
32157,cpt
31259,cpt
31267,cpt
31276,cpt
31287,cpt
31288,cpt
