group,ndc_code
all,00002032702
all,00002032902
all,00002032903
all,00002034602
all,00002034603
all,00002034624
all,00002050101
all,00002050301
all,00002050324
all,00002050901
all,00002050924
all,00002140301
all,00002140302
all,00002140501
all,00002140601
all,00002140602
all,00002141001
all,00002141002
all,00002144401
all,00002144410
all,00002144425
all,00002145401
all,00002149601
all,00002149701
all,00002149725
all,00002149801
all,00002149825
all,00002149901
all,00002149925
all,00002168101
all,00002205402
all,00002209602
all,00002209620
all,00002209633
all,00002230733
all,00002230748
all,00002230768
all,00002230777
all,00002230789
all,00002231633
all,00002231648
all,00002231668
all,00002231689
all,00002234305
all,00002237237
all,00002306102
all,00002306115
all,00002306133
all,00002306202
all,00002306215
all,00002306233
all,00002312542
all,00002312642
all,00002317002
all,00002317030
all,00002317102
all,00002317130
all,00002505718
all,00002505768
all,00002505818
all,00002505868
all,00002510501
all,00002510516
all,00002513048
all,00002513087
all,00002513248
all,00002513287
all,00002513548
all,00002513587
all,00002513618
all,00002513648
all,00002513687
all,00002535725
all,00002535810
all,00002536310
all,00002700010
all,00002700101
all,00002700125
all,00002700210
all,00002700310
all,00002700410
all,00002701101
all,00002701110
all,00002701401
all,00002701416
all,00002701810
all,00002702016
all,00002702116
all,00002704001
all,00002704016
all,00002706025
all,00002706101
all,00002706125
all,00002706401
all,00002706410
all,00002706810
all,00002706901
all,00002706910
all,00002707216
all,00002708201
all,00002708210
all,00002708301
all,00002708310
all,00002709001
all,00002709016
all,00002714701
all,00002714725
all,00002715210
all,00002715410
all,00002716216
all,00002718501
all,00002718502
all,00002719074
all,00002719174
all,00002720174
all,00002720274
all,00002720474
all,00002720574
all,00002720874
all,00002720974
all,00002723001
all,00002723025
all,00002723101
all,00002723125
all,00002723401
all,00002723410
all,00002723801
all,00002723810
all,00002723901
all,00002723910
all,00002724101
all,00002724116
all,00002724524
all,00002724624
all,00002726025
all,00002726110
all,00002726525
all,00002726601
all,00002726625
all,00002726825
all,00002726910
all,00002727101
all,00002727125
all,00002727201
all,00002727210
all,00002727301
all,00002727310
all,00002727401
all,00002727410
all,00002727501
all,00002727516
all,00002727624
all,00002727724
all,00002727801
all,00002727825
all,00002727901
all,00002727910
all,00002729001
all,00002729025
all,00002729101
all,00002729110
all,00002729301
all,00002729325
all,00002729401
all,00002729425
all,00002729701
all,00002729710
all,00002729801
all,00002729810
all,00002732101
all,00002732110
all,00002732125
all,00002735501
all,00002738125
all,00002738216
all,00002746701
all,00002755901
all,00002756101
all,00002898801
all,00002898925
all,00002899425
all,00002899519
all,00002950001
all,00002950425
all,00002950501
all,00002950901
all,00003010120
all,00003010150
all,00003010151
all,00003010160
all,00003010920
all,00003010945
all,00003010951
all,00003010955
all,00003010960
all,00003010970
all,00003011324
all,00003011350
all,00003011352
all,00003011426
all,00003011450
all,00003011452
all,00003011550
all,00003011551
all,00003011575
all,00003011650
all,00003011651
all,00003011675
all,00003012250
all,00003012251
all,00003012260
all,00003013450
all,00003013451
all,00003013460
all,00003013850
all,00003013860
all,00003014720
all,00003016050
all,00003016060
all,00003016125
all,00003016450
all,00003016550
all,00003016552
all,00003016835
all,00003016850
all,00003017150
all,00003017160
all,00003029951
all,00003030951
all,00003048850
all,00003048860
all,00003057240
all,00003057250
all,00003060343
all,00003060350
all,00003063441
all,00003063460
all,00003065540
all,00003065546
all,00003065560
all,00003066345
all,00003066375
all,00003066805
all,00003067371
all,00003067374
all,00003068144
all,00003068154
all,00003068244
all,00003068254
all,00003073411
all,00003073531
all,00003074339
all,00003074354
all,00003074638
all,00003074653
all,00003074950
all,00003074951
all,00003074960
all,00003076340
all,00003076346
all,00003076350
all,00003081240
all,00003081260
all,00003081401
all,00003081405
all,00003081505
all,00003081550
all,00003081560
all,00003087250
all,00003087260
all,00003087350
all,00003087360
all,00003087450
all,00003087451
all,00003087460
all,00003096909
all,00003096915
all,00003096933
all,00003096952
all,00003096961
all,00003097220
all,00003097241
all,00003097247
all,00003097252
all,00003097261
all,00003119320
all,00003119350
all,00003119380
all,00003119420
all,00003119450
all,00003119480
all,00003119720
all,00003119810
all,00003119910
all,00003120110
all,00003147610
all,00003148110
all,00003161610
all,00003173725
all,00003173730
all,00003173740
all,00003173745
all,00003173815
all,00003173825
all,00003173830
all,00003173840
all,00003173845
all,00003220130
all,00003220140
all,00003220230
all,00003220240
all,00003223011
all,00003223051
all,00003223101
all,00003224011
all,00003224051
all,00003224101
all,00003255010
all,00003255015
all,00003255020
all,00003256010
all,00003256015
all,00003256016
all,00003256020
all,00003257010
all,00003257015
all,00003257016
all,00003257020
all,00003271010
all,00003271110
all,00003271210
all,00003271220
all,00003271310
all,00003271320
all,00003271410
all,00003271420
all,00003271525
all,00003272410
all,00003272510
all,00003272520
all,00003272525
all,00003272530
all,00003291110
all,00003291210
all,00003291220
all,00003291320
all,00003291525
all,00003291610
all,00003291710
all,00003291810
all,00003291820
all,00003291910
all,00003291920
all,00003292010
all,00003292020
all,00003292120
all,00003292730
all,00003292830
all,00003294210
all,00003294211
all,00003294220
all,00003294221
all,00003294222
all,00003298710
all,00003298910
all,00003298920
all,00003299020
all,00003299110
all,00003299120
all,00003299220
all,00003299325
all,00003773199
all,00003773289
all,00003773295
all,00003773299
all,00003773395
all,00003773399
all,00003870801
all,00004000901
all,00004000913
all,00004000914
all,00004000945
all,00004000949
all,00004001001
all,00004001014
all,00004001049
all,00004005001
all,00004005014
all,00004005034
all,00004005049
all,00004011701
all,00004011704
all,00004011714
all,00004011749
all,00004011754
all,00004012701
all,00004012749
all,00004012754
all,00004013101
all,00004013149
all,00004100228
all,00004100328
all,00004100330
all,00004100428
all,00004100528
all,00004101528
all,00004103301
all,00004103328
all,00004190506
all,00004194306
all,00004195501
all,00004195601
all,00004195801
all,00004195802
all,00004196001
all,00004196101
all,00004196201
all,00004196202
all,00004196301
all,00004196302
all,00004196339
all,00004196401
all,00004196402
all,00004196404
all,00004196405
all,00004196439
all,00004196501
all,00004196502
all,00004196503
all,00004196505
all,00004197101
