group,ndc_code
clindamycin,00003294210
clindamycin,00003294211
clindamycin,00003294220
clindamycin,00003294221
clindamycin,00003294222
clindamycin,00009022501
clindamycin,00009022502
clindamycin,00009022503
clindamycin,00009030202
clindamycin,00009030225
clindamycin,00009033102
clindamycin,00009039502
clindamycin,00009039513
clindamycin,00009039514
clindamycin,00009060204
clindamycin,00009060225
clindamycin,00009072805
clindamycin,00009072809
clindamycin,00009076004
clindamycin,00009077520
clindamycin,00009077521
clindamycin,00009077526
clindamycin,00009087021
clindamycin,00009087022
clindamycin,00009087026
clindamycin,00009090106
clindamycin,00009090125
clindamycin,00009090211
clindamycin,00009090212
clindamycin,00009090218
clindamycin,00009305101
clindamycin,00009305102
clindamycin,00009311601
clindamycin,00009311602
clindamycin,00009311604
clindamycin,00009311614
clindamycin,00009312401
clindamycin,00009312403
clindamycin,00009332901
clindamycin,00009333101
clindamycin,00009333102
clindamycin,00009333103
clindamycin,00009337501
clindamycin,00009337502
clindamycin,00009338101
clindamycin,00009338102
clindamycin,00009338201
clindamycin,00009338202
clindamycin,00009344701
clindamycin,00009344703
clindamycin,00009344801
clindamycin,00009344804
clindamycin,00009347001
clindamycin,00009347002
clindamycin,00009407303
clindamycin,00009407304
clindamycin,00009509505
clindamycin,00009509506
clindamycin,00009658201
clindamycin,00009658202
clindamycin,00009678001
clindamycin,00009678002
clindamycin,00009766701
clindamycin,00009989001
clindamycin,00009989002
clindamycin,00039011530
clindamycin,00039011560
clindamycin,00066049425
clindamycin,00066049435
clindamycin,00066049450
clindamycin,00066049455
clindamycin,00066049555
clindamycin,00074041907
clindamycin,00074405001
clindamycin,00074405101
clindamycin,00074405201
clindamycin,00074405303
clindamycin,00074405403
clindamycin,00074405503
clindamycin,00074419701
clindamycin,00093041122
clindamycin,00093041142
clindamycin,00093041158
clindamycin,00093041339
clindamycin,00093317101
clindamycin,00093525601
clindamycin,00093525668
clindamycin,00145006100
clindamycin,00145006150
clindamycin,00145007130
clindamycin,00145007160
clindamycin,00145236701
clindamycin,00145237105
clindamycin,00145247260
clindamycin,00145247280
clindamycin,00168020101
clindamycin,00168020130
clindamycin,00168020160
clindamycin,00168020230
clindamycin,00168020260
clindamycin,00168020360
clindamycin,00168027740
clindamycin,00182120201
clindamycin,00182190601
clindamycin,00182305661
clindamycin,00182305788
clindamycin,00182305890
clindamycin,00182602866
clindamycin,00182602868
clindamycin,00185075401
clindamycin,00185075501
clindamycin,00186145004
clindamycin,00186145104
clindamycin,00186145204
clindamycin,00186145301
clindamycin,00187305050
clindamycin,00187519025
clindamycin,00187519035
clindamycin,00187519050
clindamycin,00205280124
clindamycin,00205280147
clindamycin,00205280183
clindamycin,00205280193
clindamycin,00299450040
clindamycin,00299450042
clindamycin,00299450075
clindamycin,00299450077
clindamycin,00304198601
clindamycin,00332316909
clindamycin,00338341024
clindamycin,00338341050
clindamycin,00338361224
clindamycin,00338361250
clindamycin,00338361624
clindamycin,00338361650
clindamycin,00338381424
clindamycin,00338381450
clindamycin,00338411424
clindamycin,00338411450
