group,ndc_code
ARFORMOTEROL TARTRATE,00093595511
ARFORMOTEROL TARTRATE,00093595545
ARFORMOTEROL TARTRATE,00093595556
ARFORMOTEROL TARTRATE,62756027701
ARFORMOTEROL TARTRATE,62756027702
ARFORMOTEROL TARTRATE,62756027703
BROVANA,63402091101
BROVANA,63402091104
BROVANA,63402091130
BROVANA,63402091164
ARFORMOTEROL TARTRATE,68462083335
ARFORMOTEROL TARTRATE,68462083365
ARFORMOTEROL TARTRATE,68462083385
ARFORMOTEROL TARTRATE,69097016832
ARFORMOTEROL TARTRATE,69097016848
ARFORMOTEROL TARTRATE,69097016853
ARFORMOTEROL TARTRATE,69097016864
ARFORMOTEROL TARTRATE,69097016887
ARFORMOTEROL TARTRATE,70436015119
ARFORMOTEROL TARTRATE,70436015120
ARFORMOTEROL TARTRATE,70436015157
ARFORMOTEROL TARTRATE,70436015158
ARFORMOTEROL TARTRATE,70748017501
ARFORMOTEROL TARTRATE,70748017530
ARFORMOTEROL TARTRATE,70748017560
ARFORMOTEROL TARTRATE,70748025701
ARFORMOTEROL TARTRATE,70748025704
ARFORMOTEROL TARTRATE,70748025730
ARFORMOTEROL TARTRATE,70748025760
VANCERIL,00085073604
VANCERIL DOUBLE STRENGTH,00085111201
VANCERIL DOUBLE STRENGTH,00085111203
QVAR,00089017540
QVAR,00089017780
QVAR,00089074021
QVAR,00089074121
BECLOVENT,00173031288
BECLOVENT,00173031298
BECLOVENT,00173036098
BECLOVENT,00173046900
BECLOVENT,00403039918
VANCERIL,00403222718
QVAR,16590086071
QVAR,16590086072
QVAR,16590086073
QVAR,50090134200
QVAR,50090303300
QVAR,50090345800
QVAR,50090345900
QVAR,50090503100
QVAR,50090503200
QVAR,50580017540
QVAR,50580017780
VANCERIL,52959059601
VANCERIL DOUBLE STRENGTH,52959059801
VANCERIL,52959144701
VANCERIL DOUBLE STRENGTH,52959146601
VANCERIL,54569006700
BECLOVENT,54569100400
VANCERIL DOUBLE STRENGTH,54569454000
VANCERIL DOUBLE STRENGTH,54569482200
QVAR,54569639000
QVAR,54569673400
BECLOVENT,54868126901
VANCERIL,54868184101
QVAR,54868585700
QVAR,54868585701
QVAR,54868585800
QVAR,54868585801
QVAR,55045306300
QVAR,55045369508
VANCERIL,55175443501
BECLOVENT,55175446501
BECLOVENT,55175446601
BECLOVENT,58016620700
BECLOVENT,58016620701
QVAR,59310017540
QVAR,59310017780
QVAR,59310020212
QVAR,59310020240
QVAR,59310020412
QVAR,59310020480
QVAR REDIHALER,59310030240
QVAR REDIHALER,59310030480
VANCERIL,60346022676
BECLOVENT,60346042084
QVAR,66267130000
QVAR,68115077507
QVAR,68258893308
QVAR,68258896408
BUDESONIDE,00093681519
BUDESONIDE,00093681545
BUDESONIDE,00093681555
BUDESONIDE,00093681573
BUDESONIDE,00093681619
BUDESONIDE,00093681645
BUDESONIDE,00093681655
BUDESONIDE,00093681673
BUDESONIDE,00093681719
BUDESONIDE,00093681745
BUDESONIDE,00093681773
BUDESONIDE,00115168774
BUDESONIDE,00115168974
BUDESONIDE,00186042504
BUDESONIDE,00186042604
PULMICORT TURBUHALER,00186091542
PULMICORT FLEXHALER,00186091612
PULMICORT FLEXHALER,00186091706
PULMICORT RESPULES,00186198804
PULMICORT RESPULES,00186198904
PULMICORT RESPULES,00186199004
BUDESONIDE,00487960101
BUDESONIDE,00487960130
BUDESONIDE,00487970101
BUDESONIDE,00487970130
BUDESONIDE,00591376730
BUDESONIDE,00591376830
BUDESONIDE,00781751587
BUDESONIDE,00781751687
BUDESONIDE,00781751787
BUDESONIDE,16714001805
BUDESONIDE,16714001830
BUDESONIDE,16714001905
BUDESONIDE,16714001930
BUDESONIDE,16714002005
BUDESONIDE,16714002030
PULMICORT FLEXHALER,21695029101
BUDESONIDE,47335063149
BUDESONIDE,47335063249
BUDESONIDE,47335063349
PULMICORT FLEXHALER,50090223900
PULMICORT,54569474100
PULMICORT RESPULES,54569516200
PULMICORT RESPULES,54569516300
PULMICORT FLEXHALER,54569592800
BUDESONIDE,54569655700
BUDESONIDE,54569655800
BUDESONIDE,54868342300
BUDESONIDE,54868355000
PULMICORT TURBUHALER,54868429500
PULMICORT RESPULES,54868562100
PULMICORT RESPULES,54868577400
PULMICORT FLEX,54868584400
PULMICORT TURBUHALER,55045289202
BUDESONIDE,60687052479
BUDESONIDE,60687052483
BUDESONIDE,68180098405
BUDESONIDE,68180098430
BUDESONIDE,68258892202
BUDESONIDE,68258892205
BUDESONIDE,68788729003
BUDESONIDE,68788731403
BUDESONIDE,69097031832
BUDESONIDE,69097031853
BUDESONIDE,69097031886
BUDESONIDE,69097031887
BUDESONIDE,69097031932
BUDESONIDE,69097031953
BUDESONIDE,69097031986
BUDESONIDE,69097031987
BUDESONIDE,69097032132
BUDESONIDE,69097032153
BUDESONIDE,69097032186
BUDESONIDE,69097032187
BUDESONIDE,76204001801
BUDESONIDE,76282064037
BUDESONIDE,76282064038
BUDESONIDE,76282064137
BUDESONIDE,76282064138
BUDESONIDE,76282064237
BUDESONIDE,76282064238
SYMBICORT 160/4.5,00186037020
SYMBICORT 160/4.5,00186037028
SYMBICORT 80/4.5,00186037220
SYMBICORT 80/4.5,00186037228
BUDESONIDE-FORMOTEROL FUMARATE,00310737020
BUDESONIDE-FORMOTEROL FUMARATE,00310737220
SYMBICORT 160/4.5,50090140300
SYMBICORT 160/4.5,50090364000
SYMBICORT 160/4.5,50090450800
SYMBICORT 160/4.5,50090450900
SYMBICORT 80/4.5,50090451000
SYMBICORT 160/4.5,54569646600
SYMBICORT 160/4.5,54868593600
SYMBICORT 80/4.5,54868593700
SYMBICORT 160/4.5,68258896601
