code,type
78650,icd9
78651,icd9
78659,icd9
4110,icd9
4111,icd9
4118,icd9
41181,icd9
41189,icd9
412,icd9
4130,icd9
4131,icd9
4139,icd9
4140,icd9
41400,icd9
41401,icd9
41406,icd9
4142,icd9
4143,icd9
4144,icd9
4148,icd9
4149,icd9
V4581,icd9
V4582,icd9
5131,icd9
514,icd9
515,icd9
5160,icd9
5161,icd9
5162,icd9
5163,icd9
51630,icd9
51631,icd9
51632,icd9
51633,icd9
51634,icd9
51635,icd9
51636,icd9
51637,icd9
5164,icd9
5165,icd9
51661,icd9
51662,icd9
51663,icd9
51664,icd9
51669,icd9
5168,icd9
5169,icd9
5172,icd9
5178,icd9
5183,icd9
5184,icd9
51889,icd9
5194,icd9
5198,icd9
5199,icd9
7825,icd9
78600,icd9
78601,icd9
78602,icd9
78603,icd9
78604,icd9
78605,icd9
78606,icd9
78607,icd9
78609,icd9
7862,icd9
7863,icd9
78630,icd9
78631,icd9
78639,icd9
7864,icd9
78652,icd9
7866,icd9
7867,icd9
7868,icd9
7869,icd9
7931,icd9
79311,icd9
79319,icd9
7942,icd9
V126,icd9
V1260,icd9
V1261,icd9
V1269,icd9
V426,icd9
7890,icd9
78900,icd9
78901,icd9
78902,icd9
78903,icd9
78904,icd9
78905,icd9
78906,icd9
78907,icd9
78909,icd9
78960,icd9
78961,icd9
78962,icd9
78963,icd9
78964,icd9
78965,icd9
78966,icd9
78967,icd9
78969,icd9
39891,icd9
4280,icd9
4281,icd9
42820,icd9
42821,icd9
42822,icd9
42823,icd9
42830,icd9
42831,icd9
42832,icd9
42833,icd9
42840,icd9
42841,icd9
42842,icd9
42843,icd9
4289,icd9
4270,icd9
4271,icd9
4272,icd9
42731,icd9
42732,icd9
42760,icd9
42761,icd9
42769,icd9
42781,icd9
42789,icd9
4279,icd9
7850,icd9
7851,icd9
4561,icd9
45621,icd9
5300,icd9
5301,icd9
53010,icd9
53011,icd9
53012,icd9
53013,icd9
53019,icd9
5302,icd9
53020,icd9
53021,icd9
5303,icd9
5304,icd9
5305,icd9
5306,icd9
5308,icd9
53081,icd9
53083,icd9
53084,icd9
53085,icd9
53089,icd9
5309,icd9
7802,icd9
538,icd9
5581,icd9
5582,icd9
5640,icd9
56400,icd9
56401,icd9
56402,icd9
56409,icd9
5641,icd9
5645,icd9
5647,icd9
5648,icd9
56481,icd9
56489,icd9
5649,icd9
5680,icd9
56881,icd9
56882,icd9
56889,icd9
5689,icd9
56981,icd9
56982,icd9
56983,icd9
56984,icd9
56985,icd9
56986,icd9
56987,icd9
56989,icd9
5699,icd9
5790,icd9
5791,icd9
5792,icd9
5798,icd9
5799,icd9
7871,icd9
7872,icd9
78720,icd9
78721,icd9
78722,icd9
78723,icd9
78724,icd9
78729,icd9
7873,icd9
7874,icd9
7875,icd9
7876,icd9
78760,icd9
78761,icd9
78762,icd9
78763,icd9
7877,icd9
7879,icd9
78791,icd9
78799,icd9
7892,icd9
7893,icd9
78930,icd9
78931,icd9
78932,icd9
78933,icd9
78934,icd9
78935,icd9
78936,icd9
78937,icd9
78939,icd9
7894,icd9
78940,icd9
78941,icd9
78942,icd9
78943,icd9
78944,icd9
78945,icd9
78946,icd9
78947,icd9
78949,icd9
7899,icd9
7921,icd9
7934,icd9
7936,icd9
V127,icd9
V1270,icd9
V1279,icd9
V416,icd9
V441,icd9
V442,icd9
V443,icd9
V444,icd9
V453,icd9
V473,icd9
V535,icd9
V5350,icd9
V5351,icd9
V5359,icd9
V551,icd9
V552,icd9
V553,icd9
V554,icd9
4011,icd9
4019,icd9
7807,icd9
78071,icd9
78079,icd9
38600,icd9
38601,icd9
38602,icd9
38603,icd9
38604,icd9
38610,icd9
38611,icd9
38612,icd9
38619,icd9
3862,icd9
38630,icd9
38631,icd9
38632,icd9
38633,icd9
38634,icd9
38635,icd9
38640,icd9
38641,icd9
38642,icd9
38643,icd9
38648,icd9
38650,icd9
38651,icd9
38652,icd9
38653,icd9
38654,icd9
38655,icd9
38656,icd9
38658,icd9
3868,icd9
3869,icd9
7804,icd9
5350,icd9
53500,icd9
53501,icd9
5351,icd9
53510,icd9
53511,icd9
5352,icd9
53520,icd9
53521,icd9
5354,icd9
53540,icd9
53541,icd9
5355,icd9
53550,icd9
53551,icd9
5356,icd9
53560,icd9
53561,icd9
53570,icd9
53571,icd9
R072,icd10
R0782,icd10
R0789,icd10
R079,icd10
I200,icd10
I201,icd10
I208,icd10
I209,icd10
I237,icd10
I240,icd10
I241,icd10
I248,icd10
I249,icd10
I2510,icd10
I25110,icd10
I25111,icd10
I25118,icd10
I25119,icd10
I252,icd10
I255,icd10
I256,icd10
I25750,icd10
I25751,icd10
I25758,icd10
I25759,icd10
I25811,icd10
I2582,icd10
I2583,icd10
I2584,icd10
I2589,icd10
I259,icd10
Z951,icd10
Z955,icd10
Z9861,icd10
J182,icd10
J22,icd10
J810,icd10
J811,icd10
J82,icd10
J8401,icd10
J8402,icd10
J8403,icd10
J8409,icd10
J8410,icd10
J84111,icd10
J84112,icd10
J84113,icd10
J84114,icd10
J84115,icd10
J84116,icd10
J84117,icd10
J8417,icd10
J842,icd10
J8481,icd10
J8482,icd10
J8483,icd10
J84841,icd10
J84842,icd10
J84843,icd10
J84848,icd10
J8489,icd10
J849,icd10
J852,icd10
J853,icd10
J984,icd10
J986,icd10
J988,icd10
J989,icd10
J99,icd10
R042,icd10
R0481,icd10
R0489,icd10
R049,icd10
R05,icd10
R0600,icd10
R0601,icd10
R0602,icd10
R0603,icd10
R0609,icd10
R062,icd10
R063,icd10
R064,icd10
R066,icd10
R0681,icd10
R0682,icd10
R0683,icd10
R0689,icd10
R069,icd10
R071,icd10
R0781,icd10
R0902,icd10
R093,icd10
R230,icd10
R911,icd10
R918,icd10
Z8701,icd10
Z8709,icd10
Z942,icd10
R100,icd10
R1010,icd10
R1011,icd10
R1012,icd10
R1013,icd10
R102,icd10
R1030,icd10
R1031,icd10
R1032,icd10
R1033,icd10
R10811,icd10
R10812,icd10
R10813,icd10
R10814,icd10
R10815,icd10
R10816,icd10
R10817,icd10
R10819,icd10
R10821,icd10
R10822,icd10
R10823,icd10
R10824,icd10
R10825,icd10
R10826,icd10
R10827,icd10
R10829,icd10
R1084,icd10
R109,icd10
I0981,icd10
I501,icd10
I5020,icd10
I5021,icd10
I5022,icd10
I5023,icd10
I5030,icd10
I5031,icd10
I5032,icd10
I5033,icd10
I5040,icd10
I5041,icd10
I5042,icd10
I5043,icd10
I50810,icd10
I50811,icd10
I50812,icd10
I50813,icd10
I50814,icd10
I5082,icd10
I5083,icd10
I5084,icd10
I5089,icd10
I509,icd10
I470,icd10
I471,icd10
I472,icd10
I479,icd10
I480,icd10
I481,icd10
I482,icd10
I483,icd10
I484,icd10
I4891,icd10
I4892,icd10
I491,icd10
I492,icd10
I493,icd10
I4940,icd10
I4949,icd10
I495,icd10
I498,icd10
I499,icd10
R000,icd10
R001,icd10
R002,icd10
B5731,icd10
I8500,icd10
I8510,icd10
K200,icd10
K208,icd10
K209,icd10
K210,icd10
K219,icd10
K220,icd10
K2210,icd10
K2211,icd10
K222,icd10
K223,icd10
K224,icd10
K225,icd10
K226,icd10
K2270,icd10
K22710,icd10
K22711,icd10
K22719,icd10
K228,icd10
K229,icd10
K23,icd10
R55,icd10
B5732,icd10
