code,type
27651,icd9
33819,icd9
5362,icd9
56400,icd9
56409,icd9
5679,icd9
56942,icd9
6258,icd9
6259,icd9
7245,icd9
7806,icd9
78060,icd9
78079,icd9
7830,icd9
78650,icd9
78659,icd9
78701,icd9
78702,icd9
78703,icd9
7873,icd9
78791,icd9
78799,icd9
7881,icd9
78900,icd9
78901,icd9
78902,icd9
78903,icd9
78904,icd9
78905,icd9
78906,icd9
78907,icd9
78909,icd9
78963,icd9
00845,icd9
0088,icd9
0090,icd9
0340,icd9
0389,icd9
07999,icd9
462,icd9
486,icd9
4871,icd9
59080,icd9
5950,icd9
5990,icd9
7908,icd9
99591,icd9
07882,icd9
2892,icd9
53011,icd9
53081,icd9
53500,icd9
53510,icd9
53550,icd9
5368,icd9
55090,icd9
5531,icd9
55320,icd9
55329,icd9
5533,icd9
5570,icd9
5589,icd9
5601,icd9
56089,icd9
5609,icd9
56210,icd9
56211,icd9
5641,icd9
56949,icd9
56989,icd9
5699,icd9
5718,icd9
5719,icd9
5738,icd9
5739,icd9
57410,icd9
57420,icd9
5750,icd9
57510,icd9
57511,icd9
5758,icd9
9974,icd9
2189,icd9
5920,icd9
5921,icd9
5932,icd9
59382,icd9
59389,icd9
5939,icd9
6089,icd9
6149,icd9
6169,icd9
6173,icd9
6179,icd9
6200,icd9
6202,icd9
6206,icd9
6208,icd9
V7241,icd9
28860,icd9
56882,icd9
59970,icd9
59972,icd9
78820,icd9
7891,icd9
7892,icd9
78930,icd9
78933,icd9
78939,icd9
78959,icd9
7934,icd9
7936,icd9
7948,icd9
K5289,icd10
K5900,icd10
K5909,icd10
M5489,icd10
M549,icd10
R0782,icd10
R0789,icd10
R079,icd10
R1010,icd10
R1011,icd10
R1012,icd10
R1013,icd10
R102,icd10
R1030,icd10
R1031,icd10
R1032,icd10
R1033,icd10
R10813,icd10
R1084,icd10
R109,icd10
R110,icd10
R1110,icd10
R1111,icd10
R1112,icd10
R112,icd10
R140,icd10
R141,icd10
R142,icd10
R143,icd10
R194,icd10
R197,icd10
R198,icd10
R300,icd10
R309,icd10
R509,icd10
R52,icd10
R531,icd10
R5381,icd10
R5383,icd10
R630,icd10
A047,icd10
A084,icd10
A088,icd10
A09,icd10
A419,icd10
B349,icd10
B9789,icd10
J020,icd10
J029,icd10
J0300,icd10
J111,icd10
J189,icd10
N3000,icd10
N3001,icd10
N390,icd10
N739,icd10
E860,icd10
I880,icd10
K210,icd10
K219,icd10
K2900,icd10
K2950,icd10
K2970,icd10
K2990,icd10
K30,icd10
K4090,icd10
K429,icd10
K439,icd10
K449,icd10
K529,icd10
K550,icd10
K560,icd10
K5660,icd10
K5669,icd10
K567,icd10
K5730,icd10
K5732,icd10
K5790,icd10
K5792,icd10
K580,icd10
K589,icd10
K6289,icd10
K634,icd10
K6389,icd10
K639,icd10
K761,icd10
K7689,icd10
K769,icd10
K8010,icd10
K8018,icd10
K8020,icd10
K810,icd10
K811,icd10
K819,icd10
K828,icd10
D259,icd10
N200,icd10
N201,icd10
N281,icd10
N2889,icd10
N289,icd10
N809,icd10
N830,icd10
N8320,icd10
N83201,icd10
N8329,icd10
N838,icd10
N9489,icd10
Z3202,icd10
D72829,icd10
K659,icd10
N803,icd10
N9983,icd10
R10823,icd10
R160,icd10
R161,icd10
R188,icd10
R1900,icd10
R1903,icd10
R1909,icd10
R312,icd10
R319,icd10
R339,icd10
R933,icd10
R935,icd10
R945,icd10
