code,type
486,icd9
78605,icd9
78609,icd9
51889,icd9
78650,icd9
4280,icd9
49121,icd9
51881,icd9
515,icd9
79902,icd9
2761,icd9
5119,icd9
5180,icd9
4928,icd9
51884,icd9
4829,icd9
49392,icd9
4168,icd9
28860,icd9
49322,icd9
78630,icd9
78639,icd9
485,icd9
42833,icd9
7994,icd9
4822,icd9
79319,icd9
78060,icd9
7931,icd9
318,icd9
5183,icd9
78659,icd9
7990,icd9
79901,icd9
4830,icd9
490,icd9
51882,icd9
4821,icd9
0391,icd9
5110,icd9
48281,icd9
78064,icd9
78607,icd9
481,icd9
51911,icd9
5070,icd9
51631,icd9
42823,icd9
4660,icd9
7862,icd9
48241,icd9
496,icd9
5163,icd9
51634,icd9
51632,icd9
42830,icd9
514,icd9
78600,icd9
42821,icd9
48289,icd9
2859,icd9
49390,icd9
51919,icd9
4848,icd9
49391,icd9
4838,icd9
5130,icd9
42843,icd9
78652,icd9
48242,icd9
4911,icd9
49312,icd9
5169,icd9
1173,icd9
48239,icd9
49120,icd9
28529,icd9
48283,icd9
49301,icd9
78079,icd9
7864,icd9
4918,icd9
78321,icd9
0319,icd9
4809,icd9
48282,icd9
4800,icd9
4919,icd9
49302,icd9
7867,icd9
V1261,icd9
7942,icd9
5198,icd9
5184,icd9
4169,icd9
5186,icd9
51883,icd9
0310,icd9
49320,icd9
46619,icd9
4910,icd9
4820,icd9
49122,icd9
5178,icd9
51630,icd9
99739,icd9
42840,icd9
118,icd9
2638,icd9
40291,icd9
1124,icd9
261,icd9
4959,icd9
7837,icd9
2639,icd9
48230,icd9
7932,icd9
4846,icd9
2630,icd9
5111,icd9
135,icd9
4289,icd9
5199,icd9
42820,icd9
9973,icd9
4801,icd9
42841,icd9
49311,icd9
7869,icd9
49321,icd9
48240,icd9
78322,icd9
78061,icd9
78491,icd9
4808,icd9
4841,icd9
2883,icd9
0312,icd9
0417,icd9
4658,icd9
4847,icd9
J189,icd10
J188,icd10
R0602,icd10
R0600,icd10
R0609,icd10
J984,icd10
R079,icd10
I509,icd10
J441,icd10
J9601,icd10
J9602,icd10
J9691,icd10
J9692,icd10
J9600,icd10
J9690,icd10
J8410,icd10
R0902,icd10
E871,icd10
J918,icd10
J9811,icd10
J9819,icd10
J438,icd10
J432,icd10
J439,icd10
J9621,icd10
J9622,icd10
J9620,icd10
J159,icd10
J45901,icd10
I2720,icd10
I2721,icd10
I2723,icd10
D72829,icd10
R042,icd10
J180,icd10
I5033,icd10
R64,icd10
J14,icd10
R918,icd10
R509,icd10
A318,icd10
J82,icd10
R0789,icd10
R0901,icd10
J157,icd10
J40,icd10
R0603,icd10
J151,icd10
A420,icd10
R091,icd10
J158,icd10
R6883,icd10
R062,icd10
J13,icd10
J181,icd10
J9801,icd10
J690,icd10
J84112,icd10
I5023,icd10
J20,icd10
R05,icd10
J15211,icd10
J449,icd10
J84111,icd10
J84115,icd10
J84113,icd10
I5030,icd10
J811,icd10
R069,icd10
I5021,icd10
D649,icd10
J45909,icd10
J45998,icd10
J9809,icd10
J17,icd10
J45902,icd10
J168,icd10
J850,icd10
J851,icd10
J852,icd10
I5043,icd10
R071,icd10
R0781,icd10
J15212,icd10
J411,icd10
J4531,icd10
J4541,icd10
J4551,icd10
J4521,icd10
J849,icd10
B441,icd10
B449,icd10
B4489,icd10
J154,icd10
J4489,icd10
D638,icd10
J156,icd10
J4532,icd10
J4542,icd10
J4552,icd10
J4522,icd10
R5381,icd10
R5383,icd10
R093,icd10
J418,icd10
R634,icd10
A319,icd10
J129,icd10
J155,icd10
J120,icd10
J42,icd10
R0989,icd10
Z8701,icd10
R942,icd10
J988,icd10
J22,icd10
J810,icd10
I279,icd10
B4481,icd10
J9611,icd10
J9612,icd10
J9610,icd10
A310,icd10
J218,icd10
J219,icd10
J410,icd10
J150,icd10
J440,icd10
I5031,icd10
J99,icd10
J9589,icd10
J9588,icd10
I5040,icd10
B488,icd10
E46,icd10
I110,icd10
B371,icd10
E41,icd10
E43,icd10
J679,icd10
R627,icd10
R9389,icd10
B440,icd10
E440,icd10
J398,icd10
J90,icd10
D869,icd10
D860,icd10
J989,icd10
I5020,icd10
J95851,icd10
J95859,icd10
J121,icd10
I5041,icd10
R0689,icd10
J1520,icd10
R636,icd10
R5081,icd10
R0982,icd10
J1289,icd10
J1282,icd10
J123,icd10
B250,icd10
D721,icd10
D7210,icd10
A312,icd10
B965,icd10
J069,icd10
U071,icd10
