code,type
0389,icd9
07999,icd9
135,icd9
1623,icd9
1625,icd9
1629,icd9
2123,icd9
2357,icd9
2391,icd9
2761,icd9
28419,icd9
2875,icd9
2883,icd9
28860,icd9
3229,icd9
340,icd9
4239,icd9
4280,icd9
4293,icd9
4619,icd9
462,icd9
4658,icd9
4659,icd9
4660,icd9
4739,icd9
481,icd9
48289,icd9
4829,icd9
4838,icd9
485,icd9
486,icd9
4871,icd9
490,icd9
49120,icd9
49121,icd9
4919,icd9
4920,icd9
4928,icd9
49300,icd9
49310,icd9
49320,icd9
49322,icd9
49390,icd9
49392,icd9
496,icd9
5110,icd9
5111,icd9
51189,icd9
5119,icd9
5128,icd9
51281,icd9
51282,icd9
51283,icd9
51284,icd9
51289,icd9
5130,icd9
514,icd9
515,icd9
5180,icd9
5183,icd9
51881,icd9
51882,icd9
51884,icd9
51889,icd9
51911,icd9
71940,icd9
7291,icd9
7806,icd9
78060,icd9
78061,icd9
78062,icd9
78063,icd9
78064,icd9
78065,icd9
78066,icd9
78079,icd9
7808,icd9
7821,icd9
7822,icd9
78321,icd9
7840,icd9
7842,icd9
7850,icd9
7856,icd9
78600,icd9
78605,icd9
78607,icd9
78609,icd9
7862,icd9
7863,icd9
78630,icd9
78631,icd9
78639,icd9
78650,icd9
78651,icd9
78652,icd9
78659,icd9
7866,icd9
7869,icd9
78720,icd9
78791,icd9
78900,icd9
78901,icd9
78906,icd9
78907,icd9
78909,icd9
7908,icd9
7931,icd9
79311,icd9
79319,icd9
79902,icd9
99591,icd9
V741,icd9
M2550,icd10
M791,icd10
M7910,icd10
M7911,icd10
M7912,icd10
M7918,icd10
R042,icd10
R05,icd10
R0600,icd10
R0602,icd10
R0609,icd10
R062,icd10
R0689,icd10
R069,icd10
R071,icd10
R072,icd10
R0781,icd10
R0782,icd10
R0789,icd10
R079,icd10
R1010,icd10
R1011,icd10
R1013,icd10
R102,icd10
R1030,icd10
R1084,icd10
R109,icd10
R5081,icd10
R509,icd10
R51,icd10
R531,icd10
R5381,icd10
R5383,icd10
R61,icd10
R634,icd10
A419,icd10
B349,icd10
B9789,icd10
G039,icd10
J0190,icd10
J020,icd10
J029,icd10
J069,icd10
J101,icd10
J111,icd10
J13,icd10
J158,icd10
J159,icd10
J168,icd10
J180,icd10
J181,icd10
J182,icd10
J188,icd10
J189,icd10
J208,icd10
J209,icd10
J329,icd10
J40,icd10
J851,icd10
J852,icd10
N390,icd10
C3410,icd10
C3411,icd10
C3430,icd10
C3490,icd10
D1430,icd10
D381,icd10
D491,icd10
D860,icd10
D869,icd10
I2789,icd10
I319,icd10
I509,icd10
J42,icd10
J439,icd10
J441,icd10
J449,icd10
J4540,icd10
J45901,icd10
J45909,icd10
J45998,icd10
J80,icd10
J811,icd10
J82,icd10
J8410,icd10
J8489,icd10
J849,icd10
J850,icd10
J869,icd10
J918,icd10
J9383,icd10
J941,icd10
J948,icd10
J949,icd10
J9600,icd10
J9601,icd10
J9621,icd10
J9690,icd10
J9801,icd10
J9819,icd10
J984,icd10
R049,icd10
R091,icd10
D61818,icd10
D696,icd10
D721,icd10
D72829,icd10
E871,icd10
I517,icd10
J90,icd10
J9811,icd10
R000,icd10
R0902,icd10
R220,icd10
R221,icd10
R222,icd10
R229,icd10
R590,icd10
R591,icd10
R599,icd10
R740,icd10
R911,icd10
R918,icd10
R945,icd10
Z111,icd10
