code,type
78900,icd9
5789,icd9
56989,icd9
78930,icd9
5699,icd9
78903,icd9
7934,icd9
78939,icd9
78933,icd9
5409,icd9
78937,icd9
5439,icd9
78934,icd9
78931,icd9
541,icd9
5400,icd9
6209,icd9
20951,icd9
5600,icd9
5401,icd9
7877,icd9
78935,icd9
78932,icd9
542,icd9
7921,icd9
78907,icd9
78094,icd9
5693,icd9
5781,icd9
78799,icd9
78909,icd9
7515,icd9
5602,icd9
78960,icd9
56200,icd9
4558,icd9
56213,icd9
5647,icd9
7933,icd9
56983,icd9
5309,icd9
56089,icd9
56982,icd9
5695,icd9
56039,icd9
7936,icd9
5601,icd9
5379,icd9
5679,icd9
9974,icd9
53290,icd9
5609,icd9
56889,icd9
99749,icd9
78321,icd9
56211,icd9
2800,icd9
78904,icd9
53510,icd9
78905,icd9
53560,icd9
7891,icd9
7871,icd9
53019,icd9
53020,icd9
5691,icd9
5560,icd9
56400,icd9
78906,icd9
53540,icd9
5680,icd9
56212,icd9
78703,icd9
56401,icd9
5552,icd9
56210,icd9
78901,icd9
4550,icd9
53550,icd9
7873,icd9
5690,icd9
53500,icd9
53010,icd9
78902,icd9
5531,icd9
53789,icd9
2808,icd9
53190,icd9
56409,icd9
7949,icd9
5645,icd9
5780,icd9
5550,icd9
4590,icd9
53089,icd9
5566,icd9
1514,icd9
56941,icd9
5750,icd9
7932,icd9
5362,icd9
7867,icd9
5759,icd9
4556,icd9
5368,icd9
4553,icd9
2801,icd9
57410,icd9
5758,icd9
53390,icd9
57400,icd9
78760,icd9
2859,icd9
2809,icd9
57420,icd9
7830,icd9
7895,icd9
7824,icd9
56489,icd9
5762,icd9
5720,icd9
1919,icd9
5650,icd9
57511,icd9
78079,icd9
53085,icd9
56722,icd9
5768,icd9
7822,icd9
57510,icd9
04186,icd9
0091,icd9
0088,icd9
R109,icd10
R634,icd10
B9681,icd10
K5900,icd10
R1011,icd10
R1032,icd10
K2970,icd10
R1010,icd10
K5901,icd10
K259,icd10
R1013,icd10
K5732,icd10
K5909,icd10
K319,icd10
K30,icd10
R140,icd10
K625,icd10
K921,icd10
R1084,icd10
R1900,icd10
R1030,icd10
K629,icd10
R1012,icd10
R938,icd10
K209,icd10
K2960,icd10
K222,icd10
K5289,icd10
R195,icd10
K5720,icd10
R198,icd10
K641,icd10
K529,icd10
K6289,icd10
K5790,icd10
K3189,icd10
K5730,icd10
K648,icd10
K2950,icd10
K649,icd10
R1033,icd10
K429,icd10
K828,icd10
A09,icd10
R799,icd10
K640,icd10
R194,icd10
R935,icd10
K449,icd10
R9389,icd10
R1909,icd10
K5780,icd10
K2270,icd10
R932,icd10
K668,icd10
C49A2,icd10
N3090,icd10
K56609,icd10
K6389,icd10
K639,icd10
K922,icd10
R933,icd10
R1031,icd10
K5660,icd10
Z1159,icd10
K5669,icd10
K3580,icd10
R1903,icd10
K388,icd10
K56690,icd10
K567,icd10
K56600,icd10
K633,icd10
R1907,icd10
Z03818,icd10
K631,icd10
R100,icd10
R591,icd10
K561,icd10
K389,icd10
K37,icd10
K2980,icd10
R12,icd10
R17,icd10
R222,icd10
K228,icd10
I4510,icd10
K920,icd10
R58,icd10
J181,icd10
K352,icd10
K3532,icd10
K591,icd10
R1904,icd10
K353,icd10
R10813,icd10
K626,icd10
K660,icd10
N949,icd10
R1901,icd10
R948,icd10
N858,icd10
K2930,icd10
D121,icd10
D3A020,icd10
K5731,icd10
K5641,icd10
R1319,icd10
K5100,icd10
K580,icd10
K8050,icd10
R229,icd10
N83202,icd10
K4020,icd10
K5010,icd10
K623,icd10
K624,icd10
N83201,icd10
K5000,icd10
K824,icd10
E668,icd10
K3533,icd10
R10811,icd10
K2940,icd10
K316,icd10
K469,icd10
K659,icd10
K269,icd10
K279,icd10
K3530,icd10
R1902,icd10
A084,icd10
R599,icd10
R161,icd10
A0472,icd10
K838,icd10
R159,icd10
K210,icd10
E611,icd10
R945,icd10
K589,icd10
K5090,icd10
D6489,icd10
K750,icd10
K5190,icd10
D638,icd10
