code,type
78791,icd9
5693,icd9
5781,icd9
78321,icd9
78799,icd9
53510,icd9
78905,icd9
7921,icd9
7877,icd9
78906,icd9
56400,icd9
5645,icd9
56211,icd9
56989,icd9
53560,icd9
78901,icd9
4558,icd9
56201,icd9
56982,icd9
56949,icd9
78900,icd9
5589,icd9
78907,icd9
78909,icd9
5789,icd9
78701,icd9
78903,icd9
27651,icd9
78904,icd9
78060,icd9
5609,icd9
78703,icd9
2768,icd9
7934,icd9
28860,icd9
5579,icd9
5601,icd9
5570,icd9
5409,icd9
541,icd9
56089,icd9
5695,icd9
56983,icd9
4590,icd9
78960,icd9
2892,icd9
5400,icd9
5401,icd9
78933,icd9
53012,icd9
5439,icd9
27652,icd9
2765,icd9
7876,icd9
53550,icd9
78702,icd9
53540,icd9
78902,icd9
5379,icd9
56941,icd9
53019,icd9
5690,icd9
53290,icd9
56213,icd9
5362,icd9
5780,icd9
5759,icd9
5699,icd9
27650,icd9
53020,icd9
7901,icd9
845,icd9
57420,icd9
2761,icd9
7806,icd9
2760,icd9
78061,icd9
53130,icd9
56210,icd9
4550,icd9
7873,icd9
56942,icd9
4556,icd9
53010,icd9
4589,icd9
5650,icd9
7850,icd9
4553,icd9
78930,icd9
5649,icd9
53089,icd9
78939,icd9
5571,icd9
56401,icd9
2713,icd9
9974,icd9
57400,icd9
5750,icd9
5369,icd9
78760,icd9
4149,icd9
5692,icd9
5691,icd9
53500,icd9
5368,icd9
7999,icd9
53190,icd9
0093,icd9
0092,icd9
0088,icd9
0091,icd9
0090,icd9
0085,icd9
R197,icd10
K625,icd10
R634,icd10
R194,icd10
K921,icd10
R1084,icd10
K633,icd10
R1032,icd10
K5289,icd10
R1030,icd10
K269,icd10
R109,icd10
K2950,icd10
A09,icd10
R1033,icd10
K2980,icd10
K228,icd10
R700,icd10
R152,icd10
L52,icd10
R10813,icd10
I880,icd10
R143,icd10
R10817,icd10
K629,icd10
K529,icd10
R1031,icd10
R935,icd10
R112,icd10
K2940,icd10
R7982,icd10
K2210,icd10
K121,icd10
R10819,icd10
K920,icd10
K317,icd10
R509,icd10
R1110,icd10
K5720,icd10
K56690,icd10
K5780,icd10
A049,icd10
K2960,icd10
E869,icd10
K2990,icd10
K5904,icd10
R1909,icd10
K626,icd10
K279,icd10
K352,icd10
E860,icd10
K922,icd10
E876,icd10
D72829,icd10
R933,icd10
Z20822,icd10
K5660,icd10
K56609,icd10
K5669,icd10
A084,icd10
K567,icd10
R100,icd10
K559,icd10
K208,icd10
K3580,icd10
K56600,icd10
K5641,icd10
K630,icd10
R5081,icd10
K37,icd10
R58,icd10
R1111,icd10
A045,icd10
K5731,icd10
K8050,icd10
R6510,icd10
R10814,icd10
K353,icd10
R17,icd10
K2100,icd10
K229,icd10
K565,icd10
K581,icd10
K612,icd10
R141,icd10
K561,icd10
K623,icd10
K819,icd10
K2090,icd10
E861,icd10
K3533,icd10
K2971,icd10
K810,icd10
N410,icd10
R231,icd10
R1013,icd10
K6389,icd10
K6289,icd10
R110,icd10
K2970,icd10
R1011,icd10
K209,icd10
R1010,icd10
K591,icd10
K649,icd10
K602,icd10
K639,icd10
R198,icd10
K259,icd10
K319,icd10
R630,icd10
D124,icd10
R161,icd10
K2930,icd10
L0231,icd10
K641,icd10
K8010,icd10
G43A0,icd10
K828,icd10
R1900,icd10
K551,icd10
K3189,icd10
K611,icd10
K621,icd10
K521,icd10
R599,icd10
R6520,icd10
K659,icd10
D72828,icd10
K5900,icd10
A419,icd10
E871,icd10
R1012,icd10
R188,icd10
A0472,icd10
B9681,icd10
A048,icd10
E870,icd10
K929,icd10
A0471,icd10
R000,icd10
I959,icd10
K5790,icd10
R591,icd10
N10,icd10
N3001,icd10
R61,icd10
K5732,icd10
A047,icd10
K5792,icd10
K523,icd10
K651,icd10
K56699,icd10
K5901,icd10
R12,icd10
K631,icd10
L02211,icd10
