code,type
2931,icd9
2982,icd9
2989,icd9
30000,icd9
30002,icd9
3004,icd9
30781,icd9
311,icd9
3201,icd9
32082,icd9
3229,icd9
3239,icd9
33920,icd9
33942,icd9
33989,icd9
340,icd9
3419,icd9
34290,icd9
34489,icd9
3449,icd9
34510,icd9
3453,icd9
34540,icd9
34570,icd9
34590,icd9
34600,icd9
34601,icd9
34603,icd9
34610,icd9
34611,icd9
34613,icd9
34620,icd9
34680,icd9
34681,icd9
34690,icd9
34691,icd9
34693,icd9
3482,icd9
34830,icd9
3484,icd9
3485,icd9
3488,icd9
34881,icd9
34882,icd9
34889,icd9
3489,icd9
34982,icd9
3501,icd9
3510,icd9
36813,icd9
3682,icd9
36840,icd9
36843,icd9
3688,icd9
3689,icd9
3699,icd9
37630,icd9
37700,icd9
37701,icd9
37703,icd9
37749,icd9
37851,icd9
37852,icd9
37854,icd9
37855,icd9
37941,icd9
37991,icd9
430,icd9
431,icd9
4321,icd9
4329,icd9
43400,icd9
43401,icd9
4353,icd9
4359,icd9
436,icd9
4371,icd9
4379,icd9
4612,icd9
4613,icd9
4619,icd9
4730,icd9
4732,icd9
4738,icd9
4739,icd9
5362,icd9
64264,icd9
67403,icd9
67404,icd9
7231,icd9
74781,icd9
7790,icd9
78002,icd9
78009,icd9
7802,icd9
78031,icd9
78033,icd9
78039,icd9
7804,icd9
78093,icd9
78097,icd9
7812,icd9
7813,icd9
7814,icd9
78194,icd9
7820,icd9
7840,icd9
7843,icd9
78459,icd9
78701,icd9
78702,icd9
78703,icd9
78720,icd9
79409,icd9
85300,icd9
85301,icd9
R51,icd10
I639,icd10
G932,icd10
R42,icd10
M542,icd10
R569,icd10
G43909,icd10
R4182,icd10
R531,icd10
H4710,icd10
S0291XA,icd10
R112,icd10
F419,icd10
H538,icd10
I611,icd10
R110,icd10
R401,icd10
R259,icd10
G459,icd10
R200,icd10
H05242,icd10
S020XXA,icd10
P90,icd10
H532,icd10
J0130,icd10
M6281,icd10
F329,icd10
R1110,icd10
G460,icd10
I609,icd10
H4902,icd10
R410,icd10
G002,icd10
F4489,icd10
I629,icd10
S065X9A,icd10
S066X0A,icd10
H5702,icd10
S0990XA,icd10
G9340,icd10
I618,icd10
S0181XA,icd10
F411,icd10
S0219XA,icd10
I82C11,icd10
S065X0A,icd10
H543,icd10
H539,icd10
R29810,icd10
G001,icd10
I607,icd10
I619,icd10
H4922,icd10
S06369A,icd10
R4781,icd10
R9402,icd10
S06339A,icd10
L03211,icd10
T80219D,icd10
I6200,icd10
G8321,icd10
H547,icd10
G40301,icd10
G936,icd10
J0190,icd10
I82290,icd10
R202,icd10
F79,icd10
H5712,icd10
R4020,icd10
J323,icd10
H47093,icd10
R201,icd10
H4920,icd10
R9089,icd10
I82890,icd10
I638,icd10
I6381,icd10
I6389,icd10
G009,icd10
I6789,icd10
R1112,icd10
R1111,icd10
R291,icd10
S064X0D,icd10
H7091,icd10
G039,icd10
G030,icd10
H4711,icd10
G0490,icd10
R404,icd10
H4900,icd10
F338,icd10
G40909,icd10
H7502,icd10
O152,icd10
O871,icd10
R29818,icd10
S066X1A,icd10
I82C12,icd10
G4452,icd10
T80219A,icd10
I6359,icd10
O9943,icd10
H5711,icd10
H53122,icd10
S0003XA,icd10
D331,icd10
G43819,icd10
G441,icd10
G458,icd10
G43009,icd10
G44031,icd10
G4489,icd10
I63231,icd10
C719,icd10
G939,icd10
C7931,icd10
G008,icd10
H53149,icd10
G43109,icd10
R4701,icd10
M9901,icd10
R419,icd10
G44209,icd10
H70001,icd10
O2230,icd10
H53452,icd10
D320,icd10
G9341,icd10
O873,icd10
I6781,icd10
G259,icd10
G060,icd10
G43809,icd10
G44201,icd10
I8002,icd10
H65191,icd10
I674,icd10
H53141,icd10
G43911,icd10
O2233,icd10
G4441,icd10
H6692,icd10
H7090,icd10
G43101,icd10
S06309A,icd10
H4923,icd10
H34812,icd10
H348120,icd10
H348121,icd10
H348122,icd10
G519,icd10
J0120,icd10
G468,icd10
S098XXA,icd10
H5462,icd10
G4453,icd10
I8290,icd10
H53483,icd10
G935,icd10
R295,icd10
J329,icd10
R2689,icd10
I82619,icd10
Z711,icd10
F331,icd10
S0180XA,icd10
I6201,icd10
I69998,icd10
D496,icd10
S0190XA,icd10
A879,icd10
H4901,icd10
H4921,icd10
R269,icd10
H469,icd10
F459,icd10
G8194,icd10
H53433,icd10
R400,icd10
G43011,icd10
R251,icd10
Z8669,icd10
G518,icd10
H35033,icd10
S069X0D,icd10
F3340,icd10
S060X1A,icd10
I6350,icd10
G44021,icd10
R69,icd10
H5202,icd10
R413,icd10
G43919,icd10
J328,icd10
H53143,icd10
H748X1,icd10
H5461,icd10
S069X0A,icd10
S062X1A,icd10
S0093XA,icd10
T80211A,icd10
