code,type
0088,icd9
0090,icd9
0782,icd9
07889,icd9
07989,icd9
07999,icd9
27651,icd9
2841,icd9
28411,icd9
28412,icd9
28419,icd9
2859,icd9
2875,icd9
28800,icd9
28850,icd9
33819,icd9
4619,icd9
462,icd9
4658,icd9
4659,icd9
486,icd9
4871,icd9
5362,icd9
5990,icd9
71940,icd9
71949,icd9
7291,icd9
7806,icd9
78060,icd9
78061,icd9
78062,icd9
78063,icd9
78064,icd9
78065,icd9
78066,icd9
78079,icd9
78096,icd9
7821,icd9
7840,icd9
78701,icd9
78702,icd9
78703,icd9
78791,icd9
78900,icd9
78909,icd9
7904,icd9
7908,icd9
7948,icd9
M2550,icd10
M791,icd10
M7910,icd10
M7911,icd10
M7912,icd10
M7918,icd10
R1010,icd10
R1030,icd10
R109,icd10
R110,icd10
R1110,icd10
R1111,icd10
R112,icd10
R197,icd10
R21,icd10
R5081,icd10
R509,icd10
R51,icd10
R52,icd10
R531,icd10
R5381,icd10
R5383,icd10
A084,icd10
A09,icd10
B338,icd10
B349,icd10
B9789,icd10
J0190,icd10
J029,icd10
J069,icd10
J101,icd10
J111,icd10
J189,icd10
N390,icd10
D649,icd10
D696,icd10
D709,icd10
D72819,icd10
R740,icd10
R945,icd10
