code,type
78002,icd9
33819,icd9
71940,icd9
71949,icd9
7242,icd9
7245,icd9
7291,icd9
7802,icd9
7804,icd9
7806,icd9
78060,icd9
78079,icd9
78097,icd9
78321,icd9
7840,icd9
7859,icd9
78605,icd9
7862,icd9
78630,icd9
78650,icd9
78651,icd9
78659,icd9
7869,icd9
78900,icd9
78907,icd9
78909,icd9
389,icd9
7999,icd9
4619,icd9
4658,icd9
4659,icd9
4660,icd9
4739,icd9
4829,icd9
486,icd9
490,icd9
78552,icd9
99591,icd9
99592,icd9
41519,icd9
49392,icd9
5070,icd9
514,icd9
5184,icd9
51881,icd9
51882,icd9
51889,icd9
78609,icd9
41071,icd9
41091,icd9
4111,icd9
4139,icd9
4260,icd9
42611,icd9
4263,icd9
4264,icd9
42821,icd9
42831,icd9
4292,icd9
7852,icd9
4359,icd9
436,icd9
4371,icd9
78009,icd9
7140,icd9
4589,icd9
7821,icd9
7850,icd9
7867,icd9
7931,icd9
79319,icd9
79902,icd9
V812,icd9
M255,icd10
M548,icd10
M549,icd10
M791,icd10
R042,icd10
R05,icd10
R060,icd10
R068,icd10
R072,icd10
R078,icd10
R079,icd10
R098,icd10
R101,icd10
R103,icd10
R108,icd10
R109,icd10
R400,icd10
R401,icd10
R404,icd10
R410,icd10
R418,icd10
R42,icd10
R509,icd10
R51,icd10
R531,icd10
R538,icd10
R55,icd10
R634,icd10
A419,icd10
B349,icd10
J0190,icd10
J069,icd10
J159,icd10
J181,icd10
J182,icd10
J189,icd10
J209,icd10
J329,icd10
J40,icd10
R6520,icd10
R6521,icd10
I2699,icd10
I2789,icd10
J45901,icd10
J690,icd10
J80,icd10
J810,icd10
J9600,icd10
J9601,icd10
I200,icd10
I208,icd10
I209,icd10
I213,icd10
I214,icd10
I25110,icd10
I25119,icd10
I440,icd10
I442,icd10
I447,icd10
I4510,icd10
I5021,icd10
I5031,icd10
R011,icd10
G459,icd10
I639,icd10
I6781,icd10
I6782,icd10
M069,icd10
I951,icd10
I959,icd10
J9690,icd10
R000,icd10
R0902,icd10
R21,icd10
R918,icd10
R938,icd10
Z136,icd10
