code,type
33819,icd9
33829,icd9
56400,icd9
71940,icd9
71941,icd9
71942,icd9
71943,icd9
71944,icd9
71945,icd9
71946,icd9
71947,icd9
71949,icd9
7197,icd9
7231,icd9
7241,icd9
7242,icd9
7245,icd9
7248,icd9
72887,icd9
7291,icd9
7295,icd9
72982,icd9
72989,icd9
7806,icd9
78060,icd9
78079,icd9
78096,icd9
78199,icd9
7820,icd9
7840,icd9
78605,icd9
78650,icd9
78651,icd9
78652,icd9
78659,icd9
78720,icd9
78900,icd9
78901,icd9
78903,icd9
78904,icd9
78905,icd9
78906,icd9
78907,icd9
78909,icd9
7881,icd9
78841,icd9
486,icd9
5990,icd9
07999,icd9
2749,icd9
71500,icd9
71509,icd9
71511,icd9
71515,icd9
71516,icd9
71530,icd9
71536,icd9
71590,icd9
71591,icd9
71595,icd9
71596,icd9
71597,icd9
71648,icd9
71688,icd9
71690,icd9
7202,icd9
7210,icd9
7211,icd9
7212,icd9
7213,icd9
72142,icd9
7218,icd9
72190,icd9
7220,icd9
72210,icd9
72211,icd9
7222,icd9
7224,icd9
72251,icd9
72252,icd9
7226,icd9
72271,icd9
72273,icd9
72290,icd9
72292,icd9
72293,icd9
7230,icd9
7232,icd9
7233,icd9
7238,icd9
7239,icd9
72400,icd9
72401,icd9
72402,icd9
72403,icd9
7243,icd9
7244,icd9
7246,icd9
72470,icd9
72479,icd9
7249,icd9
72610,icd9
7262,icd9
7265,icd9
72706,icd9
72885,icd9
7289,icd9
72999,icd9
73300,icd9
73301,icd9
73313,icd9
73390,icd9
73399,icd9
73730,icd9
73739,icd9
7384,icd9
75612,icd9
8052,icd9
8054,icd9
83908,icd9
83920,icd9
83921,icd9
8409,icd9
8439,icd9
8449,icd9
84500,icd9
8460,icd9
8461,icd9
8470,icd9
8471,icd9
8472,icd9
8479,icd9
8485,icd9
8488,icd9
9089,icd9
95909,icd9
9596,icd9
9597,icd9
30781,icd9
3239,icd9
3320,icd9
3361,icd9
3368,icd9
3369,icd9
3384,icd9
33910,icd9
34281,icd9
34282,icd9
34290,icd9
34291,icd9
34292,icd9
34400,icd9
34409,icd9
3441,icd9
34610,icd9
3530,icd9
3532,icd9
3540,icd9
3542,icd9
3558,icd9
3559,icd9
3569,icd9
3579,icd9
4359,icd9
436,icd9
43822,icd9
4439,icd9
7135,icd9
7292,icd9
7234,icd9
7235,icd9
73605,icd9
57420,icd9
5920,icd9
5932,icd9
59654,icd9
78820,icd9
78830,icd9
28529,icd9
2859,icd9
