code,type
7806,icd9
78060,icd9
78079,icd9
78321,icd9
7808,icd9
7840,icd9
78605,icd9
78607,icd9
7862,icd9
7863,icd9
78630,icd9
78650,icd9
78652,icd9
78659,icd9
78702,icd9
78791,icd9
78900,icd9
78901,icd9
78906,icd9
78907,icd9
010,icd9
011,icd9
012,icd9
013,icd9
014,icd9
015,icd9
016,icd9
017,icd9
018,icd9
07999,icd9
4619,icd9
462,icd9
4658,icd9
4659,icd9
4660,icd9
4739,icd9
4829,icd9
486,icd9
490,icd9
4919,icd9
5130,icd9
5990,icd9
7908,icd9
135,icd9
1623,icd9
1625,icd9
1629,icd9
2123,icd9
2357,icd9
2391,icd9
4239,icd9
4280,icd9
49120,icd9
49121,icd9
4920,icd9
4928,icd9
49320,icd9
49322,icd9
49390,icd9
496,icd9
5110,icd9
5111,icd9
51189,icd9
514,icd9
515,icd9
5169,icd9
51851,icd9
51853,icd9
51881,icd9
51884,icd9
51889,icd9
78609,icd9
53081,icd9
5609,icd9
2761,icd9
28419,icd9
2859,icd9
2875,icd9
28860,icd9
2893,icd9
4293,icd9
5119,icd9
5128,icd9
51289,icd9
5180,icd9
5183,icd9
5559,icd9
57420,icd9
72981,icd9
7822,icd9
7842,icd9
7856,icd9
7866,icd9
7892,icd9
7904,icd9
7931,icd9
79311,icd9
79319,icd9
79902,icd9
V741,icd9
R042,icd10
R05,icd10
R0600,icd10
R0602,icd10
R0609,icd10
R062,icd10
R063,icd10
R0683,icd10
R0689,icd10
R071,icd10
R0781,icd10
R0782,icd10
R0789,icd10
R079,icd10
R1011,icd10
R1013,icd10
R1084,icd10
R109,icd10
R110,icd10
R197,icd10
R509,icd10
R51,icd10
R531,icd10
R5381,icd10
R5383,icd10
R61,icd10
R634,icd10
A15,icd10
A17,icd10
A18,icd10
A19,icd10
B349,icd10
B9789,icd10
G933,icd10
J0190,icd10
J029,icd10
J069,icd10
J159,icd10
J182,icd10
J189,icd10
J209,icd10
J329,icd10
J40,icd10
J851,icd10
J852,icd10
N390,icd10
R502,icd10
C3410,icd10
C3411,icd10
C3430,icd10
C3490,icd10
D1430,icd10
D381,icd10
D491,icd10
D649,icd10
D860,icd10
D869,icd10
I319,icd10
I509,icd10
I889,icd10
J42,icd10
J439,icd10
J441,icd10
J449,icd10
J45909,icd10
J45998,icd10
J811,icd10
J82,icd10
J8410,icd10
J8489,icd10
J849,icd10
J850,icd10
J869,icd10
J918,icd10
J9383,icd10
J941,icd10
J948,icd10
J949,icd10
J9600,icd10
J9601,icd10
J9621,icd10
J9690,icd10
J9819,icd10
J984,icd10
R049,icd10
R091,icd10
K219,icd10
K5090,icd10
K5660,icd10
K8020,icd10
D61818,icd10
D696,icd10
D72829,icd10
E871,icd10
I517,icd10
J90,icd10
J939,icd10
J9811,icd10
R0902,icd10
R161,icd10
R220,icd10
R221,icd10
R222,icd10
R590,icd10
R591,icd10
R599,icd10
R740,icd10
R911,icd10
R918,icd10
Z111,icd10
