code,type
33900,icd9
33901,icd9
33902,icd9
33903,icd9
33904,icd9
33905,icd9
33909,icd9
33910,icd9
33911,icd9
33912,icd9
33920,icd9
33921,icd9
33922,icd9
3393,icd9
33941,icd9
33942,icd9
33943,icd9
33944,icd9
33981,icd9
33982,icd9
33983,icd9
33984,icd9
33985,icd9
33989,icd9
3460,icd9
34600,icd9
34601,icd9
34602,icd9
34603,icd9
3461,icd9
34610,icd9
34611,icd9
34612,icd9
34613,icd9
3462,icd9
34620,icd9
34621,icd9
34622,icd9
34623,icd9
34630,icd9
34631,icd9
34632,icd9
34633,icd9
34640,icd9
34641,icd9
34642,icd9
34643,icd9
34650,icd9
34651,icd9
34652,icd9
34653,icd9
34670,icd9
34671,icd9
34672,icd9
34673,icd9
3468,icd9
34680,icd9
34681,icd9
34682,icd9
34683,icd9
3469,icd9
34690,icd9
34691,icd9
34692,icd9
34693,icd9
7840,icd9
38600,icd9
38601,icd9
38602,icd9
38603,icd9
38604,icd9
38610,icd9
38611,icd9
38612,icd9
38619,icd9
3862,icd9
38630,icd9
38631,icd9
38632,icd9
38633,icd9
38634,icd9
38635,icd9
38640,icd9
38641,icd9
38642,icd9
38643,icd9
38648,icd9
38650,icd9
38651,icd9
38652,icd9
38653,icd9
38654,icd9
38655,icd9
38656,icd9
38658,icd9
3868,icd9
3869,icd9
7804,icd9
38000,icd9
38001,icd9
38002,icd9
38003,icd9
38010,icd9
38011,icd9
38012,icd9
38013,icd9
38014,icd9
38015,icd9
38016,icd9
38021,icd9
38022,icd9
38023,icd9
38030,icd9
38031,icd9
38032,icd9
38039,icd9
3804,icd9
38050,icd9
38051,icd9
38052,icd9
38053,icd9
38081,icd9
38089,icd9
3809,icd9
38400,icd9
38401,icd9
38409,icd9
3841,icd9
38530,icd9
38531,icd9
38532,icd9
38533,icd9
38535,icd9
38582,icd9
38583,icd9
38589,icd9
3859,icd9
38800,icd9
38801,icd9
38802,icd9
38810,icd9
38811,icd9
38812,icd9
3882,icd9
38830,icd9
38831,icd9
38832,icd9
38840,icd9
38841,icd9
38842,icd9
38843,icd9
38844,icd9
38845,icd9
3885,icd9
38860,icd9
38861,icd9
38869,icd9
38870,icd9
38871,icd9
38872,icd9
3888,icd9
3889,icd9
38900,icd9
38901,icd9
38902,icd9
38903,icd9
38904,icd9
38905,icd9
38906,icd9
38908,icd9
38910,icd9
38911,icd9
38912,icd9
38913,icd9
38914,icd9
38915,icd9
38916,icd9
38917,icd9
38918,icd9
3892,icd9
38920,icd9
38921,icd9
38922,icd9
3897,icd9
3898,icd9
3899,icd9
V412,icd9
V413,icd9
V4985,icd9
V532,icd9
V721,icd9
V7211,icd9
V7212,icd9
V7219,icd9
293,icd9
2930,icd9
2931,icd9
2938,icd9
29381,icd9
29382,icd9
29383,icd9
29384,icd9
29389,icd9
2939,icd9
296,icd9
2960,icd9
29600,icd9
29601,icd9
29602,icd9
29603,icd9
29604,icd9
29605,icd9
29606,icd9
2961,icd9
29610,icd9
29611,icd9
29612,icd9
29613,icd9
29614,icd9
29615,icd9
29616,icd9
2962,icd9
29620,icd9
29621,icd9
29622,icd9
29623,icd9
29624,icd9
29625,icd9
29626,icd9
2963,icd9
29630,icd9
29631,icd9
29632,icd9
29633,icd9
29634,icd9
29635,icd9
29636,icd9
2964,icd9
29640,icd9
29641,icd9
29642,icd9
29643,icd9
29644,icd9
29645,icd9
29646,icd9
