code,type
7862,icd9
51889,icd9
78650,icd9
7931,icd9
7856,icd9
7842,icd9
78630,icd9
79399,icd9
7932,icd9
7942,icd9
V741,icd9
78639,icd9
7866,icd9
7863,icd9
5193,icd9
78321,icd9
7861,icd9
78605,icd9
5181,icd9
78609,icd9
51919,icd9
7864,icd9
5191,icd9
4928,icd9
2391,icd9
5111,icd9
5199,icd9
486,icd9
78079,icd9
78659,icd9
2761,icd9
78652,icd9
78600,icd9
78607,icd9
4239,icd9
481,icd9
5118,icd9
51911,icd9
7336,icd9
46400,icd9
4809,icd9
4870,icd9
485,icd9
4871,icd9
51631,icd9
4941,icd9
49391,icd9
7869,icd9
4920,icd9
7867,icd9
42823,icd9
42830,icd9
R05,icd10
R221,icd10
J180,icd10
J984,icd10
R634,icd10
J181,icd10
R0789,icd10
R062,icd10
J439,icd10
R0781,icd10
D869,icd10
M940,icd10
J438,icd10
I358,icd10
J432,icd10
R0609,icd10
J42,icd10
R229,icd10
R091,icd10
J9801,icd10
R61,icd10
J320,icd10
I517,icd10
R071,icd10
I2720,icd10
U071,icd10
J411,icd10
J4541,icd10
R918,icd10
R590,icd10
R079,icd10
R042,icd10
R591,icd10
R599,icd10
R942,icd10
R069,icd10
J168,icd10
R0602,icd10
R072,icd10
J988,icd10
J398,icd10
J208,icd10
B349,icd10
R0600,icd10
J9811,icd10
J188,icd10
J9819,icd10
J0100,icd10
J90,icd10
E871,icd10
J918,icd10
J811,icd10
J189,icd10
J8410,icd10
R490,icd10
J159,icd10
J0190,icd10
J479,icd10
J329,icd10
J4540,icd10
