code,type
0340,icd9
0529,icd9
0539,icd9
0569,icd9
0578,icd9
0579,icd9
075,icd9
07999,icd9
3510,icd9
3829,icd9
462,icd9
4658,icd9
4659,icd9
4660,icd9
486,icd9
6929,icd9
78009,icd9
7806,icd9
78060,icd9
78061,icd9
78062,icd9
78063,icd9
78064,icd9
78065,icd9
78066,icd9
7821,icd9
7856,icd9
7862,icd9
V048,icd9
V0481,icd9
V0482,icd9
V0489,icd9
V741,icd9
Z111,icd10
R21,icd10
B349,icd10
L259,icd10
J189,icd10
H6691,icd10
L309,icd10
R05,icd10
R509,icd10
J069,icd10
J020,icd10
J209,icd10
J029,icd10
R590,icd10
H6693,icd10
H6692,icd10
B029,icd10
B2790,icd10
G510,icd10
B019,icd10
B069,icd10
