code,type
7840,icd9
78060,icd9
7806,icd9
07999,icd9
7231,icd9
78097,icd9
346,icd9
462,icd9
78701,icd9
78039,icd9
486,icd9
7862,icd9
461,icd9
27651,icd9
4659,icd9
78009,icd9
78703,icd9
7291,icd9
78702,icd9
7802,icd9
382,icd9
473,icd9
0389,icd9
34830,icd9
7821,icd9
28860,icd9
4660,icd9
2989,icd9
78002,icd9
3239,icd9
4871,icd9
7816,icd9
8470,icd9
0340,icd9
7850,icd9
72885,icd9
99591,icd9
4359,icd9
30781,icd9
2875,icd9
95901,icd9
345,icd9
36813,icd9
481,icd9
482 ,icd9
7907,icd9
3510,icd9
3682,icd9
4589,icd9
2930,icd9
3688,icd9
78061,icd9
7235,icd9
4371,icd9
463,icd9
3887,icd9
490,icd9
483 ,icd9
2765,icd9
34831,icd9
3801,icd9
7843,icd9
78459,icd9
075,icd9
3689,icd9
27650,icd9
78001,icd9
78064,icd9
78194,icd9
383,icd9
5362,icd9
7904,icd9
78552,icd9
339,icd9
7845,icd9
28850,icd9
"NA",icd9
482,icd9
4820,icd9
4821,icd9
4822,icd9
4823,icd9
48230,icd9
48231,icd9
48232,icd9
48239,icd9
4824,icd9
48240,icd9
48241,icd9
48242,icd9
48249,icd9
4828,icd9
48281,icd9
48282,icd9
48283,icd9
48284,icd9
48289,icd9
4829,icd9
483,icd9
4830,icd9
4831,icd9
4838,icd9
J020,icd10
J0300,icd10
A419,icd10
B2790,icd10
B9789,icd10
E869,icd10
E860,icd10
D696,icd10
D72819,icd10
D72829,icd10
F05,icd10
F29,icd10
G44209,icd10
G0490,icd10
G0491,icd10
G9340,icd10
G9341,icd10
G510,icd10
H53149,icd10
H532,icd10
H538,icd10
H539,icd10
G459,icd10
I67848,icd10
I6781,icd10
I6782,icd10
I6789,icd10
I959,icd10
J029,icd10
J0390,icd10
J069,icd10
J209,icd10
J13,icd10
J181,icd10
J150,icd10
J151,icd10
J14,icd10
J154,icd10
J153,icd10
J1520,icd10
J15211,icd10
J15212,icd10
J1529,icd10
J158,icd10
J155,icd10
J156,icd10
A481,icd10
J159,icd10
J157,icd10
J160,icd10
J168,icd10
J189,icd10
J101,icd10
J111,icd10
J40,icd10
R1110,icd10
M542,icd10
M436,icd10
M6240,icd10
M62838,icd10
M609,icd10
M791,icd10
M797,icd10
R4020,icd10
R404,icd10
R400,icd10
R401,icd10
R55,icd10
R569,icd10
R502,icd10
R509,icd10
R5081,icd10
R6883,icd10
R4182,icd10
R291,icd10
R29810,icd10
R21,icd10
G441,icd10
R51,icd10
R4701,icd10
R4702,icd10
R4781,icd10
R4789,icd10
R000,icd10
R6521,icd10
R05,icd10
R112,icd10
R110,icd10
R1111,icd10
R1112,icd10
R740,icd10
R7881,icd10
S134XXA,icd10
S138XXA,icd10
S098XXA,icd10
S0990XA,icd10
