code,type
07999,icd9
1625,icd9
2123,icd9
28860,icd9
32723,icd9
389,icd9
3890,icd9
38900,icd9
38901,icd9
38902,icd9
38903,icd9
38904,icd9
38905,icd9
38906,icd9
38908,icd9
3891,icd9
38910,icd9
38911,icd9
38912,icd9
38913,icd9
38914,icd9
38915,icd9
38916,icd9
38917,icd9
38918,icd9
3892,icd9
38920,icd9
38921,icd9
38922,icd9
3897,icd9
3898,icd9
3899,icd9
4160,icd9
4168,icd9
4280,icd9
4589,icd9
4619,icd9
462,icd9
4658,icd9
4659,icd9
4660,icd9
481,icd9
48281,icd9
48289,icd9
4829,icd9
4838,icd9
4841,icd9
485,icd9
486,icd9
490,icd9
49120,icd9
49121,icd9
49320,icd9
49322,icd9
49390,icd9
49392,icd9
496,icd9
5070,icd9
5111,icd9
51189,icd9
5119,icd9
5128,icd9
51281,icd9
51282,icd9
51283,icd9
51284,icd9
51289,icd9
514,icd9
515,icd9
5163,icd9
51630,icd9
51631,icd9
51632,icd9
51633,icd9
51634,icd9
51635,icd9
51636,icd9
51637,icd9
5168,icd9
5169,icd9
5180,icd9
5181,icd9
5183,icd9
5184,icd9
51881,icd9
51882,icd9
51884,icd9
51889,icd9
7291,icd9
7806,icd9
78060,icd9
78061,icd9
78062,icd9
78063,icd9
78064,icd9
78065,icd9
78066,icd9
78079,icd9
78321,icd9
785,icd9
7850,icd9
7851,icd9
7852,icd9
7853,icd9
7854,icd9
7855,icd9
78550,icd9
78551,icd9
78552,icd9
78559,icd9
7856,icd9
7859,icd9
78600,icd9
78605,icd9
78607,icd9
78609,icd9
7862,icd9
7863,icd9
78630,icd9
78631,icd9
78639,icd9
78650,icd9
78652,icd9
78659,icd9
7866,icd9
7869,icd9
78900,icd9
7908,icd9
7931,icd9
79311,icd9
79319,icd9
7990,icd9
79901,icd9
79902,icd9
99591,icd9
M791,icd10
M7910,icd10
M7911,icd10
M7912,icd10
M7918,icd10
R05,icd10
R0600,icd10
R0602,icd10
R0609,icd10
R062,icd10
R063,icd10
R068,icd10
R0681,icd10
R0682,icd10
R0683,icd10
R0689,icd10
R069,icd10
R071,icd10
R078,icd10
R0781,icd10
R0782,icd10
R0789,icd10
R079,icd10
R109,icd10
R509,icd10
R531,icd10
R5381,icd10
R5383,icd10
A419,icd10
B250,icd10
B349,icd10
J019,icd10
J0190,icd10
J0191,icd10
J029,icd10
J069,icd10
J13,icd10
J158,icd10
J159,icd10
J168,icd10
J180,icd10
J181,icd10
J182,icd10
J188,icd10
J189,icd10
J209,icd10
J40,icd10
J441,icd10
C3431,icd10
D1430,icd10
G4733,icd10
I270,icd10
I272,icd10
I2720,icd10
I2721,icd10
I2722,icd10
I2723,icd10
I2724,icd10
I2729,icd10
I2789,icd10
I509,icd10
J449,icd10
J45901,icd10
J45909,icd10
J690,icd10
J80,icd10
J811,icd10
J82,icd10
J8409,icd10
J8410,icd10
J8411,icd10
J84111,icd10
J84112,icd10
J84113,icd10
J84114,icd10
J84115,icd10
J84116,icd10
J84117,icd10
J8489,icd10
J849,icd10
J918,icd10
J9819,icd10
J982,icd10
J984,icd10
D72829,icd10
I959,icd10
J810,icd10
J90,icd10
J9600,icd10
J9601,icd10
J9620,icd10
J9621,icd10
J9690,icd10
J9691,icd10
J9811,icd10
R0902,icd10
R590,icd10
R634,icd10
R911,icd10
