code,type
78605,icd9
78650,icd9
78609,icd9
7295,icd9
5180,icd9
72981,icd9
78659,icd9
79431,icd9
7802,icd9
42789,icd9
7850,icd9
45342,icd9
78652,icd9
78651,icd9
4241,icd9
4168,icd9
41071,icd9
4242,icd9
4299,icd9
5184,icd9
486,icd9
51881,icd9
79902,icd9
79319,icd9
514,icd9
5110,icd9
51882,icd9
78630,icd9
4289,icd9
51889,icd9
7931,icd9
78600,icd9
7863,icd9
4111,icd9
78060,icd9
33818,icd9
7806,icd9
7862,icd9
53081,icd9
481,icd9
7808,icd9
7932,icd9
78079,icd9
7823,icd9
71536,icd9
49390,icd9
78607,icd9
4160,icd9
7999,icd9
V812,icd9
7990,icd9
7336,icd9
42832,icd9
7851,icd9
4829,icd9
42823,icd9
7867,icd9
485,icd9
48289,icd9
42831,icd9
78907,icd9
490,icd9
49392,icd9
7869,icd9
4871,icd9
R0602,icd10
R079,icd10
R0789,icd10
R000,icd10
R9431,icd10
R0781,icd10
R071,icd10
R091,icd10
R069,icd10
R0682,icd10
R0603,icd10
R2243,icd10
J9601,icd10
J9811,icd10
J1282,icd10
R042,icd10
J1289,icd10
R059,icd10
R0600,icd10
I214,icd10
I2720,icd10
I498,icd10
R0902,icd10
D72829,icd10
M79604,icd10
I4510,icd10
I469,icd10
R6510,icd10
J90,icd10
R918,icd10
M79605,icd10
R509,icd10
U071,icd10
R0609,icd10
R05,icd10
R600,icd10
M79662,icd10
M79661,icd10
R072,icd10
R2242,icd10
J189,icd10
K219,icd10
J181,icd10
I499,icd10
R0689,icd10
I471,icd10
J80,icd10
J918,icd10
J9801,icd10
M940,icd10
B349,icd10
M79606,icd10
I5031,icd10
J168,icd10
I959,icd10
K8010,icd10
J984,icd10
J159,icd10
I5021,icd10
A4189,icd10
A4101,icd10
I200,icd10
J9691,icd10
J188,icd10
J45909,icd10
J9600,icd10
R1011,icd10
R911,icd10
J9621,icd10
J9690,icd10
I213,icd10
J9602,icd10
J101,icd10
R2241,icd10
R5081,icd10
K8020,icd10
